| Government |
| --- | --- |
| Country name: | conventional long form: Republic of the Sudan |
| Country name: | conventional short form: Sudan |
| Country name: | local long form: Jumhuriyat as-Sudan |
| Country name: | local short form: As-Sudan |
| Country name: | former: Anglo-Egyptian Sudan |
| Government type: | transitional - ruling military junta took power in 1989; government is dominated by members of Sudan's National Islamic Front (NIF), a fundamentalist political organization, which uses the National Congress Party (NCP) as its legal front |
| Capital: | Khartoum |
| Administrative divisions: | 26 states (wilayat, singular - wilayah); A'ali an Nil, Al Bahr al Ahmar, Al Buhayrat, Al Jazirah, Al Khartum, Al Qadarif, Al Wahdah, An Nil al Abyad, An Nil al Azraq, Ash Shamaliyah, Bahr al Jabal, Gharb al Istiwa'iyah, Gharb Bahr al Ghazal, Gharb Darfur, Gharb Kurdufan, Janub Darfur, Janub Kurdufan, Junqali, Kassala, Nahr an Nil, Shamal Bahr al Ghazal, Shamal Darfur, Shamal Kurdufan, Sharq al Istiwa'iyah, Sinnar, Warab |
| Independence: | 1 January 1956 (from Egypt and UK) |
| National holiday: | Independence Day, 1 January (1956) |
| Constitution: | 12 April 1973, suspended following coup of 6 April 1985; interim constitution of 10 October 1985 suspended following coup of 30 June 1989; new constitution implemented on 30 June 1998 partially suspended 12 December 1999 by President BASHIR |
| Legal system: | based on English common law and Islamic law; as of 20 January 1991, the now defunct Revolutionary Command Council imposed Islamic law in the northern states; Islamic law applies to all residents of the northern states regardless of their religion; some separate religious courts; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 17 years of age; universal, but noncompulsory |
| Executive branch: | chief of state: President Lt. Gen. Umar Hasan Ahmad al-BASHIR (since 16 October 1993); First Vice President Ali Uthman Muhammad TAHA (since 17 February 1998), Second Vice President Moses MACHAR (since 12 February 2001); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Lt. Gen. Umar Hasan Ahmad al-BASHIR (since 16 October 1993); First Vice President Ali Uthman Muhammad TAHA (since 17 February 1998), Second Vice President Moses MACHAR (since 12 February 2001); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president; note - the National Congress Party (front for the National Islamic Front or NIF) dominates BASHIR's cabinet |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 13-23 December 2000 (next to be held NA 2005) |
| Executive branch: | election results: Umar Hasan Ahmad al-BASHIR reelected president; percent of vote - Umar Hasan Ahmad al-BASHIR 86.5%, Ja'afar Muhammed NUMAYRI 9.6%, three other candidates received less than a combined 4% of the vote |
| Executive branch: | note: BASHIR assumed supreme executive power in 1989 and retained it through several transitional governments in the early and mid-90s before being popularly elected for the first time in March 1996 |
| Legislative branch: | unicameral National Assembly (400 seats; 275 elected by popular vote, 125 elected by a supra assembly of interest groups known as the National Congress) |
| Legislative branch: | elections: last held 13-23 December 2000 (next to be held NA) |
| Legislative branch: | election results: NA; few parties participated in the 2000 elections |
| Legislative branch: | note: on 12 December 1999, BASHIR dismissed the National Assembly during an internal power struggle between the president and speaker of the National Assembly Hasan al-TURABI |
| Judicial branch: | Supreme Court; Special Revolutionary Courts |
| Political parties and leaders: | the government allows political "associations" under a 1998 law revised in 2000; to obtain government approval parties must accept the constitution and refrain from advocating or using violence against the regime; approved parties include the National Congress Party or NCP [Ibrahim Ahmed UMAR], Popular National Congress [Hassan al-TURABI], and a handful of minor pro-government parties |
| Political pressure groups and leaders: | National Congress Party [Ibrahim Ahmed UMAR] (front for the National Islamic Front or NIF); Popular National Congress [Hassan al-TURABI]; Umma [Sadiq al-MAHDI]; Democratic Unionist Party [Muhammed Uthman AL-MIRGHANI]; National Democratic Alliance [Muhammed Uthman AL-MIRGHANI, chairman]; Sudan People's Liberation Army [Dr. John GARANG] |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AL, AMF, CAEU, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM, OAU, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNU, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Mahdi Ibrahim MAHAMMAD (recalled to Khartoum in August 1998) |
| Diplomatic representation in the US: | chancery: 2210 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-8565 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2406 |
| Diplomatic representation from the US: | US officials at the US Embassy in Khartoum were moved for security reasons in February 1996 and have been relocated to the US Embassies in Nairobi, Kenya, and Cairo, Egypt, from where they make periodic visits to Khartoum; the US Embassy in Khartoum is located on Sharia Abdul Latif Avenue; mailing address - P. O. Box 699, Khartoum; APO AE 09829; telephone - [249] (11) 774611 or 774700; FAX - [249] (11) 774137; the US Embassy in Nairobi, Kenya is located in the Interim Office Building on Mombasa Road, Nairobi; mailing address - P. O. Box 30137, Box 21A, Unit 64100, APO AE 09831; telephone - [254] (2) 751613; FAX - [254] (2) 743204; the US Embassy in Cairo, Egypt is located at (North Gate) 8, Kamel El-Din Salah Street, Garden City, Cairo; mailing address - Unit 64900, APO AE 09839-4900; telephone - [20] (2) 3557371; FAX - [20] (2) 3573200 |
| Flag description: | three equal horizontal bands of red (top), white, and black with a green isosceles triangle based on the hoist side |
