| Government | Namibia |
| --- | --- |
| Country name: | conventional long form: Republic of Namibia |
| Country name: | conventional short form: Namibia |
| Country name: | local long form: Republic of Namibia |
| Country name: | local short form: Namibia |
| Country name: | former: German South-West Africa (Deutsch Suedwest Afrika), South-West Africa |
| Country name: | etymology: named for the coastal Namib Desert; the name "namib" means "vast place" in the Nama/Damara language |
| Government type: | presidential republic |
| Capital: | name: Windhoek |
| Capital: | geographic coordinates: 22 34 S, 17 05 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in September; ends first Sunday in April |
| Administrative divisions: | 14 regions; Erongo, Hardap, //Karas, Kavango East, Kavango West, Khomas, Kunene, Ohangwena, Omaheke, Omusati, Oshana, Oshikoto, Otjozondjupa, Zambezi; note - the Karas Region was renamed //Karas in September 2013 to include the alveolar lateral click of the Khoekhoegowab language |
| Independence: | 21 March 1990 (from South African mandate) |
| National holiday: | Independence Day, 21 March (1990) |
| Constitution: | history: drafted 9 February 1990, signed 16 March 1990, entered into force 21 March 1990 (2017) |
| Constitution: | amendments: proposed by Parliament; passage requires two-thirds majority vote of the National Assembly membership and of the National Council of Parliament and assent by the president of the republic; if the National Council fails to pass an amendment, the president can call for a referendum; passage by referendum requires two-thirds majority of votes cast; amendments that detract from or repeal constitutional articles on fundamental rights and freedoms cannot be amended, and the requisite majorities needed by Parliament to amend the constitution cannot be changed; amended 1998, 2010, 2014 (2017) |
| Legal system: | mixed legal system of uncodified civil law based on Roman-Dutch law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Namibia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and at least 3 judges in quorum sessions) |
| Judicial branch: | judge selection and term of office: judges appointed by the president of Namibia upon the recommendation of the Judicial Service Commission; judges serve until age 65, but terms can be extended by the president until age 70 |
| Judicial branch: | subordinate courts: High Court; Labor Court; regional and district magistrates' courts; community courts |
| Executive branch: | chief of state: President Hage GEINGOB (since 21 March 2015); Vice President Nangola MBUMBA (since 8 February 2018); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Hage GEINGOB (since 21 March 2015); Vice President Nangola MBUMBA (since 8 February 2018); Prime Minister Saara KUUGONGELWA-AMADHILA (since 21 March 2015) |
| Executive branch: | cabinet: Cabinet appointed by the president from among members of the National Assembly |
| Executive branch: | elections/appointments: president elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 28 November 2014 (next to be held in November 2019) |
| Executive branch: | election results: Hage GEINGOB elected president in the first round; percent of vote - Hage GEINGOB (SWAPO) 86.7%, McHenry VENAANI (DTA) 5.0%, Hidipo HAMUTENYA (RDP) 3.4%, Asser MBAI (NUDO)1.9%, Henk MUDGE (RP) 1.0%, other 2.0% |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | National Council (42 seats); members indirectly elected 3 each by the 14 regional councils to serve 5-year terms); note - the Council primarily reviews legislation passed and referred by the National Assembly |
| Legislative branch: | National Assembly (104 seats; 96 members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms and 8 nonvoting members appointed by the president) |
| Legislative branch: | elections: |
