| Government | Namibia |
| --- | --- |
| Country name: | conventional long form: Republic of Namibia |
| Country name: | conventional short form: Namibia |
| Country name: | local long form: Republic of Namibia |
| Country name: | local short form: Namibia |
| Country name: | former: German Southwest Africa, South-West Africa |
| Government type: | republic |
| Capital: | name: Windhoek |
| Capital: | geographic coordinates: 22 34 S, 17 05 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in September; ends first Sunday in April |
| Administrative divisions: | 13 regions; Caprivi, Erongo, Hardap, Karas, Khomas, Kunene, Ohangwena, Okavango, Omaheke, Omusati, Oshana, Oshikoto, Otjozondjupa |
| Independence: | 21 March 1990 (from South African mandate) |
| National holiday: | Independence Day, 21 March (1990) |
| Constitution: | ratified 9 February 1990, effective 12 March 1990 |
| Legal system: | based on Roman-Dutch law and 1990 constitution; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hifikepunye POHAMBA (since 21 March 2005) |
| Executive branch: | head of government: Prime Minister Nahas ANGULA (since 21 March 2005) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 15 November 2004 (next to be held in November 2009) |
| Executive branch: | election results: Hifikepunye POHAMBA elected president; percent of vote - Hifikepunye POHAMBA 76.4%, Den ULENGA 7.3%, Katuutire KAURA 5.1%, Kuaima RIRUAKO 4.2%, Justus GAROEB 3.8%, other 3.2% |
| Legislative branch: | bicameral legislature consists of the National Council (26 seats; two members are chosen from each regional council to serve six-year terms) and the National Assembly (72 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: National Council - elections for regional councils to determine members of the National Council held 29-30 November 2004 (next to be held in November 2010); National Assembly - last held 15-16 November 2004 (next to be held in November 2009) |
| Legislative branch: | election results: National Council - percent of vote by party - SWAPO 89.7%, UDF 4.7%, NUDO 2.8%, DTA 1.9%, other 0.9%; seats by party - SWAPO 24, UDF 1, DTA 1; National Assembly - percent of vote by party - SWAPO 76.1%, COD 7.3%, DTA 5.1%, NUDO 4.2%, UDF 3.6%, RP 1.9%, MAG 0.8%, other 1.0%; seats by party - SWAPO 55, COD 5, DTA 4, NUDO 3, UDF 3, RP 1, MAG 1 |
| Legislative branch: | note: the National Council is primarily an advisory body |
| Judicial branch: | Supreme Court (judges appointed by the president on the recommendation of the Judicial Service Commission) |
| Political parties and leaders: | Congress of Democrats or COD [Ben ULENGA]; Democratic Turnhalle Alliance of Namibia or DTA [Katuutire KAURA]; Monitor Action Group or MAG [Jurie VILJOEN]; National Democratic Movement for Change or NamDMC; National Unity Democratic Organization or NUDO [Kuaima RIRUAKO]; Rally for Democracy and Progress or RDP [Hidipo HAMUTENYA]; Republican Party or RP [Henk MUDGE]; South West Africa National Union or SWANU [Rihupisa KANDANDO]; South West Africa People's Organization or SWAPO [Hifikepunye POHAMBA]; United Democratic Front or UDF [Justus GAROEB] |
| Political pressure groups and leaders: | Earthlife Namibia [Berthchen KOHRS] (environmentalist group); National Society for Human Rights or NSHR; The World Information Services of Energy or WISE (group against nuclear power) |
| International organization participation: | ACP, AfDB, AU, C, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM, OPCW, SACU, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Patrick NANDAGO |
| Diplomatic representation in the US: | chancery: 1605 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-0443 |
| Diplomatic representation from the US: | chief of mission: Ambassador G. Dennise MATHIEU |
| Diplomatic representation from the US: | embassy: 14 Lossen Street, Windhoek |
| Diplomatic representation from the US: | mailing address: Private Bag 12029 Ausspannplatz, Windhoek |
| Diplomatic representation from the US: | telephone: [264] (61) 295-8500 |
| Diplomatic representation from the US: | FAX: [264] (61) 295-8603 |
| Flag description: | a wide red stripe edged by narrow white stripes divides the flag diagonally from lower hoist corner to upper fly corner; the upper hoist-side triangle is blue and charged with a yellow, 12-rayed sunburst; the lower fly-side triangle is green |
