| Government | Lebanon |
| --- | --- |
| Country name: | conventional long form: Lebanese Republic |
| Country name: | conventional short form: Lebanon |
| Country name: | local short form: Lubnan |
| Country name: | local long form: Al Jumhuriyah al Lubnaniyah |
| Government type: | republic |
| Capital: | Beirut |
| Administrative divisions: | 6 governorates (mohafazat, singular - mohafazah); Beyrouth, Beqaa, Liban-Nord, Liban-Sud, Mont-Liban, Nabatiye |
| Independence: | 22 November 1943 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 22 November (1943) |
| Constitution: | 23 May 1926, amended a number of times, most recently Charter of Lebanese National Reconciliation (Ta'if Accord) of October 1989 |
| Legal system: | mixture of Ottoman law, canon law, Napoleonic code, and civil law; no judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; compulsory for all males; authorized for women at age 21 with elementary education |
| Executive branch: | chief of state: President Emile LAHUD (since 24 November 1998) |
| Executive branch: | head of government: Prime Minister Omar KARAMI (since 21 October 2004); Deputy Prime Minister Issam FARES (since 23 October 2000) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president and members of the National Assembly |
| Executive branch: | elections: president elected by the National Assembly for a six-year term; election last held 15 October 1998 (next election date NA); note - on 3 September 2004 the National Assembly voted 96 to 29 to extend Emile LAHUD's six-year term by three years; the prime minister and deputy prime minister appointed by the president in consultation with the National Assembly; by agreement, the president is a Maronite Christian, the prime minister is a Sunni Muslim, and the speaker of the legislature is a Shia Muslim |
| Executive branch: | election results: For 15 October 1998 election: Emile LAHUD elected president; National Assembly vote - 118 votes in favor, 0 against, 10 abstentions |
| Legislative branch: | unicameral National Assembly or Majlis Alnuwab (Arabic) or Assemblee Nationale (French) (128 seats; members elected by popular vote on the basis of sectarian proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 27 August and 3 September 2000 (next to be held spring 2005) |
| Legislative branch: | election results: percent of vote by party - NA; seats by sect - Muslim 64 ( of which Sunnis 27, Shia 27, Druze 8, Alawite 2), Christian 64 (of which Maronite 34) |
| Judicial branch: | four Courts of Cassation (three courts for civil and commercial cases and one court for criminal cases); Constitutional Council (called for in Ta'if Accord - rules on constitutionality of laws); Supreme Council (hears charges against the president and prime minister as needed) |
| Political parties and leaders: | political activity is organized along largely sectarian lines; numerous political groupings exist, consisting of individual political figures and followers motivated by religious, ethnic, clan, and economic considerations |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, ACCT, AFESD, AMF, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, LAS, MIGA, NAM, OAS (observer), OIC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Dr. Farid ABBOUD |
| Diplomatic representation in the US: | consulate(s) general: Detroit, New York, and Los Angeles |
| Diplomatic representation in the US: | FAX: [1] (202) 939-6324 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6300 |
| Diplomatic representation in the US: | chancery: 2560 28th Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jeffrey D. FELTMAN |
| Diplomatic representation from the US: | embassy: Awkar, Lebanon |
| Diplomatic representation from the US: | mailing address: P. O. Box 70-840, Antelias, Lebanon; PSC 815, Box 2, FPO AE 09836-0002 |
| Diplomatic representation from the US: | telephone: [961] (4) 542600, 543600 |
| Diplomatic representation from the US: | FAX: [961] (4) 544136 |
| Flag description: | three horizontal bands of red (top), white (double width), and red with a green cedar tree centered in the white band |
