| Government | LEBANON |
| --- | --- |
| Country name: | conventional long form: Lebanese Republic |
| Country name: | conventional short form: Lebanon |
| Country name: | local long form: Al Jumhuriyah al Lubnaniyah |
| Country name: | local short form: Lubnan |
| Country name: | former: Greater Lebanon |
| Country name: | etymology: derives from the Semitic root "lbn" meaning "white" and refers to snow-capped Mount Lebanon |
| Government type: | republic |
| Capital: | name: Beirut |
| Capital: | geographic coordinates: 33 52 N, 35 30 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 6 governorates (mohafazat, singular - mohafazah); Beqaa, Beyrouth (Beirut), Liban-Nord (North Lebanon), Liban-Sud (South Lebanon), Mont-Liban (Mount Lebanon), Nabatiye |
| Administrative divisions: | note: two new governorates - Aakkar and Baalbek-Hermel - have been legislated but not yet implemented |
| Independence: | 22 November 1943 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 22 November (1943) |
| Constitution: | drafted 15 May 1926, adopted 23 May 1926; amended several times, last in 2004 (2015) |
| Legal system: | mixed legal system of civil law based on the French civil code, Ottoman legal tradition, and religious laws covering personal status, marriage, divorce, and other family relations of the Jewish, Islamic, and Christian communities |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Lebanon |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 21 years of age; compulsory for all males; authorized for women at age 21 with elementary education; excludes military personnel |
| Executive branch: | chief of state: President (vacant); note - President Michel SULAYMAN's term expired on 25 May 2014; the prime minister and his cabinet are temporarily assuming the duties of the president; as of December 2015, the National Assembly had failed to elect a president |
| Executive branch: | head of government: Prime Minister Tamam SALAM (since 6 April 2013); Deputy Prime Minister Samir MOQBIL (since 7 July 2011) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president and National Assembly |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly for a 6-year term (eligible for non-consecutive terms); first round of election held on 23 April 2014 (next to be held in 2020); prime minister and deputy prime minister appointed by the president in consultation with the National Assembly |
| Executive branch: | election results: NA; note - the April 2014 parliamentary vote failed to meet the required two-thirds majority vote threshold; subsequent voting from April 2014 through January 2016 also failed to meet a quorum or was postponed |
| Legislative branch: | description: unicameral National Assembly or Majlis al-Nuwab in Arabic or Assemblee Nationale in French (128 seats; members directly elected in multi-seat constituencies by majority vote; members serve 4-year terms); note - seats are apportioned among the Christian and Muslim denominations |
| Legislative branch: | note: Lebanon&rsquo;s Constitution states the National Assembly cannot conduct regular business until it elects a president when the position is vacant |
| Legislative branch: | elections: last held on 7 June 2009 (next delayed due to a failure to elect a new president) |
| Legislative branch: | election results: percent of vote by coalition - March 8 Coalition 54.7%, March 14 Coalition 45.3%; seats by coalition - March 14 Coalition 71; March 8 Coalition 57; seats by coalition following 16 July 2012 byelection held to fill one seat - March 14 Coalition 72, March 8 Coalition 56 |
| Judicial branch: | highest court(s): Court of Cassation or Supreme Court (organized into 4 divisions, each with a presiding judge and 2 associate judges); Constitutional Council (consists of 10 members) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges appointed by Supreme Judicial Council, headed by the chief justice, and includes other judicial officials; judge tenure NA; Constitutional Council members appointed - 5 by the Council of Ministers and 5 by parliament; members serve 5-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; specialized tribunals, religious courts; military courts |
| Political parties and leaders: | 14 March Coalition: |
| Political parties and leaders: | Democratic Left Movement or DLM [Elias ATALLAH] |
| Political parties and leaders: | Future Movement Bloc [Sa'ad al-HARIRI] |
| Political parties and leaders: | Kata'ib Party [Sami GEMAYEL] |
| Political parties and leaders: | Lebanese Forces [Samir JA'JA] |
| Political parties and leaders: | Marada Movement [Sulayman FRANJIEH] |
| Political parties and leaders: | Social Democratic Hunchakian Party [Hagop DIKRANIAN] |
| 8 March Coalition: | Amal Movement [Nabih BERRI] |
| 8 March Coalition: | Free Patriotic Movement [Gibran BASSIL] |
| 8 March Coalition: | Lebanese Democratic Party [Emir Talal ARSLAN] |
| 8 March Coalition: | Loyalty to the Resistance Bloc [Mohammad RA'AD] (includes Hizballah [Hassan NASRALLAH]) |
| 8 March Coalition: | Marada Movement [Sulayman FRANJIEH] |
| 8 March Coalition: | Syrian Ba'th Party [Abdel Mouin GHAZI] |
| 8 March Coalition: | Syrian Social Nationalist Party [Ali QANSO] |
| 8 March Coalition: | Independent: Metn Bloc [Michel MURR] |
| 8 March Coalition: | Progressive Socialist Party or PSP [Walid JUNBLATT] |
| 8 March Coalition: | Tashnag or ARF [Hagop DHATCHERIAN] |
| Political pressure groups and leaders: | Maronite Church [Patriarch Bishara al-Ra'i] |
| Political pressure groups and leaders: | note: most sects retain militias and a number of militant groups operate in Palestinian refugee camps |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAS (observer), OIC, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Antoine CHEDID (since 4 June 2008) |
| Diplomatic representation in the US: | chancery: 2560 28th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6300 |
| Diplomatic representation in the US: | FAX: [1] (202) 939-6324 |
| Diplomatic representation in the US: | consulate(s) general: Detroit, New York, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Richard Henry JONES (since 6 November 2015) |
| Diplomatic representation from the US: | embassy: Awkar, Lebanon (Awkar facing the Municipality) |
| Diplomatic representation from the US: | mailing address: P. O. Box 70-840, Antelias, Lebanon; from US: US Embassy Beirut, 6070 Beirut Place, Washington, DC 20521-6070 |
| Diplomatic representation from the US: | telephone: [961] (4) 542600, 543600 |
| Diplomatic representation from the US: | FAX: [961] (4) 544136 |
| Flag description: | three horizontal bands consisting of red (top), white (middle, double width), and red (bottom) with a green cedar tree centered in the white band; the red bands symbolize blood shed for liberation, the white band denotes peace, the snow of the mountains, and purity; the green cedar tree is the symbol of Lebanon and represents eternity, steadiness, happiness, and prosperity |
| National symbol(s): | cedar tree; national colors: red, white, green |
| National anthem: | name: "Kulluna lil-watan" (All Of Us, For Our Country!) |
| National anthem: | lyrics/music: Rachid NAKHLE/Wadih SABRA |
| National anthem: | note: adopted 1927; chosen following a nationwide competition |
