| Government | CENTRAL AFRICAN REPUBLIC |
| --- | --- |
| Country name: | conventional long form: Central African Republic |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Centrafricaine |
| Country name: | local short form: none |
| Country name: | former: Ubangi-Shari, Central African Empire |
| Country name: | abbreviation: CAR |
| Country name: | etymology: self-descriptive name specifying the country's location on the continent; "Africa" is derived from the Roman designation of the area corresponding to present-day Tunisia "Africa terra," which meant "Land of the Afri" (the tribe resident in that area), but which eventually came to mean the entire continent |
| Government type: | presidential republic |
| Capital: | name: Bangui |
| Capital: | geographic coordinates: 4 22 N, 18 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture), 2 economic prefectures* (prefectures economiques, singular - prefecture economique), and 1 commune**; Bamingui-Bangoran, Bangui**, Basse-Kotto, Haute-Kotto, Haut-Mbomou, Kemo, Lobaye, Mambere-Kadei, Mbomou, Nana-Grebizi*, Nana-Mambere, Ombella-Mpoko, Ouaka, Ouham, Ouham-Pende, Sangha-Mbaere*, Vakaga |
| Independence: | 13 August 1960 (from France) |
| National holiday: | Republic Day, 1 December (1958) |
| Constitution: | several previous; latest adopted by referendum in December 2015 (2016) |
| Legal system: | civil law system based on the French model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: least one parent must be a citizen of the Central African Republic |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 35 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Faustin-Archange TOUADERA (since 30 March 2016) |
| Executive branch: | head of government: Prime Minister Simplice SARANDJI (since 2 April 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: under the new constitution, the president is elected by universal direct sufferage for a period of 5 years renewable for a second term; last election was held 20 February 2016 (next to be held April 2021) |
| Executive branch: | election results: First round held on 30 December 2015, percent of vote - Anicet-Georges DOLOGUELE (URCA) 23.7%, Faustin-Archange TOUADERA (independent) 19.1%, Desire KOLINGBA (RDC) 12.0%, Martin ZIGUELE (MLPC) 11.4%, other 33.8%; second round held on 20 February 2016, percent of vote - Faustin-Archange TOUADERA (independent) 62.7%, Anicet-Georges DOLOGUELE (URCA) 37.3% |
| Executive branch: | note: rebel forces seized the capital in March 2013, forcing former President BOZIZE to flee the country; Interim President Michel DJOTODIA assumed the presidency, reinstated the prime minister, and established a National Transitional Council (CNT) in April 2013; the NTC elected Catherine SAMBA-PANZA interim president in January 2014 to serve until February 2015 when new elections were to be held; her term was extended because instability delayed new elections and the transition did not take place until the end of March 2016 |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (131 seats; members directly elected in single-seat constituencies by absolute majority vote with a second round if needed; members serve 5-year terms) |
| Legislative branch: | elections: last held February 2016 and 31 March 2016 (next election to be held in 2021) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - UNDP 13, URCA 13, RDC 10, MLPC 9, KNK 7, independents 56, other 23 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of NA judges); Constitutional Court (consists of 9 judges, at least 3 of whom are women) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president; Constitutional Court judge appointments - 2 by the president, 1 by the speaker of the National Assembly, 2 elected by their peers, 2 are advocates elected by their peers, and 2 are law professors elected by their peers; judges serve 7-year non-renewable terms |
| Judicial branch: | subordinate courts: high courts; magistrates' courts |
| Political parties and leaders: | Action Party for Development or PAD |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP [Clement BELIBANGA] |
