| Government | Central African Republic |
| --- | --- |
| Country name: | conventional long form: Central African Republic |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Centrafricaine |
| Country name: | local short form: none |
| Country name: | former: Ubangi-Shari, Central African Empire |
| Country name: | abbreviation: CAR |
| Government type: | republic |
| Capital: | name: Bangui |
| Capital: | geographic coordinates: 4 22 N, 18 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture), 2 economic prefectures* (prefectures economiques, singular - prefecture economique), and 1 commune**; Bamingui-Bangoran, Bangui**, Basse-Kotto, Haute-Kotto, Haut-Mbomou, Kemo, Lobaye, Mambere-Kadei, Mbomou, Nana-Grebizi*, Nana-Mambere, Ombella-Mpoko, Ouaka, Ouham, Ouham-Pende, Sangha-Mbaere*, Vakaga |
| Independence: | 13 August 1960 (from France) |
| National holiday: | Republic Day, 1 December (1958) |
| Constitution: | ratified by popular referendum 5 December 2004; effective 27 December 2004 |
| Legal system: | civil law system based on the French model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Francois BOZIZE (since 15 March 2003 coup) |
| Executive branch: | head of government: Prime Minister Faustin-Archange TOUADERA (since 22 January 2008) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected for a five-year term (eligible for a second term); elections last held on 23 January 2011 (next to be held in 2016); prime minister appointed by the president |
| Executive branch: | election results: Francois BOZIZE elected to a second term as president; percent of vote - Francois BOZIZE (KNK) 64.4%, Ange-Felix PATASSE 21.4%, Martin ZIGUELE (MLPC) 6.8%, Emile Gros Raymond NAKOMBO (RDC) 4.6%, Jean-Jacques DEMAFOUTH (NAP) 2.8% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (105 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 23 January 2011 and 27 March 2011 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - KNK 62, independents 26, MLPC 2, other 15 |
| Judicial branch: | Supreme Court or Cour Supreme; Constitutional Court (three judges appointed by the president, three by the president of the National Assembly, and three by fellow judges); Court of Appeal; Criminal Courts; Inferior Courts |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP [Jacques MBOLIEDAS]; Central African Democratic Rally or RDC [Andre KOLINGBA]; Civic Forum or FC [Gen. Timothee MALENDOMA]; Democratic Forum for Modernity or FODEM [Charles MASSI]; Liberal Democratic Party or PLD [Nestor KOMBO-NAGUEMON]; Londo Association or LONDO; Movement for Democracy and Development or MDD [David DACKO]; Movement for the Liberation of the Central African People or MLPC [Ange-Felix PATASSE] (the party of deposed president); National Convergence or KNK; National Unity Party or PUN [Jean-Paul NGOUPANDE]; New Alliance for Progress or NAP [Jean-Jacques DEMAFOUTH]; Patriotic Front for Progress or FPP [Abel GOUMBA]; People's Union for the Republic or UPR [Pierre Sammy MAKFOY]; Social Democratic Party or PSD [Enoch LAKOUE] |
| Political pressure groups and leaders: | Monam (combating gender-base violence) |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (subscriber), ITSO, ITU, ITUC, MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Stanislas MOUSSA-KEMBE |
| Diplomatic representation in the US: | chancery: 1618 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-7800 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-9893 |
| Diplomatic representation from the US: | chief of mission: Ambassador Laurence WOHLERS |
| Diplomatic representation from the US: | embassy: Avenue David Dacko, Bangui |
| Diplomatic representation from the US: | mailing address: B. P. 924, Bangui |
| Diplomatic representation from the US: | telephone: [236] 61 02 00 |
| Diplomatic representation from the US: | FAX: [236] 61 44 94 |
| Diplomatic representation from the US: | note: the embassy is currently operating with a minimal staff |
| Flag description: | four equal horizontal bands of blue (top), white, green, and yellow with a vertical red band in center; a yellow five-pointed star to the hoist side of the blue band; banner combines the Pan-African and French flag colors; red symbolizes the blood spilled in the struggle for independence, blue represents the sky and freedom, white peace and dignity, green hope and faith, and yellow tolerance; the star represents aspiration towards a vibrant future |
| National symbol(s): | elephant |
| National anthem: | name: "Le Renaissance" (The Renaissance) |
| National anthem: | lyrics/music: Barthelemy BOGANDA/Herbert PEPPER |
| National anthem: | note: adopted 1960; Barthelemy BOGANDA, who wrote the anthem's lyrics, was the first prime minister of the autonomous French territory |
