| Government | Central African Republic |
| --- | --- |
| Country name: | conventional long form: Central African Republic |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Centrafricaine |
| Country name: | local short form: none |
| Country name: | former: Ubangi-Shari, Central African Empire |
| Country name: | abbreviation: CAR |
| Government type: | republic |
| Capital: | name: Bangui |
| Capital: | geographic coordinates: 4 22 N, 18 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture), 2 economic prefectures* (prefectures economiques, singular - prefecture economique), and 1 commune**; Bamingui-Bangoran, Bangui**, Basse-Kotto, Haute-Kotto, Haut-Mbomou, Kemo, Lobaye, Mambere-Kadei, Mbomou, Nana-Grebizi*, Nana-Mambere, Ombella-Mpoko, Ouaka, Ouham, Ouham-Pende, Sangha-Mbaere*, Vakaga |
| Independence: | 13 August 1960 (from France) |
| National holiday: | Republic Day, 1 December (1958) |
| Constitution: | several previous; latest ratified by referendum 5 December 2004, effective 27 December 2004; amended 2010 (2010) |
| Legal system: | civil law system based on the French model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Michel DJOTODIA (since 24 March 2013 coup) note - a rebel force seized the capital in March 2013, forcing former president BOZIZE to flee the country; President DJOTODIA assumed the presidency, reinstated the Prime Minister, established a transitional government, and was subsequently affirmed as President by the National Transitional Council on 13 April 2013; an 18-month transition period officially began on 18 August 2013 |
| Executive branch: | head of government: Prime Minister Nicolas TIANGAYE (since 17 January 2013) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected for a five-year term (eligible for a second term); elections last held on 23 January 2011 (next to be held in 2014 - as specified in the January 2013 Libreville agreement); prime minister appointed by the president |
| Executive branch: | election results: Francois BOZIZE elected to a second term as president; percent of vote - Francois BOZIZE (KNK) 64.4%, Ange-Felix PATASSE 21.4%, Martin ZIGUELE (MLPC) 6.8%, Emile Gros Raymond NAKOMBO (RDC) 4.6%, Jean-Jacques DEMAFOUTH (NAP) 2.8% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (105 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 23 January 2011 and 27 March 2011 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - KNK 62, independents 26, MLPC 2, other 15 |
| Judicial branch: | highest court(s): Supreme Court (consists of NA judges); Constitutional Court (consists of 9 judges, at least 3 of which are women) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president; Constitutional Court judge appointments - 2 by the president, 1 by the speaker of the National Assembly, 2 elected by their peers, 2 are advocates elected by their peers, and 2 are law professors elected by their peers; judges serve 7-year non-renewable terms |
| Judicial branch: | subordinate courts: high courts; magistrates' courts |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP [Jacques MBOLIEDAS] |
| Political parties and leaders: | Central African Democratic Rally or RDC [Louis-Pierre GAMBA] |
| Political parties and leaders: | Civic Forum or FC [Gen. Timothee MALENDOMA] |
| Political parties and leaders: | Democratic Forum for Modernity or FODEM [Saturnin NDOMBY] |
| Political parties and leaders: | Liberal Democratic Party or PLD [Nestor KOMBO-NAGUEMON] |
| Political parties and leaders: | Londo Association or LONDO |
| Political parties and leaders: | Movement for Democracy and Development or MDD |
| Political parties and leaders: | Movement for the Liberation of the Central African People or MLPC [Martin ZIGUELE ] |
| Political parties and leaders: | National Convergence or KNK |
| Political parties and leaders: | National Unity Party or PUN [Jean-Paul NGOUPANDE] |
