| Government | CENTRAL AFRICAN REPUBLIC |
| --- | --- |
| Country name: | conventional long form: Central African Republic |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Centrafricaine |
| Country name: | local short form: none |
| Country name: | former: Ubangi-Shari, Central African Empire |
| Country name: | abbreviation: CAR |
| Government type: | republic |
| Capital: | name: Bangui |
| Capital: | geographic coordinates: 4 22 N, 18 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture), 2 economic prefectures* (prefectures economiques, singular - prefecture economique), and 1 commune**; Bamingui-Bangoran, Bangui**, Basse-Kotto, Haute-Kotto, Haut-Mbomou, Kemo, Lobaye, Mambere-Kadei, Mbomou, Nana-Grebizi*, Nana-Mambere, Ombella-Mpoko, Ouaka, Ouham, Ouham-Pende, Sangha-Mbaere*, Vakaga |
| Independence: | 13 August 1960 (from France) |
| National holiday: | Republic Day, 1 December (1958) |
| Constitution: | several previous; latest ratified by referendum 5 December 2004, effective 27 December 2004; amended 2010; note - the transitional parliament has begun work on a new constitution which should be ready for citizens feedback in early 2015 (2010) |
| Legal system: | civil law system based on the French model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Interim President Catherine SAMBA-PANZA (since 23 January 2014) |
| Executive branch: | head of government: Prime Minister Mahamat KAMOUN (since 10 August 2014); note - Prime Minister Andre NZAPAYEKE replaced Prime Minister Nicolas TIANGAYE on 25 January 2014 and was fired on 5 August 2014; Nicolas TIANGAYE resigned 10 January 2014 |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: interim president elected by the National Transitional Council on 20 January 2014 and sworn in three days later (next general election scheduled for October 2015 |
| Executive branch: | election results: Catherine SAMBA-PANZA elected in second round; SAMBA-PANZA 75 votes from the National Transitional Council, Desire KOLINGBA 53 votes (128 MPs out of 135 voted) |
| Executive branch: | note: rebel forces seized the capital in March 2013, forcing former President BOZIZE to flee the country; Interim President Michel DJOTODIA assumed the presidency, reinstated the prime minister, and established a National Transitional Council (CNT) in April 2013; the NTC elected Catherine SAMBA-PANZA interim president in January 2014 to serve until February 2015 when new elections were to be held; her term has been extended because instability has delayed new elections |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (105 seats; members directly elected in single-seat constituencies by absolute majority vote with a second round if needed; members serve 5-year terms) |
| Legislative branch: | elections: last held on 23 January 2011 and 27 March 2011 (next to be held in February 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - KNK 61, MLPC 1, RDC 1, independent 16, other 11 |
| Judicial branch: | highest court(s): Supreme Court (consists of NA judges); Constitutional Court (consists of 9 judges, at least 3 of which are women) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president; Constitutional Court judge appointments - 2 by the president, 1 by the speaker of the National Assembly, 2 elected by their peers, 2 are advocates elected by their peers, and 2 are law professors elected by their peers; judges serve 7-year non-renewable terms |
| Judicial branch: | subordinate courts: high courts; magistrates' courts |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP [Clement BELIBANGA] |
| Political parties and leaders: | Central African Democratic Rally or RDC [Louis-Pierre GAMBA] |
| Political parties and leaders: | Civic Forum or FC |
| Political parties and leaders: | Democratic Forum for Modernity or FODEM [Saturnin NDOMBY] |
| Political parties and leaders: | Liberal Democratic Party or PLD |
| Political parties and leaders: | Londo Association or LONDO |
| Political parties and leaders: | Movement for Democracy and Development or MDD |
| Political parties and leaders: | Movement for the Liberation of the Central African People or MLPC [Martin ZIGUELE] |
| Political parties and leaders: | National Convergence or KNK [Francois BOZIZE] |
