| Government | Central African Republic |
| --- | --- |
| Country name: | conventional long form: Central African Republic |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Centrafricaine |
| Country name: | local short form: none |
| Country name: | former: Ubangi-Shari, Central African Empire |
| Country name: | abbreviation: CAR |
| Government type: | republic |
| Capital: | name: Bangui |
| Capital: | geographic coordinates: 4 22 N, 18 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture), 2 economic prefectures* (prefectures economiques, singular - prefecture economique), and 1 commune**; Bamingui-Bangoran, Bangui**, Basse-Kotto, Haute-Kotto, Haut-Mbomou, Kemo, Lobaye, Mambere-Kadei, Mbomou, Nana-Grebizi*, Nana-Mambere, Ombella-Mpoko, Ouaka, Ouham, Ouham-Pende, Sangha-Mbaere*, Vakaga |
| Independence: | 13 August 1960 (from France) |
| National holiday: | Republic Day, 1 December (1958) |
| Constitution: | ratified by popular referendum 5 December 2004; effective 27 December 2004 |
| Legal system: | based on French law |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: President Francois BOZIZE (since 15 March 2003 coup) |
| Executive branch: | head of government: Prime Minister Elie DOTE (since 13 June 2005); note - Celestin GAOMBALET resigned 11 June 2005 |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | elections: under the new constitution, the president elected to a five-year term (eligible for a second term); elections last held 13 March and 8 May 2005 (next to be held in 2010); prime minister appointed by the political party with a parliamentary majority |
| Executive branch: | election results: Francois BOZIZE elected president; percent of second round balloting - Francois BOZIZE (KNK) 64.6%, Martin ZIGUELE (MLPC) 35.4% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (109 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 13 March 2005 and 8 May 2005 (next to be held NA 2010) |
| Legislative branch: | election results: percent of vote by party - MLPC 43%, RDC 18%, MDD 9%, FPP 6%, PSD 5%, ADP 4%, PUN 3%, FODEM 2%, PLD 2%, UPR 1%, FC 1%, independents 6%; seats by party - MLPC 47, RDC 20, MDD 8, FPP 7, PSD 6, ADP 5, PUN 3, FODEM 2, PLD 2, UPR 1, FC 1, independents 7 |
| Judicial branch: | Supreme Court or Cour Supreme; Constitutional Court (3 judges appointed by the president, 3 by the president of the National Assembly, and 3 by fellow judges); Court of Appeal; Criminal Courts; Inferior Courts |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP [Jacques MBOLIEDAS]; Central African Democratic Assembly or RDC [Andre KOLINGBA]; Civic Forum or FC [Gen. Timothee MALENDOMA]; Democratic Forum for Modernity or FODEM [Charles MASSI]; Liberal Democratic Party or PLD [Nestor KOMBO-NAGUEMON]; Movement for Democracy and Development or MDD [David DACKO]; Movement for the Liberation of the Central African People or MLPC [Ange-Felix PATASSE] (the party of deposed president); National Convergence or KNK; Patriotic Front for Progress or FPP [Abel GOUMBA]; People's Union for the Republic or UPR [Pierre Sammy MAKFOY]; National Unity Party or PUN [Jean-Paul NGOUPANDE]; Social Democratic Party or PSD [Enoch LAKOUE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, MIGA, NAM, OIC (observer), OIF, OPCW, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Emmanuel TOUABOY |
| Diplomatic representation in the US: | chancery: 1618 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-7800 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-9893 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires James PANOS |
| Diplomatic representation from the US: | embassy: Avenue David Dacko, Bangui |
| Diplomatic representation from the US: | mailing address: B. P. 924, Bangui |
| Diplomatic representation from the US: | telephone: [236] 61 02 00 |
| Diplomatic representation from the US: | FAX: [236] 61 44 94 |
| Diplomatic representation from the US: | note: the embassy is currently operating with a minimal staff |
| Flag description: | four equal horizontal bands of blue (top), white, green, and yellow with a vertical red band in center; there is a yellow five-pointed star on the hoist side of the blue band |
