| Government | Central African Republic |
| --- | --- |
| Country name: | conventional long form: Central African Republic |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Centrafricaine |
| Country name: | local short form: none |
| Country name: | former: Ubangi-Shari, Central African Empire |
| Country name: | abbreviation: CAR |
| Government type: | republic |
| Capital: | name: Bangui |
| Capital: | geographic coordinates: 4 22 N, 18 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture), 2 economic prefectures* (prefectures economiques, singular - prefecture economique), and 1 commune**; Bamingui-Bangoran, Bangui**, Basse-Kotto, Haute-Kotto, Haut-Mbomou, Kemo, Lobaye, Mambere-Kadei, Mbomou, Nana-Grebizi*, Nana-Mambere, Ombella-Mpoko, Ouaka, Ouham, Ouham-Pende, Sangha-Mbaere*, Vakaga |
| Independence: | 13 August 1960 (from France) |
| National holiday: | Republic Day, 1 December (1958) |
| Constitution: | several previous; latest ratified by referendum 5 December 2004, effective 27 December 2004; amended 2010; note - the transitional parliament has begun work on a new constitution which should be ready for citizens feedback in early 2015 (2010) |
| Legal system: | civil law system based on the French model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Interim President Catherine SAMBA-PANZA (since 20 January 2014); elected by the National Transitional Council |
| Executive branch: | head of government: Interim Prime Minister Andre NZAPAYEKE (since 25 January 2014); note - he replaced Prime Minister Nicolas TIANGAYE who resigned 10 January 2014 |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: interim president was elected by the National Transitional Council on 20 January 2014; she will be in office until February 2015 at the new general elections |
| Executive branch: | election results: in the second round Catherine SAMBA-PANZA was elected; SAMBA-PANZA 75 votes from the National Transitional Council, Desire KOLINGBA 53 votes (129 MPs out of 135 voted) |
| Executive branch: | note: rebel forces seized the captial in March 2013, forcing former President BOZIZE to flee the country; Interim President Michel DJOTODIA assumed the presidency, reinstated the prime minister, established a transitional government and was subsequently affirmed as president by the National Transitional Council on 13 Apriil 2013; he resigned soon after because of racial violence in the country and was replced briefly by Interim President Alexandre-Ferdinand NGUENDET |
| Legislative branch: | unicameral National Transitional Council to act as the National Assembly or Assemblee Nationale (105 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 23 January 2011 and 27 March 2011 (next to be held in February 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Judicial branch: | highest court(s): Supreme Court (consists of NA judges); Constitutional Court (consists of 9 judges, at least 3 of which are women) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president; Constitutional Court judge appointments - 2 by the president, 1 by the speaker of the National Assembly, 2 elected by their peers, 2 are advocates elected by their peers, and 2 are law professors elected by their peers; judges serve 7-year non-renewable terms |
| Judicial branch: | subordinate courts: high courts; magistrates' courts |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP [Clement BELIBANGA] |
| Political parties and leaders: | Central African Democratic Rally or RDC [Louis-Pierre GAMBA] |
| Political parties and leaders: | Civic Forum or FC |
| Political parties and leaders: | Democratic Forum for Modernity or FODEM [Saturnin NDOMBY] |
| Political parties and leaders: | Liberal Democratic Party or PLD |
| Political parties and leaders: | Londo Association or LONDO |
| Political parties and leaders: | Movement for Democracy and Development or MDD |
| Political parties and leaders: | MaMovement for the Liberation of the Central African People or MLPC [Martin ZIGUELE ] |
| Political parties and leaders: | National Convergence or KNK [Francois BOZIZE] |
| Political parties and leaders: | National Unity Party or PUN |
| Political parties and leaders: | New Alliance for Progress or NAP [Jean-Jacques DEMAFOUTH] |
