| Government | TAJIKISTAN |
| --- | --- |
| Country name: | conventional long form: Republic of Tajikistan |
| Country name: | conventional short form: Tajikistan |
| Country name: | local long form: Jumhurii Tojikiston |
| Country name: | local short form: Tojikiston |
| Country name: | former: Tajik Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Dushanbe |
| Capital: | geographic coordinates: 38 33 N, 68 46 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 2 provinces (viloyatho, singular - viloyat), 1 autonomous province* (viloyati mukhtor), 1 capital region** (viloyati poytakht), and 1 area referred to as Districts Under Republic Administration***; Dushanbe**, Khatlon (Qurghonteppa), Kuhistoni Badakhshon [Gorno-Badakhshan]* (Khorugh), Nohiyahoi Tobei Jumhuri***, Sughd (Khujand) |
| Administrative divisions: | note: the administrative center name follows in parentheses |
| Independence: | 9 September 1991 (from the Soviet Union) |
| National holiday: | Independence Day (or National Day), 9 September (1991) |
| Constitution: | several previous; latest adopted 6 November 1994; amended 1999, 2003 (2009) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Emomali RAHMON (since 6 November 1994; head of state and Supreme Assembly chairman since 19 November 1992) |
| Executive branch: | head of government: Prime Minister Qohir RASULZODA (since 23 November 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the Supreme Assembly |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 7-year term (eligible for 2 terms); election last held on 6 November 2013 (next to be held in November 2020); prime minister appointed by the president |
| Executive branch: | election results: Emomali RAHMON reelected president; percent of vote - Emomali RAHMON (PDPT) 83.9%, Ismoil TALBAKOV (CPT)  5%, other 11.1% |
| Legislative branch: | description: bicameral Supreme Assembly or Majlisi Oli consists of the National Assembly or Majlisi Milli (34 seats; 25 members indirectly elected by local representative assemblies or majlisi, 8 appointed by the president, and 1 reserved for the former president; members serve 5-year terms) and the Assembly of Representatives or Majlisi Namoyandagon (63 seats; 41 members directly elected in single-seat constituencies by two-round absolute majority vote and 22 directly elected in a single nationwide constituency by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: National Assembly - last held on 1 March 2015 (next to be held 2020); Assembly of Representatives - last held on 1 March 2015 (next to be held 2020) |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA; seats by party - NA; Assembly of Representatives - percent of vote by party - PDPT 65.4%, APT 11.7%, PERT 7.5%, SPT 5.5%, CPT 2.2%, Democratic Party 1.7%, other 6%; seats by party - PDPT 55, APT 5, PERT 3, SPT 1, CPT 2, Democratic Party 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chairman, deputy chairmen, and 34 judges organized into civil, criminal, and military chambers); Constitutional Court (consists of the court chairman, vice-president, and 5 judges); High Economic Court (consists 16 judicial positions) |
| Judicial branch: | judge selection and term of office: Supreme Court, Constitutional Court, and High Economic Court judges nominated by the president of the republic and approved by the National Assembly; judges of all 3 courts appointed for 10-year renewable terms with no limit on terms, but last appointment must occur before the age of 65 |
| Judicial branch: | subordinate courts: regional and district courts; Dushanbe City Court; viloyat (province level) courts; Court of Gorno-Badakhshan Autonomous Region |
| Political parties and leaders: | Agrarian Party of Tajikistan or APT [Amir QARAQULOV] |
| Political parties and leaders: | Communist Party of Tajikistan or CPT [Shodi SHABDOLOV] |
| Political parties and leaders: | Democratic Party of Tajikistan [Saidjafar ISMONOV] |
| Political parties and leaders: | Islamic Revival Party of Tajikistan or IRPT [Muhiddin KABIRI] |
| Political parties and leaders: | Party of Economic Reform of Tajikistan or PERT [Olimjon BOBOEV] |
| Political parties and leaders: | People's Democratic Party of Tajikistan or PDPT [Emomali RAHMON] |
| Political parties and leaders: | Social Democratic Party of Tajikistan or SDPT [Rahmatullo ZOYIROV] |
| Political parties and leaders: | Socialist Party of Tajikistan or SPT [Abduhalim GHAFOROV] |
| Political pressure groups and leaders: | influential religious leader Akbar TURAJONZODA |
| Political pressure groups and leaders: | New Tajikistan party [Zayd SAIDOV] (unregistered) |
| Political pressure groups and leaders: | Guruhi-24 (Group-24) [Umarali QUVVATOV] (unregistered opposition group) |
| Political pressure groups and leaders: | presidential candidate of Union of Reformist Forces of Tajikistan Oynihol BOBONAZAROVA (unregistered) |
| Political pressure groups and leaders: | Vatandor (Patriot) Movement [Dodojon ATOVULLOEV] |
| Political pressure groups and leaders: | Youth Party of Tajikistan [Izzat AMON] (unregistered) |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAPC, EBRD, ECO, EITI (candidate country), FAO, G-77, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Farhod SALIM (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 1005 New Hampshire Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-6090 |
| Diplomatic representation in the US: | FAX: [1] (202) 223-6091 |
| Diplomatic representation from the US: | chief of mission: Ambassador Susan M. ELLIOTT (since 25 July 2012) |
| Diplomatic representation from the US: | embassy: 109-A Ismoili Somoni Avenue, Dushanbe 734019 |
| Diplomatic representation from the US: | mailing address: 7090 Dushanbe Place, Dulles, VA 20189 |
| Diplomatic representation from the US: | telephone: [992] (37) 229-20-00 |
| Diplomatic representation from the US: | FAX: [992] (37) 229-20-50 |
