| Government | Tajikistan |
| --- | --- |
| Country name: | conventional long form: Republic of Tajikistan |
| Country name: | conventional short form: Tajikistan |
| Country name: | local long form: Jumhurii Tojikiston |
| Country name: | local short form: Tojikiston |
| Country name: | former: Tajik Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Dushanbe |
| Capital: | geographic coordinates: 38 35 N, 68 48 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 2 provinces (viloyatho, singular - viloyat) and 1 autonomous province* (viloyati mukhtor); Viloyati Khatlon (Qurghonteppa), Viloyati Mukhtori Kuhistoni Badakhshon* [Gorno-Badakhshan] (Khorugh), Viloyati Sughd (Khujand) |
| Administrative divisions: | note: the administrative center name follows in parentheses |
| Independence: | 9 September 1991 (from Soviet Union) |
| National holiday: | Independence Day (or National Day), 9 September (1991) |
| Constitution: | 6 November 1994 |
| Legal system: | based on civil law system; no judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Emomali RAHMONOV (since 6 November 1994; head of state and Supreme Assembly chairman since 19 November 1992) |
| Executive branch: | head of government: Prime Minister Oqil OQILOV (since 20 January 1999) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the Supreme Assembly |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held 6 November 2006 (next to be held November 2013); prime minister appointed by the president |
| Executive branch: | election results: Emomali RAHMONOV reelected president; percent of vote - Emomali RAHMONOV 76.4%, Olimzon BOBOYEV 7.2%, other 16.4% |
| Legislative branch: | bicameral Supreme Assembly or Majlisi Oli consists of the Assembly of Representatives (lower chamber) or Majlisi Namoyandagon (63 seats; members are elected by popular vote to serve five-year terms) and the National Assembly (upper chamber) or Majlisi Milliy (34 seats; members are indirectly elected, 25 selected by local deputies, 8 appointed by the president; 1 seat reserved for the former president; all serve five-year terms) |
| Legislative branch: | elections: last held 27 February and 13 March 2005 for the Assembly of Representatives (next to be held February 2010) and 25 March 2005 for the National Assembly (next to be held February 2010) |
| Legislative branch: | election results: Assembly of Representatives - percent of vote by party - PDPT 74.9%, CPT 13.6%, Islamic Revival Party 8.9%, other 2.5%; seats by party - PDPT 51, CPT 5, Islamic Revival Party 2, independents 5; National Assembly - percent of vote by party - NA%; seats by party - PDPT 29, CPT 2, independents 3 |
| Judicial branch: | Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | Agrarian Party of Tajikistan or APT [Amir KARAKULOV]; Democratic Party or DPT [Mahmadruzi ISKANDAROV]; Islamic Revival Party [Said Abdullo NURI]; Party of Economic Reform or PER [Olimjon BOBOYEV]; People's Democratic Party of Tajikistan or PDPT [Emomali RAHMONOV]; Social Democratic Party or SDPT [Rahmatullo ZOYIROV]; Socialist Party or SPT [Abdualim GHAFFOROV]; Tajik Communist Party or CPT [Shodi SHABDOLOV] |
| Political pressure groups and leaders: | unregistered political parties: Agrarian Party [Hikmatullo NASREDDINOV]; Party of Justice [Abdurahim KARIMOV]; People's Unity Party [Abdumalik ABDULLOJONOV]; Progressive Party [Sulton QUVVATOV]; Socialist Party [Mirhuseyn NAZRIYEV]; note - this is the SPT that was disbanded, another pro-government SPT (listed above under political parties) replaced it; Unity Party [Hikmatullo SAIDOV] |
| International organization participation: | AsDB, CIS, EAPC, EBRD, ECO, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ITU, MIGA, OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Khamrokhon ZARIPOV |
| Diplomatic representation in the US: | chancery: 1005 New Hampshire Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-6090 |
| Diplomatic representation in the US: | FAX: [1] (202) 223-6091 |
| Diplomatic representation from the US: | chief of mission: Ambassador Tracey Ann JACOBSON |
| Diplomatic representation from the US: | embassy: 109-A Ismoili Somoni Ave., Dushanbe 734003 |
| Diplomatic representation from the US: | mailing address: 7090 Dushanbe Place, Dulles, VA 20189 |
| Diplomatic representation from the US: | telephone: [992] (37) 229-20-00 |
| Diplomatic representation from the US: | FAX: [992] (37) 229-20-50 |
| Flag description: | three horizontal stripes of red (top), a wider stripe of white, and green; a gold crown surmounted by seven gold, five-pointed stars is located in the center of the white stripe |
