| Government | CURACAO |
| --- | --- |
| Country name: | Dutch long form: Land Curacao |
| Country name: | Dutch short form: Curacao |
| Country name: | Papiamentu long form: Pais Korsou |
| Country name: | Papiamentu short form: Korsou |
| Country name: | former: Netherlands Antilles; Curacao and Dependencies |
| Dependency status: | constituent country within the Kingdom of the Netherlands; full autonomy in internal affairs granted in 2010; Dutch Government responsible for defense and foreign affairs |
| Government type: | parliamentary |
| Capital: | name: Willemstad |
| Capital: | geographic coordinates: 12 06 N, 68 55 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (part of the Kingdom of the Netherlands) |
| Independence: | none (part of the Kingdom of the Netherlands) |
| National holiday: | King's Day, 27 April 1967 |
| Constitution: | previous 1947, 1955; latest adopted 5 September 2010, entered into force 10 October 2010 (regulates governance of Curacao but is subordinate to the Charter for the Kingdom of the Netherlands); note - in October 2010, with the dissolution of the Netherlands Antilles, Curacao became a constituent country within the Kingdom of the Netherlands |
| Legal system: | based on Dutch civil law system with some English common law influence |
| Citizenship: | see the Netherlands |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King WILLEM-ALEXANDER of the Netherlands (since 30 April 2013); represented by Governor Lucille A. GEORGE-WOUT (since 4 November 2013) |
| Executive branch: | head of government: Prime Minister Bernard WHITEMAN (1 September 2015); Prime Minister Ivar ASJES resigned 31 August 2015 |
| Executive branch: | cabinet: Cabinet appointed by the governor |
| Executive branch: | elections: the monarch is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party is usually elected prime minister by the parliament; next election is scheduled for 2016 |
| Legislative branch: | description: unicameral Estates of Curacao or Staten van Curacao (21 seats; members directly elected by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held 19 October 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - PS 22.6%, MFK 21.2%, PAR 19.7%, PAIS 17.7%, MAN 9.5%, PNP 5.9%, other 3.4%; seats by party - PS 5, MFK 5, PAR 4, PAIS 4, MAN 2, PNP 1 |
| Judicial branch: | highest court(s): Common Court of Justice of Aruba, Curacao, Sint Maarten, Bonaire, Sint Eustatius and Saba (consists of judges from the subordinate courts) |
| Judicial branch: | judge selection and terms of office: NA |
| Judicial branch: | subordinate courts: first instance courts, appeals court; specialized courts |
| Political parties and leaders: | Movementu Futuro Korsou or MFK [Gerrit SCHOTTE] |
| Political parties and leaders: | Movishon Antia Nobo or MAN [Hensley KOEIMAN] |
| Political parties and leaders: | Partido Antia Restruktura or PAR [Zita JESUS-LEITO] |
| Political parties and leaders: | Partido pa Adelanto I Inovashon Soshal or PAIS [Alex ROSARIA] |
| Political parties and leaders: | Partido Nashonal di Pueblo or PNP [Humphrey DAVELAAR] |
| Political parties and leaders: | Pueblo Soberano or PS [Ivar ASJES] |
| Diplomatic representation in the US: | none (represented by the Kingdom of the Netherlands) |
| Diplomatic representation from the US: | chief of mission: Consul General James R. Moore (since June 2013); note - also accredited to Aruba and Sint Martin |
| Diplomatic representation from the US: | consulate(s) general: J. B. Gorsiraweg |
| Diplomatic representation from the US: | mailing address: P. O. Box 158, Willemstad, Curacao |
| Diplomatic representation from the US: | telephone: [599] (9) 4613066 |
| Diplomatic representation from the US: | FAX: [599] (9) 4616489 |
| Flag description: | on a blue field a horizontal yellow band somewhat below the center divides the flag into proportions of 5:1:2; two five-pointed white stars - the smaller above and to the left of the larger - appear in the canton; the blue of the upper and lower sections symbolizes the sky and sea respectively; yellow represents the sun; the stars symbolize Curacao and its uninhabited smaller sister island of Klein Curacao; the five star points signify the five continents from which Curacao's people derive |
| National symbol(s): | laraha (citrus tree); national colors: blue, yellow, white |
| National anthem: | name: Himmo di Korsou (Anthem of Curacao) |
| National anthem: | lyrics/music: Guillermo ROSARIO, Mae HENRIQUEZ, Enrique MULLER, Betty DORAN/Frater Candidus NOWENS, Errol "El Toro" COLINA |
| National anthem: | note: adapted 1978; the lyrics, originally written in 1899, were rewritten in 1978 to make them less colonial in nature |
