| Government | CURACAO |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Curacao |
| Country name: | local long form: Land Curacao (Dutch); Pais Korsou (Papiamento) |
| Country name: | local short form: Curacao (Dutch); Korsou (Papiamento) |
| Country name: | former: Netherlands Antilles; Curacao and Dependencies |
| Country name: | etymology: the most plausible name derivation is that the island was designated Isla de la Curacion (Spanish meaning "Island of the Cure" or "Island of Healing") or Ilha da Curacao (Portuguese meaning the same) to reflect the locale's function as a recovery stop for sick crewmen |
| Dependency status: | constituent country within the Kingdom of the Netherlands; full autonomy in internal affairs granted in 2010; Dutch Government responsible for defense and foreign affairs |
| Government type: | parliamentary democracy |
| Capital: | name: Willemstad |
| Capital: | geographic coordinates: 12 06 N, 68 55 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (part of the Kingdom of the Netherlands) |
| Administrative divisions: | note: Curacao is one of four constituent countries of the Kingdom of the Netherlands; the other three are the Netherlands, Aruba, and Sint Maarten |
| Independence: | none (part of the Kingdom of the Netherlands) |
| National holiday: | King's Day (birthday of King WILLEM-ALEXANDER), 27 April (1967); note - King's or Queen's Day are observed on the ruling monarch's birthday; celebrated on 26 April if 27 April is a Sunday |
| Constitution: | previous 1947, 1955; latest adopted 5 September 2010, entered into force 10 October 2010 (regulates governance of Curacao but is subordinate to the Charter for the Kingdom of the Netherlands); note - in October 2010, with the dissolution of the Netherlands Antilles, Curacao became a constituent country within the Kingdom of the Netherlands (2017) |
| Legal system: | based on Dutch civil law system with some English common law influence |
| Citizenship: | see the Netherlands |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King WILLEM-ALEXANDER of the Netherlands (since 30 April 2013); represented by Governor Lucille A. GEORGE-WOUT (since 4 November 2013) |
| Executive branch: | head of government: Prime Minister Eugene RHUGGENAATH (since 29 May 2017) |
| Executive branch: | cabinet: Cabinet appointed by the governor |
| Executive branch: | elections: the monarch is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party is usually elected prime minister by the parliament |
| Legislative branch: | description: unicameral Estates of Curacao or Staten van Curacao (21 seats; members directly elected by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held 28 April 2017 (next to be held on 2021); early elections are being held after Prime Minister Hensley KOEIMAN resigned on 12 February 2017, when the coalition government lost its majority |
| Legislative branch: | election results: percent of vote by party - PAR 23.3%, MAN 20.4%, MFK 19.9%, KdnT 9.4%, PIN 5.3%, PS 5.1%, MP 4.9%, other 11.7%; seats by party - PAR 6, MAN 5, MFK 5, KdnT 2, PIN 1, PS 1, MP 1 |
| Judicial branch: | highest court(s): Joint Court of Justice of Aruba, Curacao, Sint Maarten, and of Bonaire, Sint Eustatitus and Saba or "Joint Court of Justice" (sits as a 3-judge panel); final appeals heard by the Supreme Court, in The Hague, Netherlands |
| Judicial branch: | judge selection and term of office: Joint Court judges appointed by the monarch for life |
| Judicial branch: | subordinate courts: first instance courts, appeals court; specialized courts |
| Political parties and leaders: | Korsou di Nos Tur or KdnT [Amparo dos SANTOS] |
| Political parties and leaders: | Movementu Futuro Korsou or MFK [Gerrit SCHOTTE] |
| Political parties and leaders: | Movementu Progresivo or MP [Marylin MOSES] |
| Political parties and leaders: | Movishon Antia Nobo or MAN [Hensley KOEIMAN] |
| Political parties and leaders: | Partido Antia Restruktura or PAR [Eugene RHUGGENAATH] |
| Political parties and leaders: | Partido Inovashon Nashonal or PIN [Suzanne CAMELIA-ROMER] |
| Political parties and leaders: | Partido pa Adelanto I Inovashon Soshal or PAIS [Alex ROSARIA] |
| Political parties and leaders: | Partido Nashonal di Pueblo or PNP [Humphrey DAVELAAR] |
| Political parties and leaders: | Pueblo Soberano or PS (vacant) |
| Political parties and leaders: | Un Korsou Hustu [Omayra LEEFLANG] |
| Diplomatic representation in the US: | none (represented by the Kingdom of the Netherlands) |
| Diplomatic representation from the US: | chief of mission: Consul General Margaret HAWTHORNE (since April 2016); note - also accredited to Aruba and Sint Maarten |
| Diplomatic representation from the US: | consulate(s) general: J. B. Gorsiraweg |
| Diplomatic representation from the US: | mailing address: P. O. Box 158, Willemstad, Curacao |
| Diplomatic representation from the US: | telephone: [599] (9) 4613066 |
| Diplomatic representation from the US: | FAX: [599] (9) 4616489 |
| Flag description: | on a blue field a horizontal yellow band somewhat below the center divides the flag into proportions of 5:1:2; two five-pointed white stars - the smaller above and to the left of the larger - appear in the canton; the blue of the upper and lower sections symbolizes the sky and sea respectively; yellow represents the sun; the stars symbolize Curacao and its uninhabited smaller sister island of Klein Curacao; the five star points signify the five continents from which Curacao's people derive |
| National symbol(s): | laraha (citrus tree); national colors: blue, yellow, white |
| National anthem: | name: Himmo di Korsou (Anthem of Curacao) |
| National anthem: | lyrics/music: Guillermo ROSARIO, Mae HENRIQUEZ, Enrique MULLER, Betty DORAN/Frater Candidus NOWENS, Errol "El Toro" COLINA |
| National anthem: | note: adapted 1978; the lyrics, originally written in 1899, were rewritten in 1978 to make them less colonial in nature |
