| Government | Uzbekistan |
| --- | --- |
| Country name: | conventional long form: Republic of Uzbekistan |
| Country name: | conventional short form: Uzbekistan |
| Country name: | local long form: Ozbekiston Respublikasi |
| Country name: | local short form: Ozbekiston |
| Country name: | former: Uzbek Soviet Socialist Republic |
| Government type: | republic; authoritarian presidential rule, with little power outside the executive branch |
| Capital: | name: Tashkent (Toshkent) |
| Capital: | geographic coordinates: 41 20 N, 69 18 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 12 provinces (viloyatlar, singular - viloyat), 1 autonomous republic* (respublika), and 1 city** (shahar); Andijon Viloyati, Buxoro Viloyati, Farg'ona Viloyati, Jizzax Viloyati, Namangan Viloyati, Navoiy Viloyati, Qashqadaryo Viloyati (Qarshi), Qoraqalpog'iston Respublikasi* (Nukus), Samarqand Viloyati, Sirdaryo Viloyati (Guliston), Surxondaryo Viloyati (Termiz), Toshkent Shahri**, Toshkent Viloyati, Xorazm Viloyati (Urganch) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 1 September 1991 (from Soviet Union) |
| National holiday: | Independence Day, 1 September (1991) |
| Constitution: | adopted 8 December 1992 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Islom KARIMOV (since 24 March 1990, when he was elected president by the then Supreme Soviet) |
| Executive branch: | head of government: Prime Minister Shavkat MIRZIYAYEV (since 11 December 2003) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president with approval of the Supreme Assembly |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term; previously was a five-year term, extended by constitutional amendment in 2002); election last held 9 January 2000 (next to be held in 2007); prime minister, ministers, and deputy ministers appointed by the president |
| Executive branch: | election results: Islom KARIMOV reelected president; percent of vote - Islom KARIMOV 91.9%, Abdulkhafiz JALALOV 4.2% |
| Legislative branch: | bicameral Supreme Assembly or Oliy Majlis consists of an upper house or Senate (100 seats; 84 members are elected by regional governing councils and 16 appointed by the president; to serve five-year terms) and a lower house or Legislative Chamber (120 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 26 December 2004 and 9 January 2005 (next to be held December 2009) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; Legislative Chamber - percent of vote by party - NA; seats by party - LDPU 41, NDP 32, Fidokorlar 17, MTP 11, Adolat 9, unaffiliated 10 |
| Legislative branch: | note: all parties in the Supreme Assembly support President KARIMOV |
| Judicial branch: | Supreme Court (judges are nominated by the president and confirmed by the Supreme Assembly) |
| Political parties and leaders: | Adolat (Justice) Social Democratic Party [Dilorom TASHMUHAMMEDOVA]; Democratic National Rebirth Party (Milly Tiklanish) or MTP [Hurshid DOSMUHAMMEDOV]; Fidokorlar National Democratic Party (Self-Sacrificers) [Ahtam TURSUNOV]; Liberal Democratic Party of Uzbekistan or LDPU [Adham SHADMANOV; People's Democratic Party or NDP (formerly Communist Party) [Asliddin RUSTAMOV] |
| Political pressure groups and leaders: | Agrarian and Entrepreneurs' Party [Marat ZAHIDOV]; Birlik (Unity) Movement [Abdurakhim POLAT, chairman]; Committee for the Protection of Human Rights [Marat ZAHIDOV]; Erk (Freedom) Democratic Party [Muhammad SOLIH, chairman] was banned 9 December 1992; Ezgulik Human Rights Society [Vasila INOYATOVA]; Free Farmers' Party or Ozod Dehqonlar [Nigora KHIDOYATOVA]; Human Rights Society of Uzbekistan [Talib YAKUBOV, chairman]; Independent Human Rights Organization of Uzbekistan [Mikhail ARDZINOV, chairman]; Mazlum; Sunshine Coalition [Sanjar UMAROV, chairman] |
| International organization participation: | AsDB, CIS, CSTO, EAEC, EAPC, EBRD, ECO, FAO, GCTU, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Abdulaziz KAMILOV |
| Diplomatic representation in the US: | chancery: 1746 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 887-5300 |
| Diplomatic representation in the US: | FAX: [1] (202) 293-6804 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard B. NORLAND |
| Diplomatic representation from the US: | embassy: 3 Moyqo'rq'on, 5th Block, Yunusobod District, Tashkent 100093 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [998] (71) 120-5450 |
| Diplomatic representation from the US: | FAX: [998] (71) 120-6335 |
| Flag description: | three equal horizontal bands of blue (top), white, and green separated by red fimbriations with a white crescent moon and 12 white stars in the upper hoist-side quadrant |
