| Government | Uzbekistan |
| --- | --- |
| Country name: | conventional long form: Republic of Uzbekistan |
| Country name: | conventional short form: Uzbekistan |
| Country name: | local long form: O'zbekiston Respublikasi |
| Country name: | local short form: O'zbekiston |
| Country name: | former: Uzbek Soviet Socialist Republic |
| Government type: | republic; authoritarian presidential rule, with little power outside the executive branch |
| Capital: | name: Tashkent (Toshkent) |
| Capital: | geographic coordinates: 41 19 N, 69 15 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 12 provinces (viloyatlar, singular - viloyat), 1 autonomous republic* (respublika), and 1 city** (shahar); Andijon Viloyati, Buxoro Viloyati, Farg'ona Viloyati, Jizzax Viloyati, Namangan Viloyati, Navoiy Viloyati, Qashqadaryo Viloyati (Qarshi), Qoraqalpog'iston Respublikasi [Karakalpakstan Republic]* (Nukus), Samarqand Viloyati, Sirdaryo Viloyati (Guliston), Surxondaryo Viloyati (Termiz), Toshkent Shahri [Tashkent City]**, Toshkent Viloyati [Tashkent province], Xorazm Viloyati (Urganch) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 1 September 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 1 September (1991) |
| Constitution: | several previous; latest adopted 8 December 1992; amended several times, last in 2012 (2012) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Islom KARIMOV (since 24 March 1990, when he was elected president by the then Supreme Soviet; elected president of independent Uzbekistan in 1991) |
| Executive branch: | head of government: Prime Minister Shavkat MIRZIYOYEV (since 11 December 2003); First Deputy Prime Minister Rustam AZIMOV (since 2 January 2008) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president with approval of both chambers of the Supreme Assembly (Oliy Majlis) |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term; previously was a five-year term, extended by a 2002 constitutional amendment to seven years and changed back to five years in 2011); election last held on 23 December 2007 (next to be held in early 2015); prime minister, ministers, and deputy ministers appointed by the president |
| Executive branch: | election results: Islom KARIMOV reelected president; percent of vote - Islom KARIMOV 88.1%, Asliddin RUSTAMOV 3.2%, Dilorom TOSHMUHAMEDOVA 2.9%, Akmal SAIDOV 2.6%, other 3.2% |
| Legislative branch: | bicameral Supreme Assembly or Oliy Majlis consists of an upper house or Senate (100 seats; 84 members elected by regional governing councils and 16 appointed by the president; members to serve five-year terms) and a lower house or Legislative Chamber (Qonunchilik Palatasi) (150 seats; 135 members elected by popular vote to serve five-year terms, while 15 spots reserved for the Ecological Movement of Uzbekistan) |
| Legislative branch: | elections: last held on 27 December 2009 and 10 January 2010 (next to be held in December 2014) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; Legislative Chamber - percent of vote by party - NA; seats by party - LDPU 53, NDP 32, National Rebirth Party 31, Adolat 19 |
| Legislative branch: | note: all parties in the Supreme Assembly support President Islom KARIMOV |
| Judicial branch: | highest court(s): Supreme Court (consists of 34 judges organized in civil, criminal, and military sections); Constitutional Court (consists of 7 judges); Higher Economic Court (consists of 19 judges) |
| Judicial branch: | judge selection and term of office: judges of the 3 highest courts nominated by the president and confirmed by the Oliy Majlis; judges appointed for 5-year terms subject to reappointment |
| Judicial branch: | subordinate courts: regional, district, city, and town courts |
| Political parties and leaders: | Ecological Movement of Uzbekistan (O'zbekiston Ekologik Harakati) [Boriy ALIXONOV] |
| Political parties and leaders: | Justice (Adolat) Social Democratic Party of Uzbekistan [Ismoil SAIFNAZAROV] |
| Political parties and leaders: | Liberal Democratic Party of Uzbekistan (O'zbekiston Liberal-Demokratik Partiyasi) or LDPU [Muhamadyusuf TESHABOYEV] |
| Political parties and leaders: | National Rebirth Democratic Party of Uzbekistan (Milliy Tiklanish) [Akhtam TURSUNOV] |
| Political parties and leaders: | People's Democratic Party of Uzbekistan (Xalq Demokratik Partiyas) or NDP [Lativ GULYAMOV] (formerly Communist Party) |
| Political pressure groups and leaders: | there are no significant opposition political parties or pressure groups operating in Uzbekistan |
| International organization participation: | ADB, CICA, CIS, CSTO, EAPC, EBRD, ECO, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Baxtiyor GULOMOV (since 12 July 2013) |
| Diplomatic representation in the US: | chancery: 1746 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 887-5300 |
| Diplomatic representation in the US: | FAX: [1] (202) 293-6804 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador George KROL (since 10 June 2011) |
| Diplomatic representation from the US: | embassy: 3 Moyqo'rq'on, 5th Block, Yunusobod District, Tashkent 100093 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [998] (71) 120-5450 |
| Diplomatic representation from the US: | FAX: [998] (71) 120-6335 |
| Flag description: | three equal horizontal bands of blue (top), white, and green separated by red fimbriations with a white crescent moon (closed side to the hoist) and 12 white stars shifted to the hoist on the top band; blue is the color of the Turkic peoples and of the sky, white signifies peace and the striving for purity in thoughts and deeds, while green represents nature and is the color of Islam; the red stripes are the vital force of all living organisms that links good and pure ideas with the eternal sky and with deeds on earth; the crescent represents Islam and the 12 stars the months and constellations of the Uzbek calendar |
| National symbol(s): | khumo (mythical bird) |
| National anthem: | name: "O'zbekiston Respublikasining Davlat Madhiyasi" (National Anthem of the Republic of Uzbekistan) |
| National anthem: | lyrics/music: Abdulla ARIPOV/Mutal BURHANOV |
| National anthem: | note: adopted 1992; after the fall of the Soviet Union, Uzbekistan kept the music of the anthem from its time as a Soviet Republic but adopted new lyrics |
