| Government | Qatar |
| --- | --- |
| Country name: | conventional long form: State of Qatar |
| Country name: | conventional short form: Qatar |
| Country name: | local long form: Dawlat Qatar |
| Country name: | local short form: Qatar |
| Country name: | note: closest approximation of the native pronunciation falls between cutter and gutter, but not like guitar |
| Government type: | emirate |
| Capital: | name: Doha |
| Capital: | geographic coordinates: 25 17 N, 51 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 municipalities (baladiyat, singular - baladiyah); Ad Dawhah, Al Ghuwayriyah, Al Jumayliyah, Al Khawr, Al Wakrah, Ar Rayyan, Jarayan al Batinah, Madinat ash Shamal, Umm Sa'id, Umm Salal |
| Independence: | 3 September 1971 (from UK) |
| National holiday: | Independence Day, 3 September (1971) |
| Constitution: | ratified by public referendum on 29 April 2003, endorsed by the amir on 8 June 2004, effective on 9 June 2005 |
| Legal system: | based on Islamic and civil law codes; discretionary system of law controlled by the amir, although civil codes are being implemented; Islamic law dominates family and personal matters; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Amir HAMAD bin Khalifa al-Thani (since 27 June 1995 when, as crown prince, he ousted his father, Amir KHALIFA bin Hamad al-Thani, in a bloodless coup); Crown Prince TAMIM bin Hamad bin Khalifa al-Thani, fourth son of the monarch (selected Heir Apparent by the monarch on 5 August 2003); note - Amir HAMAD also holds the positions of Minister of Defense and Commander-in-Chief of the Armed Forces |
| Executive branch: | head of government: Prime Minister HAMAD bin Jasim bin Jabir al-Thani (since 3 April 2007); Deputy Prime Minister Abdallah bin Hamad al-ATIYAH (since 3 April 2007) |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary |
| Executive branch: | note: in April 2003, Qatar held nationwide elections for a 29-member Central Municipal Council (CMC), which has consultative powers aimed at improving the provision of municipal services; the first election for the CMC was held in March 1999 |
| Legislative branch: | unicameral Advisory Council or Majlis al-Shura (35 seats; members appointed) |
| Legislative branch: | note: no legislative elections have been held since 1970 when there were partial elections to the body; Council members have had their terms extended every four years since; the new constitution, which came into force on 9 June 2005, provides for a 45-member Consultative Council, or Majlis al-Shura; the public would elect two-thirds of the Majlis al-Shura; the amir would appoint the remaining members; preparations are underway to conduct elections to the Majlis al-Shura in late 2007 |
| Judicial branch: | Courts of First Instance, Appeal, and Cassation; note - the Amir appoints all judges - based on the recommendation of the Supreme Judiciary Council - for renewable three-year terms |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, ACC, AFESD, AMF, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICRM, IDB, IFAD, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation in the US: | chancery: 2555 M Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 274-1600 and 274-1603 |
| Diplomatic representation in the US: | FAX: [1] (202) 237-0061 |
| Diplomatic representation in the US: | consulate(s) general: Houston |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); charge d'Affaires Michael A. RATNEY |
| Diplomatic representation from the US: | embassy: Al-Luqta District, 22 February Road, Doha |
| Diplomatic representation from the US: | mailing address: P. O. Box 2399, Doha |
| Diplomatic representation from the US: | telephone: [974] 488 4298 |
| Diplomatic representation from the US: | FAX: [974] 488 4176 |
| Flag description: | maroon with a broad white serrated band (nine white points) on the hoist side |
