| Government | Sweden |
| --- | --- |
| Country name: | conventional long form: Kingdom of Sweden |
| Country name: | conventional short form: Sweden |
| Country name: | local long form: Konungariket Sverige |
| Country name: | local short form: Sverige |
| Government type: | constitutional monarchy |
| Capital: | name: Stockholm |
| Capital: | geographic coordinates: 59 20 N, 18 03 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 21 counties (lan, singular and plural); Blekinge, Dalarna, Gavleborg, Gotland, Halland, Jamtland, Jonkoping, Kalmar, Kronoberg, Norrbotten, Orebro, Ostergotland, Skane, Sodermanland, Stockholm, Uppsala, Varmland, Vasterbotten, Vasternorrland, Vastmanland, Vastra Gotaland |
| Independence: | 6 June 1523 (Gustav VASA elected king) |
| National holiday: | National Day, 6 June (1983); note - from 1916 to 1982 this date was celebrated as Swedish Flag Day |
| Constitution: | several previous; latest adopted 1 January 1975; amended several times, last in 2011 (2011) |
| Legal system: | civil law system influenced by Roman-Germanic law and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King CARL XVI GUSTAF (since 19 September 1973); Heir Apparent Princess VICTORIA Ingrid Alice Desiree, daughter of the monarch (born 14 July 1977) |
| Executive branch: | head of government: Prime Minister Fredrik REINFELDT (since 5 October 2006); Deputy Prime Minister Jan BJORKLUND (since 5 October 2010) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition usually becomes the prime minister |
| Legislative branch: | unicameral Parliament or Riksdag (349 seats; members are elected by popular vote on a proportional representation basis to serve four-year terms) |
| Legislative branch: | elections: last held on 19 September 2010 (next to be held in September 2014) |
| Legislative branch: | election results: percent of vote by party - SAP 30.7%, Moderate Party 30.1%, Green Party 7.3%, FP 7.1%, C 6.6%, SD 5.7%, KD 5.6%, V 5.6%, others 1.3%; seats by party - SAP 112, Moderate Party 107, Green Party 25, FP 24, C 23, SD 20, KD 19, V 19 |
