| Government | Cayman Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Cayman Islands |
| Dependency status: | overseas territory of the UK |
| Government type: | British crown colony |
| Capital: | George Town |
| Administrative divisions: | 8 districts; Creek, Eastern, Midland, South Town, Spot Bay, Stake Bay, West End, Western |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Constitution Day, first Monday in July |
| Constitution: | 1959, revised 1972 and 1992 |
| Legal system: | British common law and local statutes |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); Governor Bruce DINWIDDY (since 29 May 2002) |
| Executive branch: | elections: none; the monarch is hereditary; the governor is appointed by the monarch; the chief secretary is appointed by the governor |
| Executive branch: | head of government: Chief Secretary W. McKeeva BUSH (since NA December 2001) |
| Executive branch: | cabinet: Executive Council (three members appointed by the governor, four members elected by the Legislative Assembly) |
| Legislative branch: | unicameral Legislative Assembly (18 seats, three appointed members from the Executive Council and 15 elected by popular vote; members serve four-year terms) |
| Legislative branch: | elections: last held 8 November 2000 (next to be held 17 November 2004) |
| Legislative branch: | election results: percent of vote - NA; seats - NA |
| Judicial branch: | Summary Court; Grand Court; Cayman Islands Court of Appeal |
| Political parties and leaders: | no national teams (loose groupings of political organizations) were formed for the 2000 elections; United Democratic Party or UDP [leader McKeeva BUSH]; People's Progressive Movement or PPM [leader Kurt TIBBETTS] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Caricom (associate), CDB, Interpol (subbureau), IOC, UNESCO (associate), UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue, with the flag of the UK in the upper hoist-side quadrant and the Caymanian coat of arms centered on the outer half of the flag; the coat of arms includes a pineapple and turtle above a shield with three stars (representing the three islands) and a scroll at the bottom bearing the motto HE HATH FOUNDED IT UPON THE SEAS |
