| Government | Somalia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Somalia |
| Country name: | former: Somali Republic, Somali Democratic Republic |
| Government type: | no permanent national government; transitional, parliamentary national government |
| Capital: | Mogadishu |
| Administrative divisions: | 18 regions (plural - NA, singular - gobolka); Awdal, Bakool, Banaadir, Bari, Bay, Galguduud, Gedo, Hiiraan, Jubbada Dhexe, Jubbada Hoose, Mudug, Nugaal, Sanaag, Shabeellaha Dhexe, Shabeellaha Hoose, Sool, Togdheer, Woqooyi Galbeed |
| Independence: | 1 July 1960 (from a merger of British Somaliland, which became independent from the UK on 26 June 1960, and Italian Somaliland, which became independent from the Italian-administered UN trusteeship on 1 July 1960, to form the Somali Republic) |
| National holiday: | Foundation of the Somali Republic, 1 July (1960); note - 26 June (1960) in Somaliland |
| Constitution: | 25 August 1979, presidential approval 23 September 1979 |
| Constitution: | note: the Transitional National Government formed in August 2000 had a three-year mandate to create a new constitution and hold elections, this goal was not achieved but the process is ongoing |
| Legal system: | no national system; Shari'a and secular courts are in some localities |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Abdullahi YUSUF Ahmed (since 14 October 2004); note - a new Transitional Federal Government consisting of a 275-member parliament was established in October 2004 replacing the Transitional National Government created in 2000 |
| Executive branch: | election results: Abdullahi YUSUF Ahmed, the leader of the Puntland region of Somalia, was elected president by the Transitional Federal Government |
| Executive branch: | head of government: Prime Minister Ali Muhammad GHEDI (since 3 November 2004) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Legislative branch: | unicameral National Assembly |
| Legislative branch: | note: fledgling parliament; a 275-member Transitional Federal Government replaced the Transitional National Government created in 2000; the new parliament consists of 61 seats assigned to each of four large clan groups (Darod, Digil-Mirifle, Dir, and Hawiye) with the remaining 31 seats divided between minority clans |
| Judicial branch: | following the breakdown of national government, most regions have reverted to either Islamic (Shari'a) law with a provision for appeal of all sentences, or traditional clan-based arbitration |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | numerous clan and subclan factions are currently vying for power |
| International organization participation: | ACP, AfDB, AFESD, AMF, AU, CAEU, FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ITU, LAS, NAM, OIC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WFTU, WHO, WIPO, WMO |
| Diplomatic representation in the US: | Somalia does not have an embassy in the US (ceased operations on 8 May 1991); note - the TNG and other factions have representatives in Washington and at the United Nations |
| Diplomatic representation from the US: | the US does not have an embassy in Somalia; US interests are represented by the US Embassy in Nairobi, Kenya at Mombasa Road; mailing address: P. O. Box 30137, Unit 64100, Nairobi; APO AE 09831; telephone: [254] (2) 537800; FAX [254] (2) 537810 |
| Flag description: | light blue with a large white five-pointed star in the center; blue field influenced by the flag of the UN |
| Government - note: | although an interim government was created in 2000 other governing bodies continue to exist and control various cities and regions of the country, including Somaliland, Puntland, and traditional clan and faction strongholds |
