| Government | SOMALIA |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Somalia |
| Country name: | conventional short form: Somalia |
| Country name: | local long form: Jamhuuriyadda Federaalkaa Soomaaliya |
| Country name: | local short form: Soomaaliya |
| Country name: | former: Somali Republic, Somali Democratic Republic |
| Government type: | in the process of building a federal parliamentary republic |
| Capital: | name: Mogadishu |
| Capital: | geographic coordinates: 2 04 N, 45 20 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 regions (plural - NA, singular - gobolka); Awdal, Bakool, Banaadir, Bari, Bay, Galguduud, Gedo, Hiiraan, Jubbada Dhexe (Middle Jubba), Jubbada Hoose (Lower Jubba), Mudug, Nugaal, Sanaag, Shabeellaha Dhexe (Middle Shabeelle), Shabeellaha Hoose (Lower Shabeelle), Sool, Togdheer, Woqooyi Galbeed |
| Independence: | 1 July 1960 (from a merger of British Somaliland that became independent from the UK on 26 June 1960 and Italian Somaliland that became independent from the Italian-administered UN trusteeship on 1 July 1960 to form the Somali Republic) |
| National holiday: | Foundation of the Somali Republic, 1 July (1960); note - 26 June (1960) in Somaliland |
| Constitution: | previous 1961, 1979; latest drafted 12 June 2012, approved 1 August 2012 (provisional) (2015) |
| Legal system: | mixed legal system of civil law, Islamic law, and customary law (referred to as Xeer) |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Somalia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President HASSAN SHEIKH Mohamud (since 10 September 2012) |
| Executive branch: | head of government: Prime Minister Omar Abdirashid Ali SHARMARKE (since 24 December 2014); Deputy Prime Minister Mohamad Omar ARTEH (since 6 February 2015) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister, approved by the National Parliament |
| Executive branch: | elections/appointments: president indirectly elected by the Federal Parliament by two-thirds majority vote in 2 rounds if needed for a single 4-year term; election last held on 10 September 2012 (next to be held in 2016); prime minister appointed by the president, approved by the Federal Parliament |
| Executive branch: | election results: HASSAN SHEIKH Mohamud elected president; Federal Parliament second round vote - HASSAN SHEIKH Mohamud (PDP) 190, Sheikh SHARIF Sheikh Ahmed (ARS) 79; Omar Abdirashid Ali SHARMARKE approved as prime minister; Federal Parliament vote - 218 for approval, none against (6 members not present for vote) |
| Legislative branch: | description: unicameral National Parliament or Golaha Shacabka Soomaaliya consists of the House of the People (275 seats; members directly elected to serve 4-year terms) |
