| Government | Guyana |
| --- | --- |
| Country name: | conventional long form: Cooperative Republic of Guyana |
| Country name: | conventional short form: Guyana |
| Country name: | former: British Guiana |
| Government type: | republic |
| Capital: | name: Georgetown |
| Capital: | geographic coordinates: 6 48 N, 58 09 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions; Barima-Waini, Cuyuni-Mazaruni, Demerara-Mahaica, East Berbice-Corentyne, Essequibo Islands-West Demerara, Mahaica-Berbice, Pomeroon-Supenaam, Potaro-Siparuni, Upper Demerara-Berbice, Upper Takutu-Upper Essequibo |
| Independence: | 26 May 1966 (from the UK) |
| National holiday: | Republic Day, 23 February (1970) |
| Constitution: | 6 October 1980 |
| Legal system: | common law system, based on the English model, with some Roman-Dutch civil law influence |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Donald RAMOTAR (since 03 December 2011); |
| Executive branch: | head of government: Prime Minister Samuel HINDS (since October 1992, except for a period as chief of state after the death of President Cheddi JAGAN on 6 March 1997) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president, responsible to the legislature |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote as leader of a party list in parliamentary elections, which must be held at least every five years (no term limits); elections last held on 28 November 2011 (next to be called by December 2016); prime minister appointed by the president |
| Executive branch: | election results: Donald RAMOTAR elected president, percent of vote 48.6% |
| Legislative branch: | unicameral National Assembly (65 seats; members elected by popular vote, also not more than 4 non-elected non-voting ministers and 2 non-elected non-voting parliamentary secretaries appointed by the president; members to serve five-year terms) |
| Legislative branch: | elections: last held on 28 November 2011 (next to be held by November 2016) |
| Legislative branch: | election results: percent of vote by party - PPP/C 48.6%, APNU 40%, AFC 10.3%, other 1.1%; seats by party - PPP/C 32, APNU 26, AFC 7 |
| Judicial branch: | Supreme Court of Judicature, consisting of the High Court and the Court of Appeal, with right of final appeal to the Caribbean Court of Justice (CCJ) |
| Political parties and leaders: | Alliance for Change or AFC [Khemraj RAMJATTAN]; Justice for All Party [C.N. SHARMA]; A Partnership for National Unity or APNU [David GRANGER]; People's Progressive Party/Civic or PPP/C [Donald RAMOTAR]; Rise, Organize, and Rebuild or ROAR [Ravi DEV]; The United Force or TUF [Manzoor NADIR]; The Unity Party [Joey JAGAN]; Vision Guyana [Peter RAMSAROOP] |
| Political pressure groups and leaders: | Amerindian People's Association; Guyana Bar Association; Guyana Citizens Initiative; Guyana Human Rights Association; Guyana Public Service Union or GPSU; Private Sector Commission; Trades Union Congress |
| International organization participation: | ACP, AOSIS, C, Caricom, CD, CDB, CELAC, FAO, G-77, IADB, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, Petrocaribe, UN, UNASUR, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bayney KARRAN |
| Diplomatic representation in the US: | chancery: 2490 Tracy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-1297 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador D. Brent HARDT |
| Diplomatic representation from the US: | embassy: US Embassy, 100 Young and Duke Streets, Kingston, Georgetown |
| Diplomatic representation from the US: | mailing address: P. O. Box 10507, Georgetown; US Embassy, 3170 Georgetown Place, Washington DC 20521-3170 |
| Diplomatic representation from the US: | telephone: [592] 225-4900 through 4909 |
| Diplomatic representation from the US: | FAX: [592] 225-8497 |
| Flag description: | green, with a red isosceles triangle (based on the hoist side) superimposed on a long, yellow arrowhead; there is a narrow, black border between the red and yellow, and a narrow, white border between the yellow and the green; green represents forest and foliage; yellow stands for mineral resources and a bright future; white symbolizes Guyana's rivers; red signifies zeal and the sacrifice of the people; black indicates perseverance |
| National symbol(s): | Canje pheasant (hoatzin); jaguar |
| National anthem: | name: "Dear Land of Guyana, of Rivers and Plains" |
| National anthem: | lyrics/music: Archibald Leonard LUKERL/Robert Cyril Gladstone POTTER |
| National anthem: | note: adopted 1966 |
