| Government | Guyana |
| --- | --- |
| Country name: | conventional long form: Cooperative Republic of Guyana |
| Country name: | conventional short form: Guyana |
| Country name: | former: British Guiana |
| Country name: | etymology: the name is derived from Guiana, the original name for the region that included British Guiana, Dutch Guiana, and French Guiana; ultimately the word is derived from an indigenous Amerindian language and means "Land of Many Waters" (referring to the area's multitude of rivers and streams) |
| Government type: | parliamentary republic |
| Capital: | name: Georgetown |
| Capital: | geographic coordinates: 6 48 N, 58 09 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: when the British took possession of the town from the Dutch in 1812, they renamed it Georgetown in honor of King George III |
| Administrative divisions: | 10 regions; Barima-Waini, Cuyuni-Mazaruni, Demerara-Mahaica, East Berbice-Corentyne, Essequibo Islands-West Demerara, Mahaica-Berbice, Pomeroon-Supenaam, Potaro-Siparuni, Upper Demerara-Berbice, Upper Takutu-Upper Essequibo |
| Independence: | 26 May 1966 (from the UK) |
| National holiday: | Republic Day, 23 February (1970) |
| Constitution: | history: several previous; latest promulgated 6 October 1980 |
| Constitution: | amendments: proposed by the National Assembly; passage of amendments affecting constitutional articles, such as national sovereignty, government structure and powers, and constitutional amendment procedures, requires approval by the Assembly membership, approval in a referendum, and assent of the president; other amendments only require Assembly approval; amended many times, last in 2016 (2018) |
| Legal system: | common law system, based on the English model, with some Roman-Dutch civil law influence |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: na |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President David GRANGER (since 16 May 2015); Vice Presidents Sydney ALLICOCK, Carl Barrington GREENIDGE, Moses Veerasammy NAGAMOOTOO, and Hemraj RAMJATTAN (since 20 May 2015); Prime Minister Moses Veerasammy NAGAMOOTOO (since 20 May 2015); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President David GRANGER (since 16 May 2015); Vice Presidents Sydney ALLICOCK, Carl Barrington GREENIDGE, Moses Veerasammy NAGAMOOTOO, and Hemraj RAMJATTAN (since 20 May 2015); Prime Minister Moses Veerasammy NAGAMOOTOO (since 20 May 2015) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president, responsible to the National Assembly |
| Executive branch: | elections/appointments: the predesignated candidate of the winning party in the last National Assembly election becomes president for a 5-year term (no term limits); election last held on 11 May 2015 (next to be held no later than 2020); prime minister appointed by the president |
| Executive branch: | election results: David GRANGER (APNU-AFC) designated president by the majority party in the National Assembly |
| Legislative branch: | description: unicameral National Assembly (65 seats; 40 members directly elected in a single nationwide constituency and 25 directly elected in multi-seat constituencies - all by closed list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 11 May 2015 (next to be held on 2 March 2020) |
| Legislative branch: | election results: percent of vote by party - APNU-AFC 50.3%, PPP/C 49.2%, other 0.5%; seats by party - APNU-AFC 33, PPP/C 32; composition - men 44, women 21, percent of women 32.3% |
| Judicial branch: | highest courts: Supreme Court of Judicature (consists of the Court of Appeal with a chief justice and 3 justices, and the High Court with a chief justice and 10 justices organized into 3- or 5-judge panels); note - in 2009, Guyana acceded to the Caribbean Court of Justice as the final court of appeal in civil and criminal cases, replacing that of the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: Court of Appeal and High Court chief justices appointed by the president; other judges of both courts appointed by the Judicial Service Commission, a body appointed by the president; judges appointed for life with retirement at age 65 |
| Judicial branch: | subordinate courts: Land Court; magistrates' courts |
| Political parties and leaders: | A Partnership for National Unity or APNU [David A. GRANGER] |
| Political parties and leaders: | Alliance for Change or AFC [Raphael TROTMAN] |
| Political parties and leaders: | Justice for All Party [C.N. SHARMA] |
| Political parties and leaders: | National Independent Party or NIP [Saphier Husain SUBEDAR] |
| Political parties and leaders: | People's Progressive Party/Civic or PPP/C [Donald RAMOTAR] |
| Political parties and leaders: | The United Force or TUF [Manzoor NADIR] |
| Political parties and leaders: | United Republican Party or URP [Vishnu BANDHU] |
| International organization participation: | ACP, AOSIS, C, Caricom, CD, CDB, CELAC, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, Petrocaribe, UN, UNASUR, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Riyad David INSANALLY (since 16 Sept 2016) |
| Diplomatic representation in the US: | chancery: 2490 Tracy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-1297 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Sarah-Ann LYNCH (since 13 March 2019) |
| Diplomatic representation from the US: | telephone: [592] 225-4900 through 4909 |
| Diplomatic representation from the US: | embassy: US Embassy, 100 Young and Duke Streets, Kingston, Georgetown |
| Diplomatic representation from the US: | mailing address: P. O. Box 10507, Georgetown; US Embassy, 3170 Georgetown Place, Washington DC 20521-3170 |
| Diplomatic representation from the US: | FAX: [592] 225-8497 |
| Flag description: | green with a red isosceles triangle (based on the hoist side) superimposed on a long, yellow arrowhead; there is a narrow, black border between the red and yellow, and a narrow, white border between the yellow and the green; green represents forest and foliage; yellow stands for mineral resources and a bright future; white symbolizes Guyana's rivers; red signifies zeal and the sacrifice of the people; black indicates perseverance |
| National symbol(s): | Canje pheasant (hoatzin), jaguar, Victoria Regia water lily; national colors: red, yellow, green, black, white |
| National anthem: | name: Dear Land of Guyana, of Rivers and Plains |
| National anthem: | lyrics/music: Archibald Leonard LUKERL/Robert Cyril Gladstone POTTER |
| National anthem: | note: adopted 1966 |
