| Government | Norway |
| --- | --- |
| Country name: | conventional long form: Kingdom of Norway |
| Country name: | conventional short form: Norway |
| Country name: | local long form: Kongeriket Norge |
| Country name: | local short form: Norge |
| Government type: | constitutional monarchy |
| Capital: | name: Oslo |
| Capital: | geographic coordinates: 59 55 N, 10 45 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 counties (fylker, singular - fylke); Akershus, Aust-Agder, Buskerud, Finnmark, Hedmark, Hordaland, More og Romsdal, Nordland, Nord-Trondelag, Oppland, Oslo, Ostfold, Rogaland, Sogn og Fjordane, Sor-Trondelag, Telemark, Troms, Vest-Agder, Vestfold |
| Dependent areas: | Bouvet Island, Jan Mayen, Svalbard |
| Independence: | 7 June 1905 (Norway declared the union with Sweden dissolved); 26 October 1905 (Sweden agreed to the repeal of the union) |
| National holiday: | Constitution Day, 17 May (1814) |
| Constitution: | 17 May 1814; amended many times |
| Legal system: | mixture of customary law, civil law system, and common law traditions; Supreme Court renders advisory opinions to legislature when asked; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King HARALD V (since 17 January 1991); Heir Apparent Crown Prince HAAKON MAGNUS, son of the monarch (born 20 July 1973) |
| Executive branch: | head of government: Prime Minister Jens STOLTENBERG (since 17 October 2005) |
| Executive branch: | cabinet: State Council appointed by the monarch with the approval of parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; following parliamentary elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the monarch with the approval of the parliament |
| Legislative branch: | modified unicameral Parliament or Storting (169 seats; members elected by popular vote by proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held on 14 September 2009 (next to be held in September 2013) |
| Legislative branch: | election results: percent of vote by party - DNA 35.4%, FrP 22.9%, H 17.2%, SV 6.2%, Sp 6.2%, KrF 5.5%, V 3.9%, other 2.7%; seats by party - DNA 64, FrP 41, H 30, SV 11, Sp 11, KrF 10, V 2 |
| Legislative branch: | note: for certain purposes, the parliament divides itself into two chambers and elects one-fourth of its membership in the Lagting and three-fourths of its membership in the Odelsting |
| Judicial branch: | Supreme Court or Hoyesterett (justices appointed by the monarch) |
| Political parties and leaders: | Center Party (Senterpartiet or Sp) [Liv Signe NAVARSETE]; Christian People's Party (Kristelig Folkeparti or KrF) [Dagfinn HOYBRATEN]; Conservative Party (Hoyre or H) [Erna SOLBERG]; Labor Party (Det norske Arbeiderpartiet or DNA) [Jens STOLTENBERG]; Liberal Party (Venstre or V) [Trine SKEI-GRANDE]; Progress Party (Framstegspartiet or FrP) [Siv JENSEN]; Socialist Left Party (Sosialistisk Venstreparti or SV) [Kristin HALVORSEN] |
| Political pressure groups and leaders: | Norwegian Aid Committee or NORWAC; Norwegian Association of the Disabled; Pure Salmon Campaign; The Consumer Council (consumer advocacy group) |
| Political pressure groups and leaders: | other: environmental groups; media; reform movements |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EFTA, ESA, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIS, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Wegger C. STROMMEN |
| Diplomatic representation in the US: | chancery: 2720 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-0870 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Barry B. WHITE |
| Diplomatic representation from the US: | embassy: Henrik Ibsens gate 48, 0244 Oslo; note - the embassy will move to Huseby in the near future |
| Diplomatic representation from the US: | mailing address: PSC 69, Box 1000, APO AE 09707 |
| Diplomatic representation from the US: | telephone: [47] 22 44 85 50 |
| Diplomatic representation from the US: | FAX: [47] 22 44 33 63, 22 56 27 51 |
| Flag description: | red with a blue cross outlined in white that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the colors recall Norway's past political unions with Denmark (red and white) and Sweden (blue) |
| National anthem: | name: "Ja, vi elsker dette landet" (Yes, We Love This Country) |
| National anthem: | lyrics/music: Bjornstjerne BJORNSON/Rikard NORDRAAK |
| National anthem: | note: adopted 1864; in addition to the national anthem, "Kongesangen" (Song of the King), which uses the tune of "God Save the Queen," serves as the royal anthem |
