| Government | Norway |
| --- | --- |
| Country name: | conventional long form: Kingdom of Norway |
| Country name: | conventional short form: Norway |
| Country name: | local short form: Norge |
| Country name: | local long form: Kongeriket Norge |
| Government type: | constitutional monarchy |
| Capital: | Oslo |
| Administrative divisions: | 19 counties (fylker, singular - fylke); Akershus, Aust-Agder, Buskerud, Finnmark, Hedmark, Hordaland, More og Romsdal, Nordland, Nord-Trondelag, Oppland, Oslo, Ostfold, Rogaland, Sogn og Fjordane, Sor-Trondelag, Telemark, Troms, Vest-Agder, Vestfold |
| Dependent areas: | Bouvet Island, Jan Mayen, Svalbard |
| Independence: | 7 June 1905 (Norway declared the union with Sweden dissolved); 26 October 1905 (Sweden agreed to the repeal of the union) |
| National holiday: | Constitution Day, 17 May (1814) |
| Constitution: | 17 May 1814, modified in 1884 |
| Legal system: | mixture of customary law, civil law system, and common law traditions; Supreme Court renders advisory opinions to legislature when asked; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King HARALD V (since 17 January 1991); Heir Apparent Crown Prince HAAKON MAGNUS, son of the monarch (born 20 July 1973) |
| Executive branch: | head of government: Prime Minister Kjell Magne BONDEVIK (since 19 October 2001) |
| Executive branch: | cabinet: State Council appointed by the monarch with the approval of Parliament |
| Executive branch: | elections: none; the monarch is hereditary; following parliamentary elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch with the approval of the Parliament |
| Legislative branch: | modified unicameral Parliament or Storting (165 seats; members are elected by popular vote by proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 10 September 2001 (next to be held NA September 2005) |
| Legislative branch: | note: for certain purposes, the Parliament divides itself into two chambers and elects one-fourth of its membership to an upper house or Lagting |
| Legislative branch: | election results: percent of vote by party - Labor Party 24.3%, Conservative Party 21.2%, Progress Party 14.6%, Socialist Left Party 12.5%, Christian People's Party 12.4%, Center Party 5.6%, Liberal Party 3.9%, Coastal Party 1.7%, other 3.8%; seats by party - Labor Party 43, Conservative Party 38, Progress Party 26, Socialist Left Party 23, Christian People's Party 22, Center Party 10, Liberal Party 2, Coastal Party 1 |
| Judicial branch: | Supreme Court or Hoyesterett (justices appointed by the monarch) |
| Political parties and leaders: | Center Party [Aslaug Marie HAGA]; Christian People's Party [Dagfinn HOYBRATEN]; Coastal Party [Steinar BASTESEN]; Conservative Party [Erna SOLBERG]; Labor Party [Jens STOLTENBERG]; Liberal Party [Lars SPONHEIM]; Progress Party [Carl I. HAGEN]; Socialist Left Party [Kristin HALVORSEN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EFTA, ESA, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM (guest), NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIK, UNTSO, UPU, WCO, WEU (associate), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Knut VOLLEBAEK |
| Diplomatic representation in the US: | chancery: 2720 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Miami, Minneapolis, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 337-0870 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6000 |
| Diplomatic representation from the US: | chief of mission: Ambassador John D. ONG |
| Diplomatic representation from the US: | embassy: Drammensveien 18, 0244 Oslo |
| Diplomatic representation from the US: | mailing address: PSC 69, Box 1000, APO AE 09707 |
| Diplomatic representation from the US: | telephone: [47] (22) 44 85 50 |
| Diplomatic representation from the US: | FAX: [47] (22) 44 33 63 |
| Flag description: | red with a blue cross outlined in white that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag) |
