| Government | Norway |
| --- | --- |
| Country name: | conventional long form: Kingdom of Norway |
| Country name: | conventional short form: Norway |
| Country name: | local long form: Kongeriket Norge |
| Country name: | local short form: Norge |
| Government type: | constitutional monarchy |
| Capital: | name: Oslo |
| Capital: | geographic coordinates: 59 55 N, 10 45 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 counties (fylker, singular - fylke); Akershus, Aust-Agder, Buskerud, Finnmark, Hedmark, Hordaland, More og Romsdal, Nordland, Nord-Trondelag, Oppland, Oslo, Ostfold, Rogaland, Sogn og Fjordane, Sor-Trondelag, Telemark, Troms, Vest-Agder, Vestfold |
| Dependent areas: | Bouvet Island, Jan Mayen, Svalbard |
| Independence: | 7 June 1905 (Norway declared the union with Sweden dissolved); 26 October 1905 (Sweden agreed to the repeal of the union) |
| National holiday: | Constitution Day, 17 May (1814) |
| Constitution: | 17 May 1814; amended many times |
| Legal system: | mixture of customary law, civil law system, and common law traditions; Supreme Court renders advisory opinions to legislature when asked; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King HARALD V (since 17 January 1991); Heir Apparent Crown Prince HAAKON MAGNUS, son of the monarch (born 20 July 1973) |
| Executive branch: | head of government: Prime Minister Jens STOLTENBERG (since 17 October 2005) |
| Executive branch: | cabinet: State Council appointed by the monarch with the approval of parliament |
| Executive branch: | elections: none; the monarch is hereditary; following parliamentary elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch with the approval of the parliament |
| Legislative branch: | modified unicameral Parliament or Storting (169 seats; members are elected by popular vote by proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 12 September 2005 (next to be held September 2009) |
| Legislative branch: | election results: percent of vote by party - Labor Party 32.7%, Progress Party 22.1%, Conservative Party 14.1%, Socialist Left Party 8.8%, Christian People's Party 6.8%, Center Party 6.5%, Liberal Party 5.9%, Red Electoral Alliance 1.2%, other 1.9%; seats by party - Labor Party 61, Progress Party 38, Conservative Party 23, Socialist Left Party 15, Christian People's Party 11, Center Party 11, Liberal Party 10 |
| Legislative branch: | note: for certain purposes, the parliament divides itself into two chambers and elects one-fourth of its membership to an upper house or Lagting |
| Judicial branch: | Supreme Court or Hoyesterett (justices appointed by the monarch) |
| Political parties and leaders: | Center Party [Aslaug Marie HAGA]; Christian People's Party [Dagfinn HOYBRATEN]; Coastal Party [Roy WAAGE]; Conservative Party [Erna SOLBERG]; Labor Party [Jens STOLTENBERG]; Liberal Party [Lars SPONHEIM]; Progress Party [Siv JENSEN]; Red Electoral Alliance [Torstein DAHLE]; Socialist Left Party [Kristin HALVORSEN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, Arctic Council, AsDB, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EFTA, ESA, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NAM (guest), NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMEE, UNMIS, UNRWA, UNTSO, UPU, WCO, WEU (associate), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Knut VOLLEBAEK |
| Diplomatic representation in the US: | chancery: 2720 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-0870 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Minneapolis, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Benson K. WHITNEY |
| Diplomatic representation from the US: | embassy: Henrik Ibsens gate 48, 0244 Oslo; note - the embassy will move to Huseby in the near future |
| Diplomatic representation from the US: | mailing address: PSC 69, Box 1000, APO AE 09707 |
| Diplomatic representation from the US: | telephone: [47] (22) 44 85 50 |
| Diplomatic representation from the US: | FAX: [47] (22) 44 33 63, 56 27 51 |
| Flag description: | red with a blue cross outlined in white that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag) |
