| Government | AFGHANISTAN |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Afghanistan |
| Country name: | conventional short form: Afghanistan |
| Country name: | local long form: Jamhuri-ye Islami-ye Afghanistan |
| Country name: | local short form: Afghanistan |
| Country name: | former: Republic of Afghanistan |
| Country name: | note: the name "Afghan" originally refered to the Pashtun people (today it is understood to include all the country's ethnic groups), while the suffix "-stan" means "place of" or "country"; so Afghanistan literally means the Land of the Afghans |
| Government type: | Islamic republic |
| Capital: | name: Kabul |
| Capital: | geographic coordinates: 34 31 N, 69 11 E |
| Capital: | time difference: UTC+4.5 (9.5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 34 provinces (welayat, singular - welayat); Badakhshan, Badghis, Baghlan, Balkh, Bamyan, Daykundi, Farah, Faryab, Ghazni, Ghor, Helmand, Herat, Jowzjan, Kabul, Kandahar, Kapisa, Khost, Kunar, Kunduz, Laghman, Logar, Nangarhar, Nimroz, Nuristan, Paktika, Paktiya, Panjshir, Parwan, Samangan, Sar-e Pul, Takhar, Uruzgan, Wardak, Zabul |
| Independence: | 19 August 1919 (from UK control over Afghan foreign affairs) |
| National holiday: | Independence Day, 19 August (1919) |
| Constitution: | several previous; latest drafted 14 December 2003 - 4 January 2004, signed 16 January 2004, ratified 26 January 2004 (2012) |
| Legal system: | mixed legal system of civil, customary, and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Islamic Republic of Afghanistan Ashraf GHANI Ahmadzai (since 29 September 2014 ); CEO Abdullah ABDULLAH (since 29 September 2014); First Vice President Abdul Rashid DOSTAM (since 29 September 2014 ); Second Vice President Sarwar DANESH (since 29 September 2014); note - the president is both chief of state and head of government |
