| Government | Afghanistan |
| Executive branch: | elections: the president and two vice presidents elected by direct vote for a five-year term (eligible for a second term); if no candidate receives 50% or more of the vote in the first round of voting, the two candidates with the most votes will participate in a second round; election last held on 20 August 2009 (next to be held in 2014) |
| Executive branch: | election results: Hamid KARZAI reelected president; percent of vote (first round) - Hamid KARZAI 49.67%, Abdullah ABDULLAH 30.59%, Ramazan BASHARDOST 10.46%, Ashraf GHANI 2.94%; other 6.34%; note - ABDULLAH conceded the election to KARZAI following the first round vote |
| Legislative branch: | the bicameral National Assembly consists of the Meshrano Jirga or House of Elders (102 seats, one-third of members elected from provincial councils for four-year terms, one-third elected from local district councils for three-year terms, and one-third nominated by the president for five-year terms) and the Wolesi Jirga or House of People (no more than 250 seats); members directly elected for five-year terms |
| Legislative branch: | note: on rare occasions the government may convene a Loya Jirga (Grand Council) on issues of independence, national sovereignty, and territorial integrity; it can amend the provisions of the constitution and prosecute the president; it is made up of members of the National Assembly and chairpersons of the provincial and district councils |
| Legislative branch: | elections: last held on 18 September 2010 (next election expected in 2015) |
| Legislative branch: | election results: results by party - NA; note - ethnicity is the main factor influencing political alliances; compositon of Loya Jirga seats by ethnic groups - Pashtun 96, Hazara 61, Tajik 53, Uzbek 15, Aimak 8, Arab 8, Turkmen 3, Nuristani 2, Baloch 1, Pahhai 1, Turkic 1; women hold 68 seats |
| Judicial branch: | the constitution establishes a nine-member Stera Mahkama or Supreme Court (its nine justices are appointed for 10-year terms by the president with approval of the Wolesi Jirga) and subordinate High Courts and Appeals Courts; there is also a minister of justice; a separate Afghan Independent Human Rights Commission established by the Bonn Agreement is charged with investigating human rights abuses and war crimes |
| Political parties and leaders: | Afghanistan's Islamic Mission Organization [Abdul Rasoul SAYYAF]; Afghanistan's Welfare Party [Meer Asef ZAEEFI]; Afghan Social Democratic Party [Anwarul Haq AHAD]; Islamic Movement of Afghanistan [Sayed Hussain ANWARI]; Islamic Party of Afghanistan [Mohammad Khalid FAROOQI, Abdul Hadi ARGHANDIWAL]; Islamic Society of Afghanistan [Ustad RABBANI]; Islamic Unity of the Nation of Afghanistan Party [Qurban Ali URFANI]; Islamic Unity Party of Afghanistan [Mohammad Karim KHALILI]; Islamic Unity Party of the People of Afghanistan [Haji Mohammad MOHAQQEQ]; Law and Justice Party [Hanif ATMAR]; National Islamic Movement of Afghanistan [Pir Sayed Ahmad GAILANEE]; National Islamic Movement of Afghanistan [Sayed NOORULLAH]; National Solidarity Movement of Afghanistan [Pir Sayed Eshaq GAILANEE]; National Linkage Party of Afghanistan [Sayed Mansoor NADERY]; United Islamic Party of Afghanistan [Ustad Mohammad AKBARI]; note - includes only political parties approved by the Ministry of Justice |
| Political pressure groups and leaders: | other: religious groups; tribal leaders; ethnically based groups; Taliban |
| International organization participation: | ADB, CICA, CP, ECO, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM, OIC, OPCW, OSCE (partner), SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Eklil Ahmad HAKIMI |
| Diplomatic representation in the US: | chancery: 2341 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-6410 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-6488 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ryan CROCKER |
| Diplomatic representation from the US: | embassy: The Great Masood Road, Kabul |
| Diplomatic representation from the US: | mailing address: U.S. Embassy Kabul, APO, AE 09806 |
| Diplomatic representation from the US: | telephone: [93] 0700 108 001 |
| Diplomatic representation from the US: | FAX: [93] 0700 108 564 |
| Flag description: | three equal vertical bands of black (hoist side), red, and green, with the national emblem in white centered on the red band and slightly overlapping the other two bands; the center of the emblem features a mosque with pulpit and flags on either side, below the mosque are numerals for the solar year 1298 (1919 in the Gregorian calendar, the year of Afghan independence from the UK); this central image is circled by a border consisting of sheaves of wheat on the left and right, in the upper-center is an Arabic inscription of the Shahada (Muslim creed) below which are rays of the rising sun over the Takbir (Arabic expression meaning "God is great"), and at bottom center is a scroll bearing the name Afghanistan; black signifies the past, red is for the blood shed for independence, and green can represent either hope for the future, agricultural prosperity, or Islam |
| Flag description: | note: Afghanistan had more changes to its national flag in the 20th century than any other country; the colors black, red, and green appeared on most of them |
| National symbol(s): | lion |
| National anthem: | name: "Milli Surood" (National Anthem) |
| National anthem: | lyrics/music: Abdul Bari JAHANI/Babrak WASA |
| National anthem: | note: adopted 2006; the 2004 constitution of the post-Taliban government mandated that a new national anthem should be written containing the phrase "Allahu Akbar" (God is Great) and mentioning the names of Afghanistan's ethnic groups |
