| Government | Afghanistan |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Afghanistan |
| Country name: | conventional short form: Afghanistan |
| Country name: | local short form: Afghanestan |
| Country name: | former: Republic of Afghanistan |
| Country name: | local long form: Dowlat-e Eslami-ye Afghanestan |
| Government type: | Islamic republic |
| Capital: | Kabul |
| Administrative divisions: | 34 provinces (velayat, singular - velayat); Badakhshan, Badghis, Baghlan, Balkh, Bamian, Daykondi, Farah, Faryab, Ghazni, Ghowr, Helmand, Herat, Jowzjan, Kabol, Kandahar, Kapisa, Khowst, Konar, Kondoz, Laghman, Lowgar, Nangarhar, Nimruz, Nurestan, Oruzgan, Paktia, Paktika, Panjshir, Parvan, Samangan, Sar-e Pol, Takhar, Vardak, and Zabol |
| Independence: | 19 August 1919 (from UK control over Afghan foreign affairs) |
| National holiday: | Independence Day, 19 August (1919) |
| Constitution: | new constitution drafted 14 December 2003 - 4 January 2004; signed 16 January 2004 |
| Legal system: | according to the new constitution, no law should be "contrary to Islam"; the state is obliged to create a prosperous and progressive society based on social justice, protection of human dignity, protection of human rights, realization of democracy, and to ensure national unity and equality among all ethnic groups and tribes; the state shall abide by the UN charter, international treaties, international conventions that Afghanistan signed, and the Universal Declaration of Human Rights |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Islamic Republic of Afghanistan, Hamid KARZAI (since 7 December 2004); note - the president is both the chief of state and head of government; former King ZAHIR Shah holds the honorific, "Father of the Country," and presides symbolically over certain occasions, but lacks any governing authority; the honorific is not hereditary |
| Executive branch: | head of government: President of the Islamic Republic of Afghanistan, Hamid KARZAI (since 7 December 2004); note - the president is both chief of state and head of government |
| Executive branch: | cabinet: 27 ministers; note - under the new constitution, ministers are appointed by the president and approved by the National Assembly |
| Executive branch: | elections: the president and two vice presidents are elected by direct vote for a five-year term; if no candidate receives 50% or more of the vote in the first round of voting, the two candidates with the most votes will participate in a second round; a president can only be elected for two terms; election last held 9 October 2004 (next to be held in 2009) |
