| Government | Mexico |
| --- | --- |
| Country name: | conventional long form: United Mexican States |
| Country name: | conventional short form: Mexico |
| Country name: | local long form: Estados Unidos Mexicanos |
| Country name: | local short form: Mexico |
| Government type: | federal republic |
| Capital: | name: Mexico (Distrito Federal) |
| Capital: | geographic coordinates: 19 26 N, 99 08 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in April; ends last Sunday in October |
| Capital: | note: Mexico is divided into four time zones |
| Administrative divisions: | 31 states (estados, singular - estado) and 1 federal district* (distrito federal); Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila de Zaragoza, Colima, Distrito Federal*, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan de Ocampo, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro de Arteaga, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz-Llave, Yucatan, Zacatecas |
| Independence: | 16 September 1810 (declared); 27 September 1821 (recognized by Spain) |
| National holiday: | Independence Day, 16 September (1810) |
| Constitution: | 5 February 1917 |
| Legal system: | mixture of US constitutional theory and civil law system; judicial review of legislative acts; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal and compulsory (but not enforced) |
| Executive branch: | chief of state: President Felipe de Jesus CALDERON Hinojosa (since 1 December 2006); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Felipe de Jesus CALDERON Hinojosa (since 1 December 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president; note - appointment of attorney general requires consent of the Senate |
| Executive branch: | elections: president elected by popular vote for a single six-year term; election last held on 2 July 2006 (next to be held 1 July 2012) |
| Executive branch: | election results: Felipe CALDERON elected president; percent of vote - Felipe CALDERON 35.89%, Andres Manuel Lopez OBRADOR 35.31%, Roberto MADRAZO 22.26%, other 6.54% |
