| Government | Mexico |
| --- | --- |
| Country name: | conventional long form: United Mexican States |
| Country name: | conventional short form: Mexico |
| Country name: | local long form: Estados Unidos Mexicanos |
| Country name: | local short form: Mexico |
| Country name: | etymology: named after the capital city, whose name stems from the Mexica, the largest and most powerful branch of the Aztecs; the meaning of the name is uncertain |
| Government type: | federal presidential republic |
| Capital: | name: Mexico City (Ciudad de Mexico) |
| Capital: | geographic coordinates: 19 26 N, 99 08 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in April; ends last Sunday in October |
| Capital: | note: Mexico has four time zones |
| Capital: | etymology: named after the Mexica, the largest and most powerful branch of the Aztecs; the meaning of the name is uncertain |
| Administrative divisions: | 32 states (estados, singular - estado); Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila, Colima, Cuidad de Mexico, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz, Yucatan, Zacatecas |
| Independence: | 16 September 1810 (declared independence from Spain); 27 September 1821 (recognized by Spain) |
| National holiday: | Independence Day, 16 September (1810) |
| Constitution: | history: several previous; latest approved 5 February 1917 |
| Constitution: | amendments: proposed by the Congress of the Union; passage requires approval by at least two thirds of the members present and approval by a majority of the state legislatures; amended many times, last in 2020 |
| Legal system: | civil law system with US constitutional law influence; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: not specified |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Andres Manuel LOPEZ OBRADOR (since 1 December 2018); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Andres Manuel LOPEZ OBRADOR (since 1 December 2018) |
