| Government | Mexico |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - PRI 60, PAN 46, PRD 15, PVEM 5, PT 1, CD 1; Chamber of Deputies - percent of vote by party - NA%; seats by party - PRI 224, PAN 153, PRD 95, other 28 |
| Legislative branch: | elections: Senate - last held 2 July 2000 for all of the seats (next to be held NA 2006); Chamber of Deputies - last held 6 July 2003 (next to be held NA 2006) |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (judges are appointed by the president with consent of the Senate) |
| Political parties and leaders: | Convergence for Democracy or CD [Dante DELGADO Ranauro]; Institutional Revolutionary Party or PRI [Dulce Maria SAURI Riancho]; Mexican Green Ecological Party or PVEM [Jorge Emilio GONZALEZ Martinez]; National Action Party or PAN [Luis Felipe BRAVO Mena]; Party of the Democratic Revolution or PRD [Amalia GARCIA Medina]; Party of the Nationalist Society or PSN [Gustavo RIOJAS Santana]; Social Alliance Party or PAS [Guillermo CALDERON Dominguez]; Workers Party or PT [Alberto ANAYA Gutierrez] |
| Political pressure groups and leaders: | Confederation of Employers of the Mexican Republic or COPARMEX; Confederation of Industrial Chambers or CONCAMIN; Confederation of Mexican Workers or CTM; Confederation of National Chambers of Commerce or CONCANACO; Coordinator for Foreign Trade Business Organizations or COECE; Federation of Unions Providing Goods and Services or FESEBES; National Chamber of Transformation Industries or CANACINTRA; National Peasant Confederation or CNC; National Union of Workers or UNT; Regional Confederation of Mexican Workers or CROM; Revolutionary Confederation of Workers and Peasants or CROC; Roman Catholic Church |
| International organization participation: | APEC, BCIE, BIS, Caricom (observer), CDB, CE (observer), EBRD, ECLAC, FAO, G-3, G-6, G-15, G-19, G-24, IADB, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IEA (observer), IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM (observer), NEA, OAS, OECD, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMOVIC, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Juan Jose BREMER Martino |
| Diplomatic representation in the US: | FAX: [1] (202) 728-1698 |
| Diplomatic representation in the US: | consulate(s): Albuquerque, Brownsville (Texas), Calexico (California), Corpus Christi, Del Rio (Texas), Detroit, Douglas (Arizona), Eagle Pass (Texas), Fresno (California), Indianapolis (Indiana), Las Vegas, McAllen (Texas), Midland (Texas), Omaha, Orlando, Oxnard (California), Philadelphia, Portland (Oregon), Presidio (Texas), Raleigh, Saint Louis, Salt Lake City, San Bernardino, Santa Ana (California), Seattle, Tucson, Yuma (Arizona) |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Austin, Boston, Chicago, Dallas, Denver, El Paso, Houston, Laredo (Texas), Los Angeles, Miami, New Orleans, New York, Nogales (Arizona), Phoenix, Sacramento, San Antonio, San Diego, San Francisco, San Jose, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | chancery: 1911 Pennsylvania Avenue NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 728-1600 |
| Diplomatic representation from the US: | chief of mission: Ambassador Antonio O. GARZA |
| Diplomatic representation from the US: | embassy: Paseo de la Reforma 305, Colonia Cuauhtemoc, 06500 Mexico, Distrito Federal |
| Diplomatic representation from the US: | mailing address: P. O. Box 9000, Brownsville, TX 78520-0900 |
| Diplomatic representation from the US: | telephone: [52] (55) 5080-2000 |
| Diplomatic representation from the US: | FAX: [52] (55) 5080-2005, 5080-2834 |
| Diplomatic representation from the US: | consulate(s) general: Ciudad Juarez, Guadalajara, Monterrey, Tijuana |
| Diplomatic representation from the US: | consulate(s): Hermosillo, Matamoros, Merida, Nuevo Laredo, Nogales |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; the coat of arms (an eagle perched on a cactus with a snake in its beak) is centered in the white band |
