| Government | Yemen |
| --- | --- |
| Country name: | conventional long form: Republic of Yemen |
| Country name: | conventional short form: Yemen |
| Country name: | local long form: Al Jumhuriyah al Yamaniyah |
| Country name: | local short form: Al Yaman |
| Country name: | former: Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen] |
| Government type: | republic |
| Capital: | name: Sanaa |
| Capital: | geographic coordinates: 15 21 N, 44 12 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 20 governorates (muhafazat, singular - muhafazah) and 1 municipality*; Abyan, 'Adan (Aden), Ad Dali', Al Bayda', Al Hudaydah, Al Jawf, Al Mahrah, Al Mahwit, Amanat al 'Asimah (Sanaa City)*, 'Amran, Dhamar, Hadramawt, Hajjah, Ibb, Lahij, Ma'rib, Raymah, Sa'dah, San'a' (Sanaa), Shabwah, Ta'izz |
| Independence: | 22 May 1990 (Republic of Yemen was established with the merger of the Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and the Marxist-dominated People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen]); note - previously North Yemen became independent in November 1918 (from the Ottoman Empire) and became a republic with the overthrow of the theocratic Imamate in 1962; South Yemen became independent on 30 November 1967 (from the UK) |
| National holiday: | Unification Day, 22 May (1990) |
| Constitution: | adopted by referendum 16 May 1991 (following unification); amended several times, last in 2009; note - in early 2013, the Yemeni Government launched a National Dialogue to seek reforms and recommendations for a new constitution (2013) |
| Legal system: | mixed legal system of Islamic law, Napoleonic law, English common law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abd Rabuh Mansur HADI (Field Marshal) (since 25 February 2012) |
| Executive branch: | head of government: Prime Minister Muhammad Salim BA SINDWAH (since 27 November 2011) |
| Executive branch: | cabinet: on 27 November 2011, Vice President HADI requested Interim Prime Minister Muhammad Salim BA SINDWAH to form a new government following the resignation of President SALIH on 24 November 2011 |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a seven-year term based on constitution; however a special election was held on 21 February 2012 to remove Ali Abdallah SALIH based on a GCC-mediated deal during the political crisis of 2011 (next election to be held in 2014); vice president appointed by the president but position is vacant; prime minister appointed by the president |
| Executive branch: | election results: Abd Rabuh Mansur HADI elected as a consensus president with about 50% popular participation; no other candidates |
| Legislative branch: | bicameral legislature consisting of a Shura Council (111 seats; members appointed by the president) and House of Representatives (301 seats; members elected by popular vote in single-member constituencies to serve six-year terms) |
| Legislative branch: | elections: last held on 27 April 2003 (scheduled April 2009 election postponed) |
| Legislative branch: | election results: House of Representatives percent of vote by party - NA; seats by party - GPC 238, Islah 47, YSP 6, Nasserite Unionist Party 3, National Arab Socialist Ba'th Party 2, independents 5 |
| Judicial branch: | highest court(s): Supreme Court (consists of the president of the Court, 2 deputies, and nearly 50 judges; court organized into constitutional, civil, commercial, family, administrative, criminal, military, and appeals scrutiny divisions) |
| Judicial branch: | judge selection and term of office: judges appointed by the Supreme Judicial Council, chaired by the president of the republic and consisting of 10 high-ranking judicial officers; judges appointed for life with mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: appeal courts; district or first instance courts; commercial courts |
| Political parties and leaders: | General People's Congress or GPC [Ali Abdallah SALIH, Abd Rabuh Mansur HADI] |
| Political parties and leaders: | Islamic Reform Grouping or Islah [Muhammed Abdallah al-YADUMI, Abdul Wahab al-ANSI] |
| Political parties and leaders: | Nasserite Unionist Party [Sultan al-ATWANI] |
| Political parties and leaders: | Yemeni Socialist Party or YSP [Yasin Said NU'MAN] |
| Political parties and leaders: | note: there are at least seven more active political parties |
| Political pressure groups and leaders: | Muslim Brotherhood |
| Political pressure groups and leaders: | Women National Committee |
| Political pressure groups and leaders: | other: conservative tribal groups; Huthis, southern secessionist groups; al-Qa'ida in the Arabian Peninsula (AQAP) |
| International organization participation: | AFESD, AMF, CAEU, CD, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Adel Ali Ahmed AL-SUNAINI |
| Diplomatic representation in the US: | chancery: 2319 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-4760 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-2017 |
| Diplomatic representation from the US: | chief of mission: Ambassador Gerald M. FEIERSTEIN (since 17 July 2010) |
| Diplomatic representation from the US: | embassy: Sa'awan Street, Sanaa |
| Diplomatic representation from the US: | mailing address: P. O. Box 22347, Sanaa |
| Diplomatic representation from the US: | telephone: [967] (1) 755-2000 ext. 2153 or 2266 |
| Diplomatic representation from the US: | FAX: [967] (1) 303-182 |
| Flag description: | three equal horizontal bands of red (top), white, and black; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white) |
| Flag description: | note: similar to the flag of Syria, which has two green stars in the white band, and of Iraq, which has an Arabic inscription centered in the white band; also similar to the flag of Egypt, which has a heraldic eagle centered in the white band |
