| Government | Yemen |
| --- | --- |
| Country name: | conventional long form: Republic of Yemen |
| Country name: | conventional short form: Yemen |
| Country name: | local short form: Al Yaman |
| Country name: | local long form: Al Jumhuriyah al Yamaniyah |
| Government type: | republic |
| Capital: | Sanaa |
| Administrative divisions: | 19 governorates (muhafazat, singular - muhafazah); Abyan, 'Adan, Ad Dali', Al Bayda', Al Hudaydah, Al Jawf, Al Mahrah, Al Mahwit, 'Amran, Dhamar, Hadramawt, Hajjah, Ibb, Lahij, Ma'rib, Sa'dah, San'a', Shabwah, Ta'izz |
| Administrative divisions: | note: there may be one additional governorate of the capital city of Sanaa |
| Independence: | 22 May 1990, Republic of Yemen was established with the merger of the Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and the Marxist-dominated People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen]; previously North Yemen had become independent on NA November 1918 (from the Ottoman Empire) and South Yemen had become independent on 30 November 1967 (from the UK) |
| National holiday: | Unification Day, 22 May (1990) |
| Constitution: | 16 May 1991; amended 29 September 1994 and February 2001 |
| Legal system: | based on Islamic law, Turkish law, English common law, and local tribal customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Field Marshall Ali Abdallah SALIH (since 22 May 1990, the former president of North Yemen, assumed office upon the merger of North and South Yemen); Vice President Maj. Gen. Abd al-Rab Mansur al-HADI (since 3 October 1994) |
| Executive branch: | head of government: Prime Minister Abd al-Qadir BA JAMAL (since 4 April 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the advice of the prime minister |
| Executive branch: | election results: Ali Abdallah SALIH elected president; percent of vote - Ali Abdallah SALIH 96.3%, Najib Qahtan AL-SHAABI 3.7% |
| Executive branch: | elections: president elected by direct, popular vote for a seven-year term (recently extended from a five-year term by constitutional amendment); election last held 23 September 1999 (next to be held NA 2006); vice president appointed by the president; prime minister and deputy prime ministers appointed by the president |
| Legislative branch: | a new constitutional amendment ratified on 20 February 2001 created a bicameral legislature consisting of a Shura Council (111 seats; members appointed by the president) and a House of Representatives (301 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - GPC 189, Islah 52, Nasserite Unionist Party 3, National Arab Socialist Baath Party 2, independents 54, election pending 1; seats by party as of January 2002: GPC 223, Islah 64, Nasserite Unionist Party 3, National Arab Socialist Baath Party 2, YSP 2, independents 7 |
| Legislative branch: | elections: last held 27 April 1997 (next to be held 27 April 2003) |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | there are over 12 political parties active in Yemen, some of the more prominent are: General People's Congress or GPC [President Ali Abdallah SALIH]; Islamic Reform Grouping or Islah [Shaykh Abdallah bin Husayn al-AHMAR]; National Arab Socialist Baath Party [Dr. Qassim SALAAM]; Nasserite Unionist Party [Abdel Malik al-MAKHLAFI]; Yemeni Socialist Party or YSP [Ali Salih MUQBIL] |
| Political parties and leaders: | note: President SALIH's General People's Congress or GPC won a landslide victory in the April 1997 legislative election and no longer governs in coalition with Shaykh Abdallah bin Husayn al-AHMAR's Islamic Reform Grouping or Islah - the two parties had been in coalition since the end of the civil war in 1994; the YSP, a loyal opposition party, boycotted the April 1997 legislative election, but announced that it would participate in Yemen's first local elections which were held in February 2001; these local elections aim to decentralize political power and are a key element of the government's political reform program |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACC, AFESD, AL, AMF, CAEU, CCC, ESCWA, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, NAM, OAS (observer), OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Abd al-Wahhab Abdallah al-HAJRI |
| Diplomatic representation in the US: | FAX: [1] (202) 337-2017 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-4760 |
| Diplomatic representation in the US: | chancery: Suite 705, 2600 Virginia Avenue NW, Washington, DC 20037 |
| Diplomatic representation from the US: | chief of mission: Ambassador Edmund J. HULL |
| Diplomatic representation from the US: | embassy: Dhahar Himyar Zone, Sheraton Hotel District, Sanaa |
| Diplomatic representation from the US: | mailing address: P. O. Box 22347, Sanaa |
| Diplomatic representation from the US: | telephone: [967] (1) 303-161 |
| Diplomatic representation from the US: | FAX: [967] (1) 303-182 |
| Flag description: | three equal horizontal bands of red (top), white, and black; similar to the flag of Syria which has two green stars and of Iraq which has three green stars (plus an Arabic inscription) in a horizontal line centered in the white band; also similar to the flag of Egypt which has a heraldic eagle centered in the white band |
