| Government | Yemen |
| --- | --- |
| Country name: | conventional long form: Republic of Yemen |
| Country name: | conventional short form: Yemen |
| Country name: | local long form: Al Jumhuriyah al Yamaniyah |
| Country name: | local short form: Al Yaman |
| Country name: | former: Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen] |
| Government type: | republic |
| Capital: | name: Sanaa |
| Capital: | geographic coordinates: 15 21 N, 44 12 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 19 governorates (muhafazat, singular - muhafazah); Abyan, 'Adan, Ad Dali', Al Bayda', Al Hudaydah, Al Jawf, Al Mahrah, Al Mahwit, 'Amran, Dhamar, Hadramawt, Hajjah, Ibb, Lahij, Ma'rib, Sa'dah, San'a', Shabwah, Ta'izz |
| Administrative divisions: | note: for electoral and administrative purposes, the capital city of Sanaa is treated as an additional governorate |
| Independence: | 22 May 1990 (Republic of Yemen established with the merger of the Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and the Marxist-dominated People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen]); note - previously North Yemen had become independent in November 1918 (from the Ottoman Empire) and South Yemen became independent on 30 November 1967 (from the UK) |
| National holiday: | Unification Day, 22 May (1990) |
| Constitution: | 16 May 1991; amended 29 September 1994 and February 2001 |
| Legal system: | based on Islamic law, Turkish law, English common law, and local tribal customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ali Abdallah SALIH (since 22 May 1990, the former president of North Yemen, assumed office upon the merger of North and South Yemen); Vice President Maj. Gen. Abd al-Rab Mansur al-HADI (since 3 October 1994) |
| Executive branch: | head of government: Prime Minister Ali Muhammad MUJAWWAR (since 31 March 2007); Deputy Prime Minister Rashad Muhammad al-ALIMI |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the advice of the prime minister |
| Executive branch: | elections: president elected by popular vote for a seven-year term; election last held 20 September 2006 (next to be held in September 2013); vice president appointed by the president; prime minister and deputy prime ministers appointed by the president |
| Executive branch: | election results: Ali Abdallah SALIH elected president; percent of vote - Ali Abdallah SALIH 77.2%, Faysal BIN SHAMLAN 21.8% |
| Legislative branch: | a bicameral legislature consisting of a Shura Council (111 seats; members appointed by the president) and a House of Representatives (301 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: last held on 27 April 2003 (next to be held in April 2009) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - GPC 228, Islah 47, YSP 7, Nasserite Unionist Party 3, National Arab Socialist Ba'th Party 2, independents 14 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | General People's Congress or GPC [Abdul-Kader BAJAMMAL]; Islamic Reform Grouping or Islah [Shaykh Abdallah bin Husayn al-AHMAR]; Nasserite Unionist Party [Abdal Malik al-MAKHLAFI]; National Arab Socialist Ba'th Party [Dr. Qasim SALAM]; Yemeni Socialist Party or YSP [Ali Salih MUQBIL]; note - there are at least seven more active political parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, LAS, MIGA, NAM, OAS (observer), OIC, ONUB, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Abd al-Wahab Abdallah al-HAJRI |
| Diplomatic representation in the US: | chancery: 2319 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-4760 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-2017 |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas C. KRAJESKI |
| Diplomatic representation from the US: | embassy: Sa'awan Street, Sanaa |
| Diplomatic representation from the US: | mailing address: P. O. Box 22347, Sanaa |
| Diplomatic representation from the US: | telephone: [967] (1) 755-2000 ext. 2153 or 2266 |
| Diplomatic representation from the US: | FAX: [967] (1) 303-182 |
| Flag description: | three equal horizontal bands of red (top), white, and black; similar to the flag of Syria, which has two green stars, and of Iraq, which has three green stars (plus an Arabic inscription), in a horizontal line centered in the white band; also similar to the flag of Egypt, which has a heraldic eagle centered in the white band |
