| Government | NIGERIA |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Nigeria |
| Country name: | conventional short form: Nigeria |
| Country name: | etymology: named for the Niger River that flows through the west of the country to the Atlantic Ocean; from a native term "Ni Gir" meaning "River Gir" |
| Government type: | federal presidential republic |
| Capital: | name: Abuja |
| Capital: | geographic coordinates: 9 05 N, 7 32 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 36 states and 1 territory*; Abia, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Federal Capital Territory*, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nasarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe, Zamfara |
| Independence: | 1 October 1960 (from the UK) |
| National holiday: | Independence Day (National Day), 1 October (1960) |
| Constitution: | several previous; latest adopted 5 May 1999, effective 29 May 1999; amended several times, last in 2012 (2016) |
| Legal system: | mixed legal system of English common law, Islamic law (in 12 northern states), and traditional law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Nigeria |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 15 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Maj. Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Maj.Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015) |
| Executive branch: | cabinet: Federal Executive Council appointed by the president |
| Executive branch: | elections/appointments: president directly elected by 'qualified' majority popular vote and at least 25% of the votes cast in 24 of Nigeria's 36 states; president elected for a 4-year term (eligible for a second term); election last held on 28-29 March 2015 (next to be held in February 2019) |
| Executive branch: | election results: Muhammadu BUHARI elected president; percent of vote - Muhammadu BUHARI (CPC) 53%, Goodluck JONATHAN (PDP) 46%, other 1% |
| Legislative branch: | description: bicameral National Assembly consists of the Senate (109 seats - 3 each for the 36 states and 1 for Abuja; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) and the House of Representatives (360 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: Senate - last held on 28-29 March 2015 (next to be held in February 2019); House of Representatives - last held on 28-29 March 2015 (next to be held in 2019) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - APC 60, PDP 49; House of Representatives - percent of vote by party - NA; seats by party - APC 225, PDP 125, other 10 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and 15 justices) |
| Judicial branch: | judge selection and term of office: judges appointed by the president on the recommendation of the National Judicial Council, a 23-member independent body of federal and state judicial officials; judge appointments confirmed by the Senate; judges serve until age 65 |
| Judicial branch: | subordinate courts: Court of Appeal; Federal High Court; High Court of the Federal Capital Territory; Sharia Court of Appeal of the Federal Capital Territory; Customary Court of Appeal of the Federal Capital Territory; state court system similar in structure to federal system |
| Political parties and leaders: | Accord Party or ACC [Mohammad Lawal MALADO] |
| Political parties and leaders: | All Progressives Congress or APC [John Odigie OYEGUN] |
| Political parties and leaders: | All Progressives Grand Alliance or APGA [Victor C. UMEH] |
| Political parties and leaders: | Democratic Peoples Party or DPP [Biodun OGUNBIYI] |
| Political parties and leaders: | Labor Party or LP [Alhai Abdulkadir ABDULSALAM] |
| Political parties and leaders: | Peoples Democratic Party or PDP [Ahmed MAKARFI] |
| Political pressure groups and leaders: | Academic Staff Union for Universities or ASUU |
| Political pressure groups and leaders: | Campaign for Democracy or CD |
| Political pressure groups and leaders: | Civil Liberties Organization or CLO |
| Political pressure groups and leaders: | Committee for the Defense of Human Rights or CDHR |
| Political pressure groups and leaders: | Constitutional Right Project or CRP |
| Political pressure groups and leaders: | Human Right Africa |
| Political pressure groups and leaders: | National Association of Democratic Lawyers or NADL |
| Political pressure groups and leaders: | National Association of Nigerian Students or NANS |
| Political pressure groups and leaders: | Nigerian Bar Association or NBA |
| Political pressure groups and leaders: | Nigerian Labor Congress or NLC |
| Political pressure groups and leaders: | Nigerian Medical Association or NMA |
| Political pressure groups and leaders: | Universal Defenders of Democracy or UDD |
| Political pressure groups and leaders: | other: the press |
| International organization participation: | ACP, AfDB, AU, C, CD, D-8, ECOWAS, EITI (compliant country), FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNITAR, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Hakeem Toyin BALOGUN (since 27 August 2015) |
| Diplomatic representation in the US: | chancery: 3519 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-8400 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-6541 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Stuart SYMINGTON (since 1 December 2016) |
