| Government | Nigeria |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Nigeria |
| Country name: | conventional short form: Nigeria |
| Government type: | federal republic |
| Capital: | name: Abuja |
| Capital: | geographic coordinates: 9 12 N, 7 11 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 36 states and 1 territory*; Abia, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Federal Capital Territory*, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nassarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe, Zamfara |
| Independence: | 1 October 1960 (from UK) |
| National holiday: | Independence Day (National Day), 1 October (1960) |
| Constitution: | new constitution adopted 5 May 1999; effective 29 May 1999 |
| Legal system: | based on English common law, Islamic law (in 12 northern states), and traditional law; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Umaru Musa YAR'ADUA (since 29 May 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Umaru Musa YAR'ADUA (since 29 May 2007) |
| Executive branch: | cabinet: Federal Executive Council |
| Executive branch: | elections: president is elected by popular vote for a four-year term (eligible for a second term); election last held 21 April 2007 (next to be held in April 2011) |
| Executive branch: | election results: Umaru Musa YAR'ADUA elected president; percent of vote - official results not yet posted as of September 2007 |
| Legislative branch: | bicameral National Assembly consists of the Senate (109 seats, 3 from each state plus 1 from Abuja; members elected by popular vote to serve four-year terms) and House of Representatives (360 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 21 April 2007 (next to be held in April 2011); House of Representatives - last held 21 April 2007 (next to be held in April 2011) |
| Legislative branch: | election results: Senate - percent of vote by party - official results not yet posted as of May 2007; House of Representatives - percent of vote by party - official results not yet posted as of May 2007 |
| Judicial branch: | Supreme Court (judges appointed by the President); Federal Court of Appeal (judges are appointed by the federal government on the advice of the Advisory Judicial Committee) |
| Political parties and leaders: | Action Congress or AC [Bisi AKANDE]; Advanced Congress of Democrats or ACD [Alex ANIELO]; Alliance for Democracy or AD [Mojisoluwa AKINFENWA]; All Nigeria Peoples' Party or ANPP [Alh Modu SHERIF]; All Progressives Grand Alliance or APGA [Victor C. UMEH]; Democratic People's Party or DPP [Umara AHMED]; Fresh Democratic Party [Chris OKOTIE]; Movement for the Restoration and Defense of Democracy or MRDD [Mohammed Gambo JIMETA]; National Democratic Party or NDP [Aliyu Habu FARI]; Peoples Democratic Party or PDP [Olusegun OBASANJO]; Peoples Redemption Party or PRP [Abdulkadir Balarabe MUSA]; Peoples Salvation Party or PSP [Lawal MAITURARE]; United Nigeria Peoples Party or UNPP [disputed leadership] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NAM, OAS (observer), OIC, ONUB, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMEE, UNMIL, UNMIS, UNMOVIC, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Professor George A. OBIOZOR |
| Diplomatic representation in the US: | chancery: 3519 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-8400 |
| Diplomatic representation in the US: | FAX: [1] (202) 775-1385 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador John CAMPBELL |
| Diplomatic representation from the US: | embassy: 7 Mambilla Drive, Abuja |
| Diplomatic representation from the US: | mailing address: P. O. Box 554, Lagos |
| Diplomatic representation from the US: | telephone: [234] (9) 523-0916/0906/5857/2235/2205 |
| Diplomatic representation from the US: | FAX: [234] (9) 523-0353 |
| Flag description: | three equal vertical bands of green (hoist side), white, and green |
