| Government | Nigeria |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Nigeria |
| Country name: | conventional short form: Nigeria |
| Government type: | federal republic |
| Capital: | name: Abuja |
| Capital: | geographic coordinates: 9 05 N, 7 32 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 36 states and 1 territory*; Abia, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Federal Capital Territory*, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nasarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe, Zamfara |
| Independence: | 1 October 1960 (from the UK) |
| National holiday: | Independence Day (National Day), 1 October (1960) |
| Constitution: | several previous; latest adopted 5 May 1999, effective 29 May 1999; amended 2010 (2010) |
| Legal system: | mixed legal system of English common law, Islamic law (in 12 northern states), and traditional law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Goodluck JONATHAN (since 5 May 2010, acting since 9 February 2010); Vice President Mohammed Namadi SAMBO (since 19 May 2010); note - the president is both chief of state and head of government; JONATHAN assumed the presidency on 5 May 2010 following the death of President YAR'ADUA; JONATHAN was elected president on 16 April 2011 |
| Executive branch: | head of government: President Goodluck JONATHAN (since 5 May 2010, acting since 9 February 2010); Vice President Mohammed Namadi SAMBO (since 19 May 2010) |
| Executive branch: | cabinet: Federal Executive Council |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a four-year term (eligible for a second term); election last held on 16 April 2011 (next to be held in February 2015) |
| Executive branch: | election results: Goodluck JONATHAN elected president; percent of vote - Goodluck JONATHAN 58.9%, Muhammadu BUHARI 32.0%, Nuhu RIBADU 5.4%, Ibrahim SHEKARAU 2.4%, other 1.3% |
| Legislative branch: | bicameral National Assembly consists of the Senate (109 seats, 3 from each state plus 1 from Abuja; members elected by popular vote to serve four-year terms) and House of Representatives (360 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held on 9 and 26 April 2011 (next to be held in February 2015); House of Representatives - last held on 9 and 26 April 2011 (next to be held in February 2015) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PDP 73, ACN 17, ANPP 7, CPC 6, LP 4, other 2; House of Representatives - percent of vote by party - NA; seats by party - PDP 205, ACN 69, CPC 36, ANPP 28, LP 9, APGA 6, ACC 5, other 2; note - due to logistical problems elections in a number of constituencies were held on 26 April 2011 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and 15 justices) |
| Judicial branch: | judge selection and term of office: judges appointed by the president on the recommendation of the National Judicial Council, a 23-member independent body of federal and state judicial officials; judge appointments confirmed by the Senate; judges serve until age 65 |
| Judicial branch: | subordinate courts: Court of Appeal; Federal High Court; High Court of the Federal Capital Territory; Sharia Court of Appeal of the Federal Capital Territory; Customary Court of Appeal of the Federal Capital Territory; state court system similar in structure to federal system |
| Political parties and leaders: | Accord Party or ACC [Mohammad Lawal MALADO] |
| Political parties and leaders: | Action Congress of Nigeria or ACN [Adebisi Bamidele AKANDE] |
| Political parties and leaders: | All Nigeria Peoples Party or ANPP [Ogbonnaya C. ONU] |
| Political parties and leaders: | All Progressives Congress [Adebisi Bamidele AKANDE, acting] |
| Political parties and leaders: | All Progressives Grand Alliance or APGA [Victor C. UMEH] |
| Political parties and leaders: | Congress for Progressive Change or CPC [Tony MOMOH] |
| Political parties and leaders: | Democratic Peoples Party or DPP [Biodun OGUNBIYI] |
| Political parties and leaders: | Labor Party [Chief Dan NWANYANWU] |
| Political parties and leaders: | Peoples Democratic Party or PDP [Adamu MU'AZU] |
| Political pressure groups and leaders: | Academic Staff Union for Universities or ASUU |
| Political pressure groups and leaders: | Campaign for Democracy or CD |
| Political pressure groups and leaders: | Civil Liberties Organization or CLO |
| Political pressure groups and leaders: | Committee for the Defense of Human Rights or CDHR |
| Political pressure groups and leaders: | Constitutional Right Project or CRP |
| Political pressure groups and leaders: | Human Right Africa |
| Political pressure groups and leaders: | National Association of Democratic Lawyers or NADL |
| Political pressure groups and leaders: | National Association of Nigerian Students or NANS |
| Political pressure groups and leaders: | Nigerian Bar Association or NBA |
| Political pressure groups and leaders: | Nigerian Labor Congress or NLC |
| Political pressure groups and leaders: | Nigerian Medical Association or NMA |
| Political pressure groups and leaders: | the press |
| Political pressure groups and leaders: | Universal Defenders of Democracy or UDD |
| International organization participation: | ACP, AfDB, AU, C, CD, D-8, ECOWAS, EITI (compliant country), FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNITAR, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Adebowale Ibidapo ADEFUYE (since 26 March 2010) |
| Diplomatic representation in the US: | chancery: 3519 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-8400 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-6541 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, New York |
