| Government | Guernsey |
| --- | --- |
| Country name: | conventional long form: Bailiwick of Guernsey |
| Country name: | conventional short form: Guernsey |
| Dependency status: | British crown dependency |
| Government type: | NA |
| Capital: | Saint Peter Port |
| Administrative divisions: | none (British crown dependency); there are no first-order administrative divisions as defined by the US Government, but there are 10 parishes including Saint Peter Port, Saint Sampson, Vale, Castel, Saint Saviour, Saint Pierre du Bois, Torteval, Forest, Saint Martin, Saint Andrew |
| Independence: | none (British crown dependency) |
| National holiday: | Liberation Day, 9 May (1945) |
| Constitution: | unwritten; partly statutes, partly common law and practice |
| Legal system: | English law and local statute; justice is administered by the Royal Court |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Lieutenant Governor and Commander-in-Chief Lt. Gen. Sir John FOLEY (since NA 2000) |
| Executive branch: | election results: Laurie MORGAN elected chief minister, percent of vote of the States of Deliberation NA |
| Executive branch: | elections: the monarch is hereditary; lieutenant governor appointed by the monarch; chief minister is elected by States of Delibertion |
| Executive branch: | head of government: Chief Minister Laurie MORGAN (since 1 May 2004) |
| Executive branch: | cabinet: Policy Council elected by the States of Deliberation |
| Legislative branch: | unicameral States of Deliberation (45 seats; members are elected by popular vote for 4 years); note - Alderney and Sark have their own parliaments |
| Legislative branch: | elections: last held 21 April 2004 (next to be held NA 2008) |
| Legislative branch: | election results: percent of vote - NA; seats - all independents |
| Judicial branch: | Royal Court |
| Political parties and leaders: | none; all independents |
| Political pressure groups and leaders: | none |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (British crown dependency) |
| Diplomatic representation from the US: | none (British crown dependency) |
| Flag description: | white with the red cross of Saint George (patron saint of England) extending to the edges of the flag and a yellow equal-armed cross of William the Conqueror superimposed on the Saint George cross |
