| Government | Wallis and Futuna |
| --- | --- |
| Country name: | conventional long form: Territory of the Wallis and Futuna Islands |
| Country name: | conventional short form: Wallis and Futuna |
| Country name: | local long form: Territoire des Iles Wallis et Futuna |
| Country name: | local short form: Wallis et Futuna |
| Dependency status: | overseas territory of France |
| Government type: | NA |
| Capital: | name: Mata-Utu (on Ile Uvea) |
| Capital: | geographic coordinates: 13 57 S, 171 56 W |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are three kingdoms at the second order named Alo, Sigave, Wallis |
| Independence: | none (overseas territory of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | the laws of France, where applicable, apply |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicolas SARKOZY (since 16 May 2007); represented by High Administrator Philippe PAOLANTONI (since 28 July 2008) |
| Executive branch: | head of government: President of the Territorial Assembly Patalione KANIMOA (since January 2001) |
| Executive branch: | cabinet: Council of the Territory consists of three kings and three members appointed by the high administrator on the advice of the Territorial Assembly |
| Executive branch: | note: there are three traditional kings with limited powers |
| Executive branch: | elections: French president elected by popular vote for a five-year term; high administrator appointed by the French president on the advice of the French Ministry of the Interior; the presidents of the Territorial Government and the Territorial Assembly are elected by the members of the assembly |
| Legislative branch: | unicameral Territorial Assembly or Assemblee Territoriale (20 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 11 March 2002 (next to be held 22 April 2007) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - RPR and affiliates 13, Socialists and affiliates 7 |
| Legislative branch: | note: Wallis and Futuna elects one senator to the French Senate and one deputy to the French National Assembly; French Senate - elections last held 26 September 2004 (next to be held by September 2010); results - percent of vote by party - NA; seats - RPR (now UMP) 1; French National Assembly - elections last held 17 June 2007 (next to be held by 2012); results - percent of vote by party - NA; seats - PS 1 |
| Judicial branch: | justice generally administered under French law by the high administrator, but the three traditional kings administer customary law and there is a magistrate in Mata-Utu; a court of appeal is located in Noumea, New Caledonia |
| Political parties and leaders: | Lua Kae Tahi (Giscardians); Mouvement des Radicaux de Gauche or MRG; Rally for the Republic or RPR (UMP) [Clovis LOGOLOGOFOLAU]; Socialist Party or PS; Taumu'a Lelei [Soane Muni UHILA]; Union Populaire Locale or UPL [Falakiko GATA]; Union Pour la Democratie Francaise or UDF |
| Political pressure groups and leaders: | NA |
| International organization participation: | PIF (observer), SPC, UPU, WFTU |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | unofficial, local flag has a red field with four white isosceles triangles in the middle, representing the three native kings of the islands and the French administrator; the apexes of the triangles are oriented inward and at right angles to each other; the flag of France, outlined in white on two sides, is in the upper hoist quadrant; the flag of France is the only official flag |
