| Government | Belgium |
| --- | --- |
| Country name: | conventional long form: Kingdom of Belgium |
| Country name: | conventional short form: Belgium |
| Country name: | local long form: Royaume de Belgique (French)/Koninkrijk Belgie (Dutch)/Koenigreich Belgien (German) |
| Country name: | local short form: Belgique/Belgie/Belgien |
| Country name: | etymology: the name derives from the Belgae, an ancient Celtic tribal confederation that inhabited an area between the English Channel and the west bank of the Rhine in the first centuries B.C. |
| Government type: | federal parliamentary democracy under a constitutional monarchy |
| Capital: | name: Brussels |
| Capital: | geographic coordinates: 50 50 N, 4 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: may derive from the Old Dutch "bruoc/broek," meaning "marsh" and "sella/zele/sel" signifying "home" to express the meaning "home in the marsh" |
| Administrative divisions: | 3 regions (French: regions, singular - region; Dutch: gewesten, singular - gewest); Brussels-Capital Region, also known as Brussels Hoofdstedelijk Gewest (Dutch), Region de Bruxelles-Capitale (French long form), Bruxelles-Capitale (French short form); Flemish Region (Flanders), also known as Vlaams Gewest (Dutch long form), Vlaanderen (Dutch short form), Region Flamande (French long form), Flandre (French short form); Walloon Region (Wallonia), also known as Region Wallone (French long form), Wallonie (French short form), Waals Gewest (Dutch long form), Wallonie (Dutch short form) |
| Administrative divisions: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; the 2012 sixth state reform transferred additional competencies from the federal state to the regions and linguistic communities |
| Independence: | 4 October 1830 (a provisional government declared independence from the Netherlands); 21 July 1831 (King LEOPOLD I ascended to the throne) |
| National holiday: | Belgian National Day (ascension to the throne of King LEOPOLD I), 21 July (1831) |
| Constitution: | history: drafted 25 November 1830, approved 7 February 1831, entered into force 26 July 1831, revised 14 July 1993 (creating a federal state) |
| Constitution: | amendments: "revisions" proposed as declarations by the federal government in accord with the king or by Parliament followed by dissolution of Parliament and new elections; adoption requires two-thirds majority vote of a two-thirds quorum in both houses of the next elected Parliament; amended many times, last in 2014 |
| Legal system: | civil law system based on the French Civil Code; note - Belgian law continues to be modified in conformance with the legislative norms mandated by the European Union; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Belgium |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King PHILIPPE (since 21 July 2013); Heir Apparent Princess ELISABETH (daughter of the monarch, born 25 October 2001) |
| Executive branch: | head of government: Prime Minister Alexander DE CROO (since 1 October 2020); Deputy Prime Ministers Koen GEENS (27 October 2019), Didier REYNDERS (since 27 October 2019), David CLARINVAL (30 November 2019), Petra DE SUTTER (since 1 October 2020) |
| Executive branch: | cabinet: Council of Ministers formally appointed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary and constitutional; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the monarch and approved by Parliament |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate or Senaat (in Dutch), Senat (in French) (60 seats; 50 members indirectly elected by the community and regional parliaments based on their election results, and 10 elected by the 50 other senators; members serve 5-year terms) |
| Legislative branch: | Chamber of Representatives or Kamer van Volksvertegenwoordigers (in Dutch), Chambre des Representants (in French) (150 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held 26 May 2019 (next to be held in 2024) |
| Legislative branch: | Chamber of Representatives - last held on 26 May 2019 (next to be held in 2024); note - elections coincided with the EU elections |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; composition men 32, women 28, percent of women 46.7% |
