| Government | Belgium |
| --- | --- |
| Country name: | conventional long form: Kingdom of Belgium |
| Country name: | conventional short form: Belgium |
| Country name: | local long form: Royaume de Belgique/Koninkrijk Belgie |
| Country name: | local short form: Belgique/Belgie |
| Government type: | federal parliamentary democracy under a constitutional monarch |
| Capital: | Brussels |
| Administrative divisions: | 10 provinces (French: provinces, singular - province; Dutch: provincies, singular - provincie) and 3 regions* (French: regions; Dutch: gewesten); Antwerpen, Brabant Wallon, Brussels* (Bruxelles), Flanders*, Hainaut, Liege, Limburg, Luxembourg, Namur, Oost-Vlaanderen, Vlaams-Brabant, Wallonia*, West-Vlaanderen |
| Administrative divisions: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities |
| Independence: | 4 October 1830 (a provisional government declares independence from the Netherlands); 21 July 1831 (King Leopold I ascends to the throne) |
| National holiday: | 21 July (1831) ascension to the Throne of King Leopold I |
| Constitution: | 7 February 1831; amended many times; revised 14 July 1993 to create a federal state |
| Legal system: | civil law system influenced by English constitutional theory; judicial review of legislative acts; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King ALBERT II (since 9 August 1993); Heir Apparent Prince PHILIPPE, son of the monarch |
| Executive branch: | head of government: Prime Minister Guy VERHOFSTADT (since 13 July 1999) |
| Executive branch: | cabinet: Council of Ministers formally appointed by the monarch |
| Executive branch: | elections: none; the monarchy is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch and then approved by parliament |
| Executive branch: | note: government coalition - VLD, MR, PS, SP.A-Spirit |
| Legislative branch: | bicameral Parliament consists of a Senate or Senaat in Dutch, Senat in French (71 seats; 40 members are directly elected by popular vote, 31 are indirectly elected; members serve four-year terms) and a Chamber of Deputies or Kamer van Volksvertegenwoordigers in Dutch, Chambre des Representants in French (150 seats; members are directly elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: Senate and Chamber of Deputies - last held 18 May 2003 (next to be held no later than May 2007) |
| Legislative branch: | election results: Senate - percent of vote by party - SP.A-Spirit 15.5%, VLD 15.4%, CD & V 12.7%, PS 12.8%, MR 12.1%, VB 9.4%, CDH 5.6%; seats by party - SP.A-Spirit 7, VLD 7, CD & V 6, PS 6, MR 5, VB 5, CDH 2, other 2 (note - there are also 31 indirectly elected senators); Chamber of Deputies - percent of vote by party - VLD 15.4%, SP.A-Spirit 14.9%, CD & V 13.3%, PS 13.0%, VB 11.6%, MR 11.4%, CDH 5.5%, Ecolo 3.1%; seats by party - VLD 25, SP.A-Spirit 23, CD & V 21, PS 25, VB 18, MR 24, CDH 8 Ecolo 4, other 2 |
| Legislative branch: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; this reality leaves six governments each with its own legislative assembly |
| Judicial branch: | Supreme Court of Justice or Hof van Cassatie (in Dutch) or Cour de Cassation (in French) (judges are appointed for life by the Government; candidacies have to be submitted by the High Justice Council) |
| Political parties and leaders: | Flemish parties: Christian Democrats and Flemish or CD & V [Jo VANDEURZEN]; Flemish Liberal Democrats or VLD [Bart SOMERS]; GROEN! (formerly AGALEV, Flemish Greens) [Vera DUA]; New Flemish Alliance or NVA [Bart DE WEVER]; Socialist Party.Alternative or SP.A [Caroline GENNEZ]; Spirit [Geert LAMBERT] (new party now associated with SP.A); Vlaams Belang (Flemish Interest) or VB [Frank VANHECKE] |
| Political parties and leaders: | Francophone parties: Ecolo (Francophone Greens) [Jean-Michel JAVAUX, Evelyne HUYTEBROECK, Claude BROUIR]; Humanist and Democratic Center of CDH [Joelle MILQUET]; National Front or FN [Daniel FERET]; Reformist Movement or MR [Didier REYNDERS]; Socialist Party or PS [Elio DI RUPO]; other minor parties |
