| Government | Belgium |
| --- | --- |
| Country name: | conventional long form: Kingdom of Belgium |
| Country name: | conventional short form: Belgium |
| Country name: | local long form: Royaume de Belgique/Koninkrijk Belgie/Koenigreich Belgien |
| Country name: | local short form: Belgique/Belgie/Belgien |
| Government type: | federal parliamentary democracy under a constitutional monarchy |
| Capital: | name: Brussels |
| Capital: | geographic coordinates: 50 50 N, 4 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 3 regions (French: regions, singular - region; Dutch: gewesten, singular - gewest); Brussels-Capital Region, also known as Brussels Hoofdstedelijk Gewest (Dutch), Region de Bruxelles-Capitale (French long form), Bruxelles-Capitale (French short form); Flemish Region (Flanders), also known as Vlaams Gewest (Dutch long form), Vlaanderen (Dutch short form), Region Flamande (French long form), Flandre (French short form); Walloon Region (Wallonia), also known as Region Wallone (French long form), Wallonie (French short form), Waals Gewest (Dutch long form), Wallonie (Dutch short form) |
| Administrative divisions: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities |
| Independence: | 4 October 1830 (a provisional government declared independence from the Netherlands); 21 July 1831 (King LEOPOLD I ascended to the throne) |
| National holiday: | 21 July (1831) ascension to the Throne of King LEOPOLD I |
| Constitution: | drafted 25 November 1830, approved 7 February 1831, entered into force 26 July 1831, revised 14 July 1993 (creating a federal state); amended many times, last in 2012 (2012) |
| Legal system: | civil law system based on the French Civil Code; note - Belgian law continues to be modified in conformance with the legislative norms mandated by the European Union; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King PHILIPPE (since 21 August 2013); Heir Apparent Princess ELISABETH, daughter of the monarch |
| Executive branch: | head of government: Prime Minister Elio DI RUPO (since 6 December 2011); Deputy Prime Minister Alexander DE CROO (since 22 October 2012); Joelle MILQUET (since 20 March 2008); Laurette ONKELINX (since 30 December 2008); Didier REYNDERS (since 30 December 2008); Pieter DE CREM (since 5 March 2013) |
| Executive branch: | cabinet: Council of Ministers are formally appointed by the monarch |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary and constitutional; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the monarch and then approved by parliament |
| Legislative branch: | bicameral Parliament consists of a Senate or Senaat in Dutch, Senat in French (71 seats; 40 members directly elected by popular vote, 31 indirectly elected; members serve four-year terms) and a Chamber of Deputies or Kamer van Volksvertegenwoordigers in Dutch, Chambre des Representants in French (150 seats; members directly elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: Senate and Chamber of Deputies - last held on 13 June 2010 (next to be held no later than June 2014) |
| Legislative branch: | election results: Senate - percent of vote by party - N-VA 19.6%, PS 13.6%, CD&V 10%, SP.A 9.5%, MR 9.3%, Open VLD 8.2%, VB 7.6%, Ecolo 5.5%, CDH 5.1% Groen! 3.9%, other 7.7%; seats by party - N-VA 9, PS 7, CD&V 4, SP.A 4, MR 4, Open VLD 4, VB 3, Ecolo 2, CDH 2, Groen! 1; Chamber of Deputies - percent of vote by party - N-VA 17.4%, PS 13.7%, CD&V 10.9%, MR 9.3%, SP.A 9.2%, Open VLD 8.6%, VB 7.8%, CDH 5.5%, Ecolo 4.8%, Groen! 4.4%, List Dedecker 2.3%, the Popular Party 1.3%, other 4.8%; seats by party - N-VA 27, PS 26, CD&V 17, MR 18, sp.a 13, Open VLD 13, VB 12, CDH 9, Ecolo 8, Groen! 5, List Dedecker 1, the Popular Party 1 |
