| Government | Uruguay |
| --- | --- |
| Country name: | conventional long form: Oriental Republic of Uruguay |
| Country name: | conventional short form: Uruguay |
| Country name: | local long form: Republica Oriental del Uruguay |
| Country name: | local short form: Uruguay |
| Country name: | former: Banda Oriental, Cisplatine Province |
| Government type: | constitutional republic |
| Capital: | name: Montevideo |
| Capital: | geographic coordinates: 34 53 S, 56 11 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in October; ends second Sunday in March |
| Administrative divisions: | 19 departments (departamentos, singular - departamento); Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta y Tres |
| Independence: | 25 August 1825 (from Brazil) |
| National holiday: | Independence Day, 25 August (1825) |
| Constitution: | 27 November 1966, effective 15 February 1967; suspended 27 June 1973, new constitution rejected by referendum 30 November 1980; two constitutional reforms approved by plebiscite 26 November 1989 and 7 January 1997 |
| Legal system: | based on Spanish civil law system; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Tabare VAZQUEZ Rosas (since 1 March 2005); Vice President Rodolfo NIN NOVOA (since 1 March 2005); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Tabare VAZQUEZ Rosas (since 1 March 2005); Vice President Rodolfo NIN NOVOA (since 1 March 2005) |
| Executive branch: | cabinet: Council of Ministers appointed by the president with parliamentary approval |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for five-year terms (may not serve consecutive terms); election last held 31 October 2004 (next to be held in October 2009) |
| Executive branch: | election results: Tabare VAZQUEZ elected president; percent of vote - Tabare VAZQUEZ 50.5%, Jorge LARRANAGA 35.1%, Guillermo STIRLING 10.3%; other 4.1% |
| Legislative branch: | bicameral General Assembly or Asamblea General consists of Chamber of Senators or Camara de Senadores (30 seats; members are elected by popular vote to serve five-year terms; vice president has one vote in the Senate) and Chamber of Representatives or Camara de Representantes (99 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Chamber of Senators - last held 31 October 2004 (next to be held October 2009); Chamber of Representatives - last held 31 October 2004 (next to be held October 2009) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party - NA; seats by party - EP-FA 16, Blanco 11, Colorado Party 3; Chamber of Representatives - percent of vote by party - NA; seats by party - EP-FA 52, Blanco 36, Colorado Party 10, Independent Party 1 |
| Judicial branch: | Supreme Court (judges are nominated by the president and elected for 10-year terms by the General Assembly) |
| Political parties and leaders: | Broad Front Coalition (Frente Amplio) [Jorge BROVETTO] (formerly known as the Progressive Encounter/Broad Front Coalition or EP-FA); Colorado Party [Julio Maria SANGUINETTI]; Independent Party (Partido Independiente) [Pablo MIERES]; Movement of Popular Participation or MPP [Jose MUJICA]; National Party or Blanco [Jorge LARRANAGA]; New Sector/Space Coalition (Nuevo Espacio) [Rafael MICHELINI]; Uruguayan Assembly or Asamblea Uruguay [Danilo ASTORI] |
| Political pressure groups and leaders: | Architect's Society of Uruguay (professional organization); Catholic Church; Chamber of Uruguayan Industries (manufacturer's association); Chemist and Pharmaceutical Association (professional organization); PIT-CNT (powerful federation of Uruguayan unions); Rural Association of Uruguay (rancher's association); students; Uruguayan Construction League |
| International organization participation: | CAN (associate), CSN, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, MONUC, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNFICYP, UNIDO, Union Latina, UNMEE, UNMOGIP, UNOCI, UNOMIG, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Carlos Alberto GIANELLI Derois |
| Diplomatic representation in the US: | chancery: 1913 I Street NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-1313 through 1316 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-8142 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, Miami, New York |
| Diplomatic representation in the US: | consulate(s): San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador Frank BAXTER |
| Diplomatic representation from the US: | embassy: Lauro Muller 1776, Montevideo 11200 |
| Diplomatic representation from the US: | mailing address: APO AA 34035 |
| Diplomatic representation from the US: | telephone: [598] (2) 418-7777 |
| Diplomatic representation from the US: | FAX: [598] (2) 418-8611 |
| Flag description: | nine equal horizontal stripes of white (top and bottom) alternating with blue; there is a white square in the upper hoist-side corner with a yellow sun bearing a human face known as the Sun of May with 16 rays that alternate between triangular and wavy |
