| Government | Mongolia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local long form: none |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia |
| Government type: | parliamentary |
| Capital: | name: Ulaanbaatar |
| Capital: | geographic coordinates: 47 55 N, 106 55 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan-Uul, Dornod, Dornogovi, Dundgovi, Dzavhan (Zavkhan), Govi-Altay, Govisumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 11 July 1921 (from China) |
| National holiday: | Independence Day/Revolution Day, 11 July (1921) |
| Constitution: | several previous; latest adopted 13 January 1992, effective 12 February 1992; amended 1999, 2001 (2011) |
| Legal system: | civil law system influenced by Soviet and Romano-Germanic legal systems; constitution ambiguous on judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tsakhia ELBEGDORJ (since 18 June 2009) |
| Executive branch: | head of government: Prime Minister Norov ALTANKHUYAG (since 9 August 2012); Deputy Prime Minister Dendev TERBISHDAGVA (since 20 August 2012) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister in consultation with the president and confirmed by the State Great Hural (parliament) |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: presidential candidates nominated by political parties represented in State Great Hural and elected by popular vote for a four-year term (eligible for a second term); election last held on 26 June 2013 (next to be held in June 2017); following legislative elections, leaders of the majority party or a majority coalition usually elect the prime minister of the State Great Hural |
| Executive branch: | election results: in elections in June 2013, Tsakhia ELBEGDORJ elected president; percent of vote - Tsakhia ELBEGDORJ 50.2%, Badmaanyambuu BAT-ERDENE 42%, Natsag UDVAL 6.5%, others 1.3% |
| Legislative branch: | unicameral State Great Hural (76 seats; of which 48 members are directly elected from 26 electoral districts, while 28 members are proportionally elected based on a party's share of the total votes; all serve four-year terms) |
| Legislative branch: | elections: last held on 28 June 2012 (next to be held in June 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - DP 33, MPP 25, Justice Coalition 11, others 5, vacant 2 |
| Judicial branch: | highest court(s): Supreme Court (consists of the Chief Justice and 16 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tsets (consists of a chairman and 8 members) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice and judges appointed by the president upon recommendation to the State Great Hural by the General Council of Courts; term of appointment is for life; chairman of the Constitutional Court elected from among its members; members appointed by the State Great Heral upon nominations - 3 each by the president, the State Great Hural, and the Supreme Court; term of appointment is 6 years; chairmanship limited to a single renewable 3-year term |
| Judicial branch: | subordinate courts: aimag (provincial) and capital city appellate courts; soum, inter-soum, and district courts; Administrative Cases Courts (established in 2004) |
| Political parties and leaders: | Civil Will-Green Party or CWGP [Dangaasuren EHKHBAT] |
| Political parties and leaders: | Democratic Party or DP [Norov ALTANHUYAG] |
| Political parties and leaders: | Justice Coalition (is made up of MPRP and MNDP) |
| Political parties and leaders: | Mongolian Natinal Democratic party or MNDP [ENKHSAIKHAN Mendsaikhan] |
| Political parties and leaders: | Mongolian People's Party or MPP [O. ENKHTUVSHIN] |
| Political parties and leaders: | Mongolian People's Revolutionary Party or MPRP [Nambar ENKHBAYAR] |
| Political pressure groups and leaders: | other: human rights groups; women's groups |
| International organization participation: | ADB, ARF, CD, CICA, CP, EBRD, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OPCW, OSCE, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bulgaa ALTANGEREL (since 8 January 2013) |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Piper Anne Wind CAMPBELL (since 6 August 2012) |
| Diplomatic representation from the US: | embassy: Denver Street #3, 11th Micro Region, Big Ring Road, Ulaanbaatar, 14190 Mongolia |
