| Government | Mongolia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia |
| Country name: | local long form: none |
| Government type: | parliamentary |
| Capital: | Ulaanbaatar |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan Uul, Dornod, Dornogovi, Dundgovi, Dzavhan, Govi-Altay, Govi-Sumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 11 July 1921 (from China) |
| National holiday: | Independence Day/Revolution Day, 11 July (1921) |
| Constitution: | 12 February 1992 |
| Legal system: | blend of Soviet, German, and US systems of law that combines aspects of a parliamentary system with some aspects of a presidential system; constitution ambiguous on judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Natsagiyn BAGABANDI (since 20 June 1997) |
| Executive branch: | head of government: Prime Minister Nambaryn ENKHBAYAR (since 26 July 2000) |
| Executive branch: | cabinet: Cabinet appointed by the State Great Hural in consultation with the president |
| Executive branch: | elections: president nominated by parties in the State Great Hural and elected by popular vote for a four-year term; election last held 20 May 2001 (next to be held NA May 2005); following legislative elections, the leader of the majority party or majority coalition is usually elected prime minister by the State Great Hural; election last held 2 July 2000 (next to be held NA 2004) |
| Executive branch: | election results: Natsagiyn BAGABANDI reelected president; percent of vote - Natsagiyn BAGABANDI (MPRP) 58.13%, Radnaasumbereliyn GONCHIGDORJ (DP) 36.58%, Luvsandamba DASHNYAM (CWP) 3.54%, other 1.75%; Nambaryn ENKHBAYAR elected prime minister by a vote in the State Great Hural of 68 to 3 |
| Legislative branch: | unicameral State Great Hural (76 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 2 July 2000 (next to be held NA July 2004) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - MPRP 72, other 4 |
| Judicial branch: | Supreme Court (serves as appeals court for people's and provincial courts but rarely overturns verdicts of lower courts; judges are nominated by the General Council of Courts for approval by the president) |
| Political parties and leaders: | Citizens' Will Party or CWP (also called Civil Will Party or Civil Courage Party) [Sanjaasurengyn OYUN]; Democratic Party or DP [D. DORLIGJAN]; Mongolian People's Revolutionary Party or MPRP [Nambaryn ENKHBAYAR]; Mongolian New Socialist Democratic Party or MNSDP [B. ERDENEBAT]; Mongolian Republican Party or MRP [B. JARGALSAIHAN] |
| Political parties and leaders: | note: the MPRP is the ruling party |
| Political pressure groups and leaders: | NA |
| International organization participation: | ARF (dialogue partner), AsDB, ASEAN (observer), CP (provisional), EBRD, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, MONUC, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ravdangiyn BOLD |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation from the US: | chief of mission: Ambassador Pamela J. Slutz |
| Diplomatic representation from the US: | embassy: Micro Region 11, Big Ring Road, C.P.O. 1021, Ulaanbaatar 13 |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 300, FPO AP 96521-0002 |
| Diplomatic representation from the US: | telephone: [976] (11) 329095 |
| Diplomatic representation from the US: | FAX: [976] (11) 320776 |
| Flag description: | three equal, vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol) |
