| Government | Mongolia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local long form: none |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia |
| Government type: | parliamentary |
| Capital: | name: Ulaanbaatar |
| Capital: | geographic coordinates: 47 55 N, 106 55 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan-Uul, Dornod, Dornogovi, Dundgovi, Dzavhan (Zavkhan), Govi-Altay, Govisumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 11 July 1921 (from China) |
| National holiday: | Independence Day/Revolution Day, 11 July (1921) |
| Constitution: | 13 January 1992 |
| Legal system: | civil law system influenced by Soviet and Romano-Germanic legal systems; constitution ambiguous on judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tsakhia ELBEGDORJ (since 18 June 2009) |
| Executive branch: | head of government: Prime Minister Norov ALTANKHUYAG (since 9 August 2012); Deputy Prime Minister Dendev TERBISHDAGVA (since 20 August 2012) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister in consultation with the president and confirmed by the State Great Hural (parliament) |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: presidential candidates nominated by political parties represented in State Great Hural and elected by popular vote for a four-year term (eligible for a second term); election last held on 24 May 2009 (next to be held by May 2013); following legislative elections, leader of majority party or majority coalition usually elected prime minister by State Great Hural |
| Executive branch: | election results: in elections in May 2009, Tsakhia ELBEGDORJ elected president; percent of vote - Tsakhia ELBEGDORJ 51.2%, Nambar ENKHBAYAR 47.4%, others 1.3% |
| Legislative branch: | unicameral State Great Hural (76 seats; of which 48 members are directly elected from 26 electoral districts, while 28 members are proportionally elected based on a party's share of the total votes; all serve four-year terms) |
| Legislative branch: | elections: last held on 28 June 2012 (next to be held in June 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - DP 33, MPP 25, Justice Coalition 11, others 5, vacant 2 |
| Judicial branch: | Supreme Court (serves as appeals court for people's and provincial courts but rarely overturns verdicts of lower courts; judges are nominated by the General Council of Courts and approved by the president); Constitutional Court (this independent court resolves disputes about potentially unconstitutional laws and acts of the president, members of parliament, and the cabinet) |
| Political parties and leaders: | Civil Will-Green Party or CWGP [Dangaasuren EHKHBAT]; Democratic Party or DP [Norov ALTANHUYAG]; Mongolian People's Party or MPP [O. ENKHTUVSHIN]; Mongolian People's Revolutionary Party or MPRP [Nambar ENKHBAYAR] |
| Political pressure groups and leaders: | other: human rights groups; women's groups |
| International organization participation: | ADB, ARF, CD, CICA, CP, EBRD, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OPCW, OSCE, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Khasbazar BEKHBAT |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Piper Anne Wind CAMPBELL |
| Diplomatic representation from the US: | embassy: Big Ring Road, 11th Micro Region, Ulaanbaatar, 14171 Mongolia |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 300, FPO AP 96521-0002; P.O. Box 1021, Ulaanbaatar-13 |
| Diplomatic representation from the US: | telephone: [976] (11) 329-095 |
| Diplomatic representation from the US: | FAX: [976] (11) 320-776 |
| Flag description: | three equal, vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol); blue represents the sky, red symbolizes progress and prosperity |
| National symbol(s): | soyombo emblem |
| National anthem: | name: "Mongol ulsyn toriin duulal" (National Anthem of Mongolia) |
| National anthem: | lyrics/music: Tsendiin DAMDINSUREN/Bilegiin DAMDINSUREN and Luvsanjamts MURJORJ |
| National anthem: | note: music adopted 1950, lyrics adopted 2006; the anthem's lyrics have been altered on numerous occasions |
