| Government | Mongolia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local long form: none |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia, Mongolian People's Republic |
| Country name: | etymology: the name means "Land of the Mongols" in Latin; the Mongolian name Mongol Uls translates as "Mongol State" |
| Government type: | semi-presidential republic |
| Capital: | name: Ulaanbaatar |
| Capital: | geographic coordinates: 47 55 N, 106 55 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Saturday in March; ends last Saturday in September |
| Capital: | note: Mongolia has two time zones - Ulaanbaatar Time (8 hours in advance of UTC) and Hovd Time (7 hours in advance of UTC) |
| Capital: | etymology: the name means "red hero" in Mongolian and honors national hero Damdin Sukhbaatar, leader of the partisan army that with Soviet Red Army help, liberated Mongolia from Chinese occupation in the early 1920s |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan-Uul, Dornod, Dornogovi, Dundgovi, Dzavhan (Zavkhan), Govi-Altay, Govisumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 29 December 1911 (independence declared from China; in actuality, autonomy attained); 11 July 1921 (from China) |
| National holiday: | Naadam (games) holiday (commemorates independence from China in the 1921 Revolution), 11-15 July; Constitution Day (marks the date that the Mongolian People's Republic was created under a new constitution), 26 November (1924) |
| Constitution: | history: several previous; latest adopted 13 January 1992, effective 12 February 1992 |
| Constitution: | amendments: proposed by the State Great Hural, by the president of the republic, by the government, or by petition submitted to the State Great Hural by the Constitutional Court; conducting referenda on proposed amendments requires at least two-thirds majority vote of the State Great Hural; passage of amendments by the State Great Hural requires at least three-quarters majority vote; passage by referendum requires majority participation of qualified voters and a majority of votes; amended 1999, 2000, 2019 |
| Legal system: | civil law system influenced by Soviet and Romano-Germanic legal systems; constitution ambiguous on judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: both parents must be citizens of Mongolia; one parent if born within Mongolia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Khaltmaa BATTULGA (since 10 July 2017) |
| Executive branch: | head of government: Prime Minister Ukhnaa KHURELSUKH (since 4 October 2017; re-elected by the Parliament 2 July 2020); Deputy Prime Minister Ulziisaikhan ENKHTUVSHIN (since 18 October 2017); note - Prime Minister Jargaltulga ERDENEBAT (since 8 July 2016) was voted out of office by the Parliament on 7 September 2017 |
| Executive branch: | cabinet: directly appointed by the prime minister following a constitutional amendment ratified in November 2019; prior to the amendment, the cabinet was nominated by the prime minister in consultation with the president and confirmed by the State Great Hural (parliament) |
| Executive branch: | elections/appointments: presidential candidates nominated by political parties represented in the State Great Hural and directly elected by simple majority popular vote for a 4-year term (eligible for a second term); election last held on 26 June 2017 with a runoff held 7 July 2017 (next to be held in 2021); following legislative elections, the leader of the majority party or majority coalition is usually elected prime minister by the State Great Hural |
| Executive branch: | election results: Khaltmaa BATTULGA elected president in second round; percent of vote in first round - Khaltmaa BATTULGA (DP) 38.1%, Miyegombo ENKHBOLD (MPP) 30.3%, Sainkhuu GANBAATAR (MPRP) 30.2%, invalid 1.4%; percent of vote in second round - Khaltmaa BATTULGA 55.2%, Miyegombo ENKHBOLD 44.8%; on 2 July 2020, Prime Minister Ukhnaa KHURELSUKH was reelected prime minister by the State Great Hural |
| Legislative branch: | description: unicameral State Great Hural or Ulsyn Ikh Khural (76 seats; members directly elected in single-seat constituencies by simple majority vote; each constituency requires at least 50% voter participation for the poll to be valid; members serve 4-year terms) |
| Legislative branch: | elections: last held on 24 June 2020 (next to be held in 2024) |
| Legislative branch: | election results: percent of vote by party - MPP 44.9%, DP 24.5%, Our Coalition 8.1%, independent 8.7%, Right Person Electorate Coalition 5.2%, other 8.5%; seats by party - MPP 62, DP 11, Our Coalition 1, Right Person Electorate Coalition 1; independent 1; composition -Â  63 men, 13 women; percent of women 17.1%; note - the MPRP, Civil Will-Green Party, and Mongolian Traditionally United Party formed Our Coalition for the 2020 election; the Right Person Electorate Coalition was established in 2020 by the National Labor Party, Mongolian Social Democratic Party, and Justice Party |
| Judicial branch: | highest courts: Supreme Court (consists of the Chief Justice and 24 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tsets (consists of the chairman and 8 members) |
