| Government | British Indian Ocean Territory |
| --- | --- |
| Country name: | conventional long form: British Indian Ocean Territory |
| Country name: | conventional short form: none |
| Country name: | abbreviation: BIOT |
| Dependency status: | overseas territory of the UK; administered by a commissioner, resident in the Foreign and Commonwealth Office in London |
| Legal system: | the laws of the UK, where applicable, apply |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952) |
| Executive branch: | head of government: Commissioner Tony CROMBIE (since January 2004); Administrator Tony HUMPHRIES (since February 2005); note - both reside in the UK |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: none; the monarch is hereditary; commissioner and administrator appointed by the monarch |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | white with six blue wavy horizontal stripes; the flag of the UK is in the upper hoist-side quadrant; the striped section bears a palm tree and yellow crown centered on the outer half of the flag |
