| Government | Solomon Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Solomon Islands |
| Country name: | local long form: none |
| Country name: | local short form: Solomon Islands |
| Country name: | former: British Solomon Islands |
| Country name: | etymology: Spanish explorer Alvaro de MENDANA named the isles in 1568 after the wealthy biblical King SOLOMON in the mistaken belief that the islands contained great riches |
| Government type: | parliamentary democracy under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Honiara |
| Capital: | geographic coordinates: 9 26 S, 159 57 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name derives from "nagho ni ara," which in one of the Guadalcanal languages roughly translates as "facing the eastern wind" |
| Administrative divisions: | 9 provinces and 1 city*; Central, Choiseul, Guadalcanal, Honiara*, Isabel, Makira and Ulawa, Malaita, Rennell and Bellona, Temotu, Western |
| Independence: | 7 July 1978 (from the UK) |
| National holiday: | Independence Day, 7 July (1978) |
| Constitution: | history: adopted 31 May 1978, effective 7 July 1978; note - in late 2017, provincial leaders agreed to adopt a new federal constitution, with passageÂ expected in 2018, but it has been postponed indefinitely |
| Constitution: | amendments: proposed by the National Parliament; passage of constitutional sections, including those on fundamental rights and freedoms, the legal system, Parliament, alteration of the constitution and the ombudsman, requires three-fourths majority vote by Parliament and assent of the governor general; passage of other amendments requires two-thirds majority vote and assent of the governor general; amended several times, last in 2014 (2018) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Solomon Islands |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General David VUNAGI (sinceÂ 8 July 2019) |
| Executive branch: | head of government: Prime Minister Rick HOU (since 16 November 2017) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the advice of the National Parliament for up to 5 years (eligible for a second term); following legislative elections, the leader of the majority party or majority coalition usually elected prime minister by the National Parliament; deputy prime minister appointed by the governor general on the advice of the prime minister from among members of the National Parliament |
| Executive branch: | election results: Manasseh SOGAVARE (independent) defeated in no-confidence vote on 6 November 2017; Rick HOU elected prime minister on 15 November 2017 |
| Legislative branch: | description: unicameral National Parliament (50 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 19 November 2014 (next to be held 3 April 2019) |
| Legislative branch: | election results: percent of vote by party - UDP 10.7%, DAP 7.8%, PAP 4.4%, other 20.8%, independent 56.3%; seats by party - DAP 7, UDP 5, PAP 3, KPSI 1, SIPFP 1, SIPRA 1, independent 32; composition - men 49, women 1, percent of women 2% |
| Judicial branch: | highest courts: Court of Appeal (consists of the court president and ex officio members including the High Court chief justice and its puisne judges); High Court (consists of the chief justice and puisne judges, as prescribed by the National Parliament) |
| Judicial branch: | judge selection and term of office: Court of Appeal and High Court president, chief justices, and puisne judges appointed by the governor general upon recommendation of the Judicial and Legal Service Commission, chaired by the chief justice and includes 5 members, mostly judicial officials and legal professionals; all judges serve until retirement at age 60 |
| Judicial branch: | subordinate courts: Magistrates' Courts; Customary Land Appeal Court; local courts |
| Political parties and leaders: | Democratic Alliance Party or DAP [Steve ABANA] |
| Political parties and leaders: | Kadere Party of Solomon Islands or KPSI [Peter BOYERS] |
| Political parties and leaders: | People's Alliance Party or PAP [Nathaniel WAENA] |
| Political parties and leaders: | Solomon Islands People First Party or SIPFP [Dr. Jimmie RODGERS] |
| Political parties and leaders: | Solomon Islands Party for Rural Advancement or SIPRA [Manasseh MAELANGA] |
| Political parties and leaders: | United Democratic Party or UDP [Sir Thomas Ko CHAN] |
| Political parties and leaders: | note: in general, Solomon Islands politics is characterized by fluid coalitions |
| International organization participation: | ACP, ADB, AOSIS, C, EITI (candidate country), ESCAP, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IOC, ITU, MIGA, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WFTU, WHO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Robert SISILO (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400L, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 599-6192, 6193 |
| Diplomatic representation in the US: | FAX: [1] (212) 661-8925 |
| Diplomatic representation from the US: | the US does not have an embassy in the Solomon Islands; the US Ambassador to Papua New Guinea is accredited to the Solomon Islands |
| Flag description: | divided diagonally by a thin yellow stripe from the lower hoist-side corner; the upper triangle (hoist side) is blue with five white five-pointed stars arranged in an X pattern; the lower triangle is green; blue represents the ocean, green the land, and yellow sunshine; the five stars stand for the five main island groups of the Solomon Islands |
| National symbol(s): | national colors: blue, yellow, green, white |
| National anthem: | name: God Save Our Solomon Islands |
| National anthem: | lyrics/music: Panapasa BALEKANA and Matila BALEKANA/Panapasa BALEKANA |
| National anthem: | note: adopted 1978 |
