| Government | Solomon Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Solomon Islands |
| Country name: | local long form: none |
| Country name: | local short form: Solomon Islands |
| Country name: | former: British Solomon Islands |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Honiara |
| Capital: | geographic coordinates: 9 26 S, 159 57 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 provinces and 1 capital territory*; Central, Choiseul, Guadalcanal, Honiara*, Isabel, Makira, Malaita, Rennell and Bellona, Temotu, Western |
| Independence: | 7 July 1978 (from the UK) |
| National holiday: | Independence Day, 7 July (1978) |
| Constitution: | 7 July 1978 |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Frank KABUI (since 7 July 2009) |
| Executive branch: | head of government: Prime Minister Gordon Darcy LILO (since 16 November 2011) |
| Executive branch: | cabinet: Cabinet consists of 20 members appointed by the governor general on the advice of the prime minister from among the members of parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch on the advice of parliament for up to five years (eligible for a second term); following legislative elections, the leader of the majority party or the leader of a majority coalition usually elected prime minister by parliament; deputy prime minister appointed by the governor general on the advice of the prime minister from among the members of parliament; Gordon Darcy LILO elected on 16 November 2011 |
| Legislative branch: | unicameral National Parliament (50 seats; members elected from single-member constituencies by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 4 August 2010 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - SIDP 14, OUR 4, SIPRA 3, RDP 3, IDP 2, DDP 2, PCP 1, PFP 1, RUPP 1, SILP 1, SINP 1, independents 17 |
| Judicial branch: | Court of Appeal |
| Political parties and leaders: | Direct Development Party or DDP [Dick HA'AMORI]; People's Alliance Party or PAP [James MEKAB]; People's Congress Party or PCP [Fred FONO]; People's Federation Party or PFP [Rudolf DORA]; Ownership, Unity, and Responsibility Party or OUR [Manasseh SOGAVARE]; Reform Democratic Party or RDP [Danny PHILIP]; Rural and Urban Political Party or RUPP [Samuel MANETOALI]; Solomon Islands Democratic Party or SIDP [Steve ABANA]; Solomon Islands Liberal Party or SILP [Derek SIKUA]; Solomon Islands National Party or SINP [Francis HILLY]; Solomon Islands Party for Rural Advancement or SIPRA [Job D. TAUSINGA]; United Party [Sir Peter KENILOREA] |
| Political parties and leaders: | note: in general, Solomon Islands politics is characterized by fluid coalitions |
| Political pressure groups and leaders: | Isatabu Freedom Movement (IFM); Malaita Eagle Force (MEF); note - these rival armed ethnic factions crippled the Solomon Islands in a wave of violence from 1999 to 2003 |
| International organization participation: | ACP, ADB, AOSIS, C, ESCAP, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IOC, ITU, MIGA, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WFTU, WHO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Collin David BECK |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400L, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 599-6192, 6193 |
| Diplomatic representation in the US: | FAX: [1] (212) 661-8925 |
| Diplomatic representation from the US: | the US does not have an embassy in the Solomon Islands; the US ambassador to Papua New Guinea is accredited to the Solomon Islands |
| Flag description: | divided diagonally by a thin yellow stripe from the lower hoist-side corner; the upper triangle (hoist side) is blue with five white five-pointed stars arranged in an X pattern; the lower triangle is green; blue represents the ocean; green the land; and yellow sunshine; the five stars stand for the five main island groups of the Solomon Islands |
| National anthem: | name: "God Save Our Solomon Islands" |
| National anthem: | lyrics/music: Panapasa BALEKANA and Matila BALEKANA/Panapasa BALEKANA |
| National anthem: | note: adopted 1978 |
| Government - note: | by the end of 2007, the Regional Assistance Mission to the Solomon Islands (RAMSI) - originally made up of police and troops from Australia, NZ, Fiji, Papua New Guinea, and Tonga - had been scaled back to 303 police officers, 197 civilian technical advisers, and 72 military advisers from 15 countries across the region |
