| Government | Tanzania |
| --- | --- |
| Country name: | conventional long form: United Republic of Tanzania |
| Country name: | conventional short form: Tanzania |
| Country name: | local long form: Jamhuri ya Muungano wa Tanzania |
| Country name: | local short form: Tanzania |
| Country name: | former: United Republic of Tanganyika and Zanzibar |
| Government type: | republic |
| Capital: | name: Dar es Salaam |
| Capital: | geographic coordinates: 6 48 S, 39 17 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: legislative offices have been transferred to Dodoma, which is planned as the new national capital, and the National Assembly now meets there on a regular basis; the Executive Branch with all ministries and diplomatic representation remains located in Dar es Salaam |
| Administrative divisions: | 30 regions; Arusha, Dar es Salaam, Dodoma, Geita, Iringa, Kagera, Kaskazini Pemba (Pemba North), Kaskazini Unguja (Zanzibar North), Katavi, Kigoma, Kilimanjaro, Kusini Pemba (Pemba South), Kusini Unguja (Zanzibar Central/South), Lindi, Manyara, Mara, Mbeya, Mjini Magharibi (Zanzibar Urban/West), Morogoro, Mtwara, Mwanza, Njombe, Pwani (Coast), Rukwa, Ruvuma, Shinyanga, Simiyu, Singida, Tabora, Tanga |
| Independence: | 26 April 1964; Tanganyika became independent on 9 December 1961 (from UK-administered UN trusteeship); Zanzibar became independent on 10 December 1963 (from UK); Tanganyika united with Zanzibar on 26 April 1964 to form the United Republic of Tanganyika and Zanzibar; renamed United Republic of Tanzania on 29 October 1964 |
| National holiday: | Union Day (Tanganyika and Zanzibar), 26 April (1964) |
| Constitution: | several previous; latest adopted 25 April 1977; amended many times, last in 2012; note - in 2012, the Tanzania Constitutional Review Commission was formed, and in June 2013, completed the first draft of a new constitution (2013) |
| Legal system: | English common law; judicial review of legislative acts limited to matters of interpretation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jakaya KIKWETE (since 21 December 2005); Vice President Mohammed Gharib BILAL (since 6 November 2010); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jakaya KIKWETE (since 21 December 2005); Vice President Mohammed Gharib BILAL (since 6 November 2010) |
| Executive branch: | note: Zanzibar elects a president who is head of government for matters internal to Zanzibar; Ali Mohamed SHEIN elected to that office on 31 October 2010, sworn in 3 November 2010 |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ballot by popular vote for five-year terms (eligible for a second term); election last held on 31 October 2010 (next to be held in 2015); prime minister appointed by the president |
| Executive branch: | election results: Jakaya KIKWETE elected president; percent of vote - Jakaya KIKWETE 61.2%, Willibrod SLAA 26.3%, Ibrahim LIPUMBA 8.1%, other 4.4% |
| Legislative branch: | unicameral National Assembly or Bunge (357 seats; 239 members elected by popular vote, 102 allocated to women nominated by the president, 5 to members of the Zanzibar House of Representatives; members serve five-year terms, up to 10 additional members appointed by the president, 1 seat reserved for the Attorney General); note - in addition to enacting laws that apply to the entire United Republic of Tanzania, the Assembly enacts laws that apply only to the mainland; Zanzibar has its own House of Representatives with jurisdiction exclusive to Zanzibar (the Zanzibar House of Representatives has 50 seats; members elected by universal suffrage to serve five-year terms) |
| Legislative branch: | elections: last held on 31 October 2010 (next to be held in 2015) |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA; seats by party - CCM 259, CHADEMA 48, CUF 34, NCCR-M 4, other 7, Zanzibar representatives 5; Zanzibar House of Representatives - percent of vote by party - NA; seats by party - CCM 28, CUF 22 |
| Judicial branch: | highest court(s): Court of Appeal of the United Republic of Tanzania (consists of the chief justice and 14 justices); High Court of the United Republic for Mainland Tanzania (consists of the principal judge and 30 judges organized into commercial, land, and labor courts); High Court of Zanzibar (consists of the chief justice and NA judges) |
| Judicial branch: | judge selection and term of office: Court of Appeal and High Court justices appointed by the national president after consultation with the Judicial Service Commission for Tanzania, a judicial body of high level judges and 2 members appointed by the national president; Court of Appeal and High Court judges appointed until mandatory retirement at age 60 but can extended; High Court of Zanzibar judges appointed by the national president after consultation with the Judicial Commission of Zanzibar; judge tenure NA |
| Judicial branch: | subordinate courts: Resident Magistrates Courts; Kadhi courts (for Islamic family matters); district and primary courts |
| Political parties and leaders: | Chama Cha Demokrasia na Maendeleo (Party of Democracy and Development) or CHADEMA [Willibrod SLAA] |
| Political parties and leaders: | Chama Cha Mapinduzi or CCM (Revolutionary Party) [Jakaya Mrisho KIKWETE] |
| Political parties and leaders: | Civic United Front or CUF [Ibrahim LIPUMBA] |
| Political parties and leaders: | Democratic Party or DP [Christopher MTIKLA] (unregistered) |
| Political parties and leaders: | National Convention for Construction and Reform - Mageuzi or NCCR-M [Hashim RUNGWE] |
| Political parties and leaders: | Tanzania Labor Party or TLP [Mutamwega MUGAHWYA] |
| Political parties and leaders: | United Democratic Party or UDP [Fahma DOVUTWA] |
| Political pressure groups and leaders: | Economic and Social Research Foundation or ESRF |
| Political pressure groups and leaders: | Free Zanzibar |
| Political pressure groups and leaders: | Tanzania Media Women's Association or TAMWA |
| International organization participation: | ACP, AfDB, AU, C, CD, EAC, EADB, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OPCW, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Liberata Rutageruka MULAMULA (since 17 July 2013) |
| Diplomatic representation in the US: | chancery: 1232 22nd Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6125 |
| Diplomatic representation in the US: | FAX: [1] (202) 797-7408 |
| Diplomatic representation from the US: | chief of mission: Ambassador Alfonso E. LENHARDT (since 12 November 2009) |
| Diplomatic representation from the US: | embassy: 686 Old Bagamoyo Road, Msasani, Dar es Salaam |
| Diplomatic representation from the US: | mailing address: P. O. Box 9123, Dar es Salaam |
| Diplomatic representation from the US: | telephone: [255] (22) 229-4000 |
| Diplomatic representation from the US: | FAX: [255] (22) 229-4970 or 4971 |
| Flag description: | divided diagonally by a yellow-edged black band from the lower hoist-side corner; the upper triangle (hoist side) is green and the lower triangle is blue; the banner combines colors found on the flags of Tanganyika and Zanzibar; green represents the natural vegetation of the country, gold its rich mineral deposits, black the native Swahili people, and blue the country's many lakes and rivers, as well as the Indian Ocean |
| National symbol(s): | Uhuru (Freedom) torch |
| National anthem: | name: "Mungu ibariki Afrika" (God Bless Africa) |
| National anthem: | lyrics/music: collective/Enoch Mankayi SONTONGA |
| National anthem: | note: adopted 1961; the anthem, which is also a popular song in Africa, shares the same melody with that of Zambia, but has different lyrics; the melody is also incorporated into South Africa's anthem |
