| Government | Ghana |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Government type: | constitutional democracy |
| Capital: | name: Accra |
| Capital: | geographic coordinates: 5 33 N, 0 13 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| Independence: | 6 March 1957 (from UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | approved 28 April 1992 |
| Legal system: | based on English common law and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President John Agyekum KUFUOR (since 7 January 2001); Vice President Alhaji Aliu MAHAMA (since 7 January 2001); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President John Agyekum KUFUOR (since 7 January 2001); Vice President Alhaji Aliu MAHAMA (since 7 January 2001) |
| Executive branch: | cabinet: Council of Ministers; president nominates members subject to approval by Parliament |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held 7 December 2004 (next to be held in December 2008) |
| Executive branch: | election results: John Agyekum KUFUOR reelected president in election; percent of vote - John KUFUOR 53.4%, John ATTA-MILLS 43.7% |
| Legislative branch: | unicameral Parliament (230 seats; members are elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 7 December 2004 (next to be held December in 2008) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NPP 128, NDC 94, PNC 4, CPP 3, independent 1 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Convention People's Party or CPP [Dr. Edmund DELLE]; Democratic Freedom Party or DFP [Alhaji Abudu Rahman ISSAKAH]; Every Ghanaian Living Everywhere or EGLE [Danny OFORI-ATTA]; Great Consolidated Popular Party or GCPP [Dan LARTY]; National Democratic Congress or NDC [Dr. Kwabena ADJEI]; New Patriotic Party or NPP [Peter MAC-MANU]; People's National Convention or PNC [Alhaji Amed RHAMADAN]; Reform Party [Kyeretwie OPUKU]; United Renaissance Party or URP [Charles Wayo] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NAM, OAS (observer), OIF, ONUB, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMEE, UNMIL, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Dr. Kwame BAWUAH-EDUSEI |
| Diplomatic representation in the US: | chancery: 1156 15th St. NW #905, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1379 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-1430 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Pamela E. BRIDGEWATER |
| Diplomatic representation from the US: | embassy: Ring Road East, Osu, Accra |
| Diplomatic representation from the US: | mailing address: P. O. Box 194, Accra |
| Diplomatic representation from the US: | telephone: [233] (21) 775-347, 775-348 |
| Diplomatic representation from the US: | FAX: [233] (21) 776-008 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green with a large black five-pointed star centered in the yellow band; uses the popular pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
