| Government | Ghana |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Country name: | etymology: named for the medieval West African kingdom of the same name but whose location was actually further north than the modern country |
| Government type: | presidential republic |
| Capital: | name: Accra |
| Capital: | geographic coordinates: 5 33 N, 0 13 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name derives from the Akan word "nkran" meaning "ants," and refers to the numerous anthills in the area around the capital |
| Administrative divisions: | 16 regions; Ahafo, Ashanti, Bono, Bono East, Central, Eastern, Greater Accra, North East, Northern, Oti, Savannah, Upper East, Upper West, Volta, Western, Western North |
| Independence: | 6 March 1957 (from the UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | history: several previous; latest drafted 31 March 1992, approved and promulgated 28 April 1992, entered into force 7 January 1993 |
| Constitution: | amendments: proposed by Parliament; consideration requires prior referral to the Council of State, a body of prominent citizens who advise the president of the republic; passage of amendments to "entrenched" constitutional articles (including those on national sovereignty, fundamental rights and freedoms, the structure and authorities of the branches of government, and amendment procedures) requires approval in a referendum by at least 40% participation of eligible voters and at least 75% of votes cast, followed by at least two-thirds majority vote in Parliament, and assent of the president; amendments to non-entrenched articles do not require referenda; amended 1996 (2017) |
| Legal system: | mixed system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent or grandparent must be a citizen of Ghana |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nana Addo Dankwa AKUFO-ADDO (since 7 January 2017); Vice President Mahamudu BAWUMIA (since 7 January 2017); the president is both chief of state and head of government |
| Executive branch: | head of government: President Nana Addo Dankwa AKUFO-ADDO (since 7 January 2017); Vice President Mahamudu BAWUMIA (since 7 January 2017) |
| Executive branch: | cabinet: Council of Ministers; nominated by the president, approved by Parliament |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held on 7 December 2016 (next to be held in December 2020) |
| Executive branch: | election results: Nana Addo Dankwa AKUFO-ADDO elected president in the first round; percent of vote - Nana Addo Dankwa AKUFO-ADDO (NPP) 53.7%, John Dramani MAHAMA (NDC) 44.5%, other 1.8% |
| Legislative branch: | description: unicameral Parliament (275 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 7 December 2016 (next to be held in December 2020) |
| Legislative branch: | election results: percent of vote by party - NPP 54%, NDC 44%, other 2%; seats by party - NPP 171, NDC 104; composition - men 240, women 35, percent of women 12.7% |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and 12 justices) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president in consultation with the Council of State (a small advisory body of prominent citizens) and with the approval of Parliament; other justices appointed by the president upon the advice of the Judicial Council (an 18-member independent body of judicial, military and police officials, and presidential nominees) and on the advice of the Council of State; justices can retire at age 60, with compulsory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Circuit Court; District Court; regional tribunals |
| Political parties and leaders: | note: Ghana has more than 20 registered parties; included are 5 of the more popular parties as of May 2017 |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, EITI (compliant country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Barfour ADJEI-BARWUAH (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 3512 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-4520 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-4527 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephanie S. SULLIVAN (since 30 November 2018) |
| Diplomatic representation from the US: | telephone: [233] 030-274-1000 |
| Diplomatic representation from the US: | embassy: 24 Fourth Circular Rd., Cantonments, Accra |
| Diplomatic representation from the US: | P.O. Box GP2288, Accra |
| Diplomatic representation from the US: | mailing address: P.O. Box 194, Accra |
| Diplomatic representation from the US: | FAX: [233] 030-274-1389 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green, with a large black five-pointed star centered in the yellow band; red symbolizes the blood shed for independence, yellow represents the country's mineral wealth, while green stands for its forests and natural wealth; the black star is said to be the lodestar of African freedom |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
| National symbol(s): | black star, golden eagle; national colors: red, yellow, green, black |
| National anthem: | name: God Bless Our Homeland Ghana |
| National anthem: | lyrics/music: unknown/Philip GBEHO |
| National anthem: | note: music adopted 1957, lyrics adopted 1966; the lyrics were changed twice, in 1960 when a republic was declared and after a 1966 coup |
