| Government | Ghana |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Government type: | constitutional democracy |
| Capital: | name: Accra |
| Capital: | geographic coordinates: 5 33 N, 0 13 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| Independence: | 6 March 1957 (from the UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | approved 28 April 1992 |
| Legal system: | mixed system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President John Dramani MAHAMA (since 24 July 2012); Vice President Kwesi Bekoe AMISSAH-ARTHUR (since 6 August 2012); note - President MAHAMA assumed office due to the death of former president John Atta MILLS and subsequently won the December 2012 presidential election; the president is both the chief of state and head of government |
| Executive branch: | head of government: President John Dramani MAHAMA (since 24 July 2012); Vice President Kwesi Bekoe AMISSAH-ARTHUR (since 6 August 2012); note - President MAHAMA assumed office due to the death of former president John Atta MILLS and subsequently won the December 2012 presidential election |
| Executive branch: | cabinet: Council of Ministers; president nominates members subject to approval by Parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 7 December 2012 (next to be held in December 2016) |
| Executive branch: | election results: John Dramani MAHAMA elected president; percent of vote - John Dramani MAHAMA 50.7%, Nana Addo Dankwa AKUFO-ADDO 47.7%, other 1.6% |
| Legislative branch: | unicameral Parliament (275 seats; members elected by direct, popular vote in single-seat constituencies to serve four-year terms) |
| Legislative branch: | elections: last held on 7 and 8 December 2012 (next to be held in December 2016) |
| Legislative branch: | election results: percent of vote by party - NPP 47.5%, NDC 46.4%, PNC 0.6%, independent 2.5%, other 3.0%; seats by party - NDC 151, NPP 120, PNC 1, independent 3 |
| Judicial branch: | Supreme Court; High Court; Court of Appeal; regional tribunals |
| Political parties and leaders: | Convention People's Party or CPP [Samia NKRUMAH]; Democratic Freedom Party or DFP [Obed Yao ASAMOAH]; Democratic Peopleâ€™s Party or DPP [T.N. WARD BREW]; Every Ghanaian Living Everywhere or EGLE [Henry GIDI]; Great Consolidated Popular Party or GCPP [vacant]; National Democratic Congress or NDC [Dr. Kwabena ADJEI]; National Democratic Party or NDP [Nii Armah JOSIAH-AYEH]; New Patriotic Party or NPP [Jake OBETSEBI-LAMPEY]; People's National Convention or PNC [Alhaji Amed RAMADAN]; National Reform Party [Peter KPORDUGBE]; United Renaissance Party or URP [Kofi WAYO] |
| Political pressure groups and leaders: | Christian Aid (water rights); Committee for Joint Action or CJA (education reform); National Coalition Against the Privatization of Water or CAP (water rights); Oxfam (water rights); Public Citizen (water rights); Students Coalition Against EPA [Kwabena Ososukene OKAI] (education reform); Third World Network (education reform) |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, EITI (compliant country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Daniel Ohene AGYEKUM |
| Diplomatic representation in the US: | chancery: 3512 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-4520 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-4527 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Gene CRETZ |
| Diplomatic representation from the US: | embassy: 24 4th Circular Rd. Cantonments, Accra |
| Diplomatic representation from the US: | mailing address: P. O. Box 194, Accra |
| Diplomatic representation from the US: | telephone: [233] (21) 741-000 |
| Diplomatic representation from the US: | FAX: [233] (21) 741-389 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green, with a large black five-pointed star centered in the yellow band; red symbolizes the blood shed for independence, yellow represents the country's mineral wealth, while green stands for its forests and natural wealth; the black star is said to be the lodestar of African freedom |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
| National symbol(s): | black star; golden eagle |
| National anthem: | name: "God Bless Our Homeland Ghana" |
| National anthem: | lyrics/music: unknown/Philip GBEHO |
| National anthem: | note: music adopted 1957, lyrics adopted 1966; the lyrics were changed twice, once when a republic was declared in 1960 and again after a 1966 coup |
