| Government | GHANA |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Government type: | constitutional democracy |
| Capital: | name: Accra |
| Capital: | geographic coordinates: 5 33 N, 0 13 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| Independence: | 6 March 1957 (from the UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | several previous; latest drafted 31 March 1992, approved and promulgated 28 April 1992, entered into force 7 January 1993; amended 1996 (2012) |
| Legal system: | mixed system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President John Dramani MAHAMA (since 24 July 2012); Vice President Kwesi Bekoe AMISSAH-ARTHUR (since 6 August 2012); note - President MAHAMA assumed the presidency after the death of President John Atta MILLS and subsequently won the December 2012 presidential election; the president is both chief of state and head of government |
| Executive branch: | head of government: President John Dramani MAHAMA (since 24 July 2012); Vice President Kwesi Bekoe AMISSAH-ARTHUR (since 6 August 2012) |
| Executive branch: | cabinet: Council of Ministers;  nominated by the president, approved by Parliament |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held on 8 December 2012 (next to be held in December 2016) |
| Executive branch: | election results: John Dramani MAHAMA elected president; percent of vote - John Dramani MAHAMA (NDC) 50.7%, Nana Addo Dankwa AKUFO-ADDO (NPP) 47.7%, other 1.6% |
| Legislative branch: | description: unicameral Parliament (275 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 7 - 8 December 2012 (next to be held in December 2016) |
| Legislative branch: | election results: percent of vote by party - NPP 47.5%, NDC 46.4%, PNC 0.6%, independent 2.5%, other 3.0%; seats by party - NDC 150, NPP 120, PNC 1, independent 3, other 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of a chief justice and 12 justices) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president in consultation with the Council of State (a small advisory body of prominent citizens) and with the approval of Parliament; other justices appointed by the president upon the advice of the Judicial Council (an 18-member independent body of judicial, military and police officials, and presidential nominees) and on the advice of the Council of State; justices can retire at age 60, with compulsory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Circuit Court; District Court; regional tribunals |
| Political parties and leaders: | Convention People's Party or CPP [Samia NKRUMAH] |
| Political parties and leaders: | National Democratic Congress or NDC [John Dramani MAHAMA] |
| Political parties and leaders: | New Patriotic Party or NPP [Paul AFOKO] |
| Political parties and leaders: | People's National Convention or PNC [Alhaji Amed RAMADAN] |
| Political parties and leaders: | note: listed are four of the more popular political parties as of December 2012; there are more than 20 registered parties |
| Political pressure groups and leaders: | Christian Aid (water rights) |
| Political pressure groups and leaders: | Committee for Joint Action or CJA (social and economic issues) |
| Political pressure groups and leaders: | National Coalition Against the Privatization of Water or CAP (water rights) |
| Political pressure groups and leaders: | Oxfam (water rights) |
| Political pressure groups and leaders: | Public Citizen (water rights) |
| Political pressure groups and leaders: | Students Coalition Against EPA [Kwabena Ososukene OKAI] (education reform) |
| Political pressure groups and leaders: | Third World Network (social and economic issues) |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, EITI (compliant country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Martha Ama Akyaa POBEE (since 31 July 2015) |
| Diplomatic representation in the US: | chancery: 3512 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-4520 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-4527 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Gene A. CRETZ (since 11 September 2012) |
| Diplomatic representation from the US: | embassy: 24 Fourth Circular Rd., Cantonments, Accra |
| Diplomatic representation from the US: | mailing address: P. O. Box 194, Accra |
| Diplomatic representation from the US: | telephone: [233] 30-2741-000 |
| Diplomatic representation from the US: | FAX: [233] 30-2741-389 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green, with a large black five-pointed star centered in the yellow band; red symbolizes the blood shed for independence, yellow represents the country's mineral wealth, while green stands for its forests and natural wealth; the black star is said to be the lodestar of African freedom |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
| National symbol(s): | black star, golden eagle: national colors: red, yellow, green, black |
| National anthem: | name: "God Bless Our Homeland Ghana" |
| National anthem: | lyrics/music: unknown/Philip GBEHO |
| National anthem: | note: music adopted 1957, lyrics adopted 1966; the lyrics were changed twice, in 1960 when a republic was declared and after a 1966 coup |
