| Government | Ghana |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Government type: | constitutional democracy |
| Capital: | name: Accra |
| Capital: | geographic coordinates: 5 33 N, 0 13 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| Independence: | 6 March 1957 (from the UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | several previous; latest drafted 31 March 1992, approved and promulgated 28 April 1992, entered into force 7 January 1993; amended 1996 (2012) |
| Legal system: | mixed system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President John Dramani MAHAMA (since 24 July 2012); Vice President Kwesi Bekoe AMISSAH-ARTHUR (since 6 August 2012); note - President MAHAMA assumed office due to the death of former president John Atta MILLS and subsequently won the December 2012 presidential election; the president is both the chief of state and head of government |
| Executive branch: | head of government: President John Dramani MAHAMA (since 24 July 2012); Vice President Kwesi Bekoe AMISSAH-ARTHUR (since 6 August 2012); note - President MAHAMA assumed office due to the death of former president John Atta MILLS and subsequently won the December 2012 presidential election |
| Executive branch: | cabinet: Council of Ministers; president nominates members subject to approval by Parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 7 December 2012 (next to be held in December 2016) |
| Executive branch: | election results: John Dramani MAHAMA elected president; percent of vote - John Dramani MAHAMA 50.7%, Nana Addo Dankwa AKUFO-ADDO 47.7%, other 1.6% |
| Legislative branch: | unicameral Parliament (275 seats; members elected by direct, popular vote in single-seat constituencies to serve four-year terms) |
| Legislative branch: | elections: last held on 7 and 8 December 2012 (next to be held in December 2016) |
| Legislative branch: | election results: percent of vote by party - NPP 47.5%, NDC 46.4%, PNC 0.6%, independent 2.5%, other 3.0%; seats by party - NDC 151, NPP 120, PNC 1, independent 3 |
