| Government | Czech Republic |
| --- | --- |
| Country name: | conventional long form: Czech Republic |
| Country name: | conventional short form: Czech Republic |
| Country name: | local long form: Ceska Republika |
| Country name: | local short form: Cesko |
| Government type: | parliamentary democracy |
| Capital: | name: Prague |
| Capital: | geographic coordinates: 40 55 N, 21 00 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 13 regions (kraje, singular - kraj) and 1 capital city* (hlavni mesto); Jihocesky Kraj, Jihomoravsky Kraj, Karlovarsky Kraj, Kralovehradecky Kraj, Liberecky Kraj, Moravskoslezsky Kraj, Olomoucky Kraj, Pardubicky Kraj, Plzensky Kraj, Praha (Prague)*, Stredocesky Kraj, Ustecky Kraj, Vysocina, Zlinsky Kraj |
| Independence: | 1 January 1993 (Czechoslovakia split into the Czech Republic and Slovakia) |
| National holiday: | Czech Founding Day, 28 October (1918) |
| Constitution: | ratified 16 December 1992, effective 1 January 1993 |
| Legal system: | civil law system based on Austro-Hungarian codes; has not accepted compulsory ICJ jurisdiction; legal code modified to bring it in line with Organization on Security and Cooperation in Europe (OSCE) obligations and to expunge Marxist-Leninist legal theory |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Vaclav KLAUS (since 7 March 2003) |
| Executive branch: | note: the Czech Republic's first president Vaclav HAVEL stepped down from office on 2 February 2003 having served exactly 10 years; parliament finally elected a successor on 28 February 2003 after two inconclusive elections in January 2003 |
| Executive branch: | head of government: Prime Minister Mirek TOPOLANEK (since 4 September 2006), Deputy Prime Minister Petr NECAS (since 4 September 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by Parliament for a five-year term (eligible for a second term); last successful election held 28 February 2003 (after earlier elections held 15 and 24 January 2003 were inconclusive; next election to be held January 2008); prime minister appointed by the president |
| Executive branch: | election results: Vaclav KLAUS elected president on 28 February 2003; Vaclav KLAUS 142 votes, Jan SOKOL 124 votes (third round; combined votes of both chambers of parliament) |
| Legislative branch: | bicameral Parliament or Parlament consists of the Senate or Senat (81 seats; members are elected by popular vote to serve six-year terms; one-third elected every two years) and the Chamber of Deputies or Poslanecka Snemovna (200 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held in two rounds 20-21 and 27-28 October 2006 (next to be held October 2008); Chamber of Deputies - last held 2-3 June 2006 (next to be held by June 2010) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - ODS 41, CSSD 12, KDU-CSL 10, others 15, independents 2; Chamber of Deputies - percent of vote by party - ODS 35.4%, CSSD 32.3%, KSCM 12.8%, KDU-CSL 7.2%, Greens 6.3%, other 6%; seats by party - ODS 81, CSSD 74, KSCM 26, KDU-CSL 13, Greens 6 |
| Judicial branch: | Supreme Court; Constitutional Court; chairman and deputy chairmen are appointed by the president for a 10-year term |
| Political parties and leaders: | Christian Democratic Union-Czechoslovak People's Party or KDU-CSL [Jan KASAL, chairman]; Civic Democratic Alliance or ODA [Jirina NOVAKOVA, chairwoman]; Civic Democratic Party or ODS [Mirek TOPOLANEK, chairman]; Communist Party of Bohemia and Moravia or KSCM [Vojtech FILIP, chairman]; Czech Social Democratic Party or CSSD [Jiri PAROUBEK, chairman]; Freedom Union-Democratic Union or US-DEU [Jan HADRAVA, chairman]; Green Party [Martin BURSIK, chairman]; Independent Democrats (NEZDEM) [Vladimir ZELEZNY, chairman]; Party of Open Society (SOS) [Pavel NOVACEK, chairman]; Path of Change [Jiri LOBKOWITZ, chairman]; SNK-European Democrats or SNK-ED [Jana HYBASKOVA, chairman] |
| Political pressure groups and leaders: | Czech-Moravian Confederation of Trade Unions or CMKOS [Milan STECH] |
| International organization participation: | ACCT (observer), Australia Group, BIS, BSEC (observer), CE, CEI, CERN, EAPC, EBRD, EIB, ESA (cooperating state), EU (new member), FAO, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UNITAR, UNMEE, UNMIL, UNOMIG, UPU, WCL, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Petr KOLAR |
| Diplomatic representation in the US: | chancery: 3900 Spring of Freedom Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 274-9100 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8540 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard W. GRABER |
| Diplomatic representation from the US: | embassy: Trziste 15, 11801 Prague 1 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [420] 257 022 000 |
| Diplomatic representation from the US: | FAX: [420] 257 022 809 |
| Flag description: | two equal horizontal bands of white (top) and red with a blue isosceles triangle based on the hoist side (identical to the flag of the former Czechoslovakia) |
