| Government |
| --- | --- |
| Country name: | conventional long form: Czech Republic |
| Country name: | conventional short form: Czech Republic |
| Country name: | local long form: Ceska Republika |
| Country name: | local short form: Ceska Republika |
| Government type: | parliamentary democracy |
| Capital: | Prague |
| Administrative divisions: | 13 regions (kraje, singular - kraj) and 1 capital city* (hlavni mesto); Brnensky, Budejovicky, Jihlavsky, Karlovarsky, Kralovehradecky, Liberecky, Olomoucky, Ostravsky, Pardubicky, Plzensky, Praha*, Stredocesky, Ustecky, Zlinsky |
| Independence: | 1 January 1993 (Czechoslovakia split into the Czech Republic and Slovakia) |
| National holiday: | Czech Founding Day, 28 October (1918) |
| Constitution: | ratified 16 December 1992; effective 1 January 1993 |
| Legal system: | civil law system based on Austro-Hungarian codes; has not accepted compulsory ICJ jurisdiction; legal code modified to bring it in line with Organization on Security and Cooperation in Europe (OSCE) obligations and to expunge Marxist-Leninist legal theory |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Vaclav HAVEL (since 2 February 1993) |
| Executive branch: | head of government: Prime Minister Milos ZEMAN (since 17 July 1998); Deputy Prime Ministers Vladimir SPIDLA (since 22 July 1998), Pavel RYCHETSKY (since 22 July 1998), Jan KAVAN (since 8 December 1999) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by Parliament for a five-year term; election last held 20 January 1998 (next to be held NA January 2003); prime minister appointed by the president |
| Executive branch: | election results: Vaclav HAVEL reelected president; Vaclav HAVEL received 47 of 81 votes in the Senate and 99 out of 200 votes in the Chamber of Deputies (second round of voting) |
| Legislative branch: | bicameral Parliament or Parlament consists of the Senate or Senat (81 seats; members are elected by popular vote to serve six-year terms; one-third elected every two years) and the Chamber of Deputies or Poslanecka snemovna (200 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 12 and 19 November 2000 (next to be held NA November 2002); Chamber of Deputies - last held 19-20 June 1998 (next to be held by NA June 2002) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - KDU-CSL 28, ODS 22, CSSD 15, ODA 7, US 4, KSCM 3, independents 2; Chamber of Deputies - percent of vote by party - CSSD 32.3%, ODS 27.7%, KSCM 11%, KDU-CSL 9.0%, US 8.6%; seats by party - CSSD 74, ODS 63, KSCM 24, KDU-CSL 20, US 18, CSNS 1 |
| Judicial branch: | Supreme Court; Constitutional Court; chairman and deputy chairmen are appointed by the president for a 10-year term |
| Political parties and leaders: | Christian and Democratic Union-Czechoslovak People's Party or KDU-CSL [Jan KASAL, chairman]; Civic Democratic Alliance or ODA [Daniel KROUPA, chairman]; Civic Democratic Party or ODS [Vaclav KLAUS, chairman]; Communist Party of Bohemia and Moravia or KSCM [Miroslav GREBENICEK, chairman]; Communist Party of Czechoslovakia or KSC [Miroslav STEPAN, chairman]; Czech National Social Party of CSNS [Jan SULA, chairman]; Czech Social Democratic Party or CSSD [Milos ZEMAN, chairman]; Democratic Union or DEU [Ratibor MAJZLIK, chairman]; Freedom Union or US [Karel KUEHNL, chairman]; Quad Coalition [Cyril SVOBODA, chairman] (includes KDU-CSL, US, ODA, DEU); Republicans of Miroslav SLADEK or RMS [Miroslav SLADEK, chairman] |
| Political pressure groups and leaders: | Czech-Moravian Confederation of Trade Unions [Richard FALBR] |
| International organization participation: | ACCT (observer), Australia Group, BIS, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UPU, WCL, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Alexsandr VONDRA |
| Diplomatic representation in the US: | chancery: 3900 Spring of Freedom Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 274-9100 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8540 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Steven J. COFFEY |
| Diplomatic representation from the US: | embassy: Trziste 15, 11801 Prague 1 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [420] (2) 5753-0663 |
| Diplomatic representation from the US: | FAX: [420] (2) 5753-0583 |
| Flag description: | two equal horizontal bands of white (top) and red with a blue isosceles triangle based on the hoist side (identical to the flag of the former Czechoslovakia) |
