| Government | CZECH REPUBLIC |
| --- | --- |
| Country name: | conventional long form: Czech Republic |
| Country name: | conventional short form: Czech Republic |
| Country name: | local long form: Ceska republika |
| Country name: | local short form: Cesko |
| Government type: | parliamentary democracy |
| Capital: | name: Prague |
| Capital: | geographic coordinates: 50 05 N, 14 28 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 13 regions (kraje, singular - kraj) and 1 capital city* (hlavni mesto); Jihocesky (South Bohemia), Jihomoravsky (South Moravia), Karlovarsky (Karlovy Vary), Kralovehradecky (Hradec Kralove), Liberecky (Liberec), Moravskoslezsky (Moravia-Silesia), Olomoucky (Olomouc), Pardubicky (Pardubice), Plzensky (Pilsen), Praha (Prague)*, Stredocesky (Central Bohemia), Ustecky (Usti), Vysocina (Highlands), Zlinsky (Zlin) |
| Independence: | 1 January 1993 (Czechoslovakia split into the Czech Republic and Slovakia); note - although 1 January is the day the Czech Republic came into being, the Czechs commemorate 28 October 1918, the day the former Czechoslovakia declared its independence from the Austro-Hungarian Empire, as their independence day |
| National holiday: | Czechoslovak Founding Day, 28 October (1918) |
| Constitution: | previous 1960; latest ratified 16 December 1992, effective 1 January 1993; amended several times, last in 2013 (2013) |
| Legal system: | new civil code enacted in 2014, replacing civil code of 1964 - based on former Austro-Hungarian civil codes and socialist theory - and reintroducing former Czech legal terminology |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Milos ZEMAN (since 8 March 2013) |
| Executive branch: | head of government: Prime Minister Bohuslav SOBOTKA (since 17 January 2014); First Deputy Prime Minister Andrej BABIS and Deputy Prime Minister Pavel BELOBRADEK (both since 29 January 2014) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (limited to 2 consecutive terms); elections last held on 11-12 January 2013 with a runoff on 25-26 January 2013 (next to be held in January 2018); prime minister appointed by the president for a 5-year term |
| Executive branch: | election results: Milos ZEMAN elected president; percent of popular vote - Milos ZEMAN (SPO) 54.8%, Karel SCHWARZENBERG (TOP 09) 45.2% |
| Legislative branch: | description: bicameral Parliament or Parlament consists of the Senate or Senat (81 seats; members directly elected in single-seat constituencies by absolute majority vote in two-rounds if needed; members serve 6-year terms with one-third of the membership renewed every 2 years) and the Chamber of Deputies or Poslanecka Snemovna (200 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: Senate - last held in two rounds on 10-11 and 17-18 October 2014 (next to be held in October 2016); Chamber of Deputies - last held on 25-26 October 2013 (next to be held in 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - CSSD 33, ODS 14, KDU-CSL 11, ANO 4, SPO 2, Green 2, KSCM 1, S.cz 1, STAN 1, HOPB 1, SLK 1, independent 10; Chamber of Deputies - percent of vote by party - CSSD 20.5%, ANO 2011 18.7%, KSCM 14.9%, TOP 09 12%, ODS 7.7%, Usvit 6.9%, KDU-CSL 6.8% other 12.5%; seats by party - CSSD 50, ANO 2011 47, KSCM 33, TOP 09 26, ODS 16, Usvit 14, KDU-CSL 14 |
| Judicial branch: | highest court(s): Supreme Court (organized into Civil Law and Commercial Division, and Criminal Division each with a court chief justice, vice justice, and several judges); Constitutional Court (consists of 15 justices); Supreme Administrative Court (consists of 28 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges proposed by the Chamber of Deputies and appointed by the president; judges appointed for life; Constitutional Court judges appointed by the president and confirmed by the Senate; judges appointed for 10-year, renewable terms; Supreme Administrative Court judges selected by the president of the Court; judge term NA |
| Judicial branch: | subordinate courts: High Court; superior, regional, and district courts |
| Political parties and leaders: | parties in parliament: Christian Democratic Union-Czechoslovak People's Party or KDU-CSL [Pavel BELOBRADEK] |
| Political parties and leaders: | Citizens for Budejovice or HOPB [Juraj THOMA] |
| Political parties and leaders: | Civic Democratic Party or ODS [Petr FIALA] |
| Political parties and leaders: | Communist Party of Bohemia and Moravia or KSCM [Vojtech FILIP] |
| Political parties and leaders: | Czech Social Democratic Party or CSSD [Bohuslav SOBOTKA] |
| Political parties and leaders: | Dawn of Direct Democracy or Usvit [Tomio OKAMURA] |
| Political parties and leaders: | Green Party or SZ [Jana DRAPALOVA] |
| Political parties and leaders: | Mayors and Independents or STAN [Martin PUTA] |
| Political parties and leaders: | Mayors for Liberec Region or SLK [Marek PIETER] |
| Political parties and leaders: | Movement of Dissatisfied Citizens or ANO [Andrej BABIS] |
| Political parties and leaders: | North Bohemians or S.cz [Bronislav SCHWARZ] |
| Political parties and leaders: | Party of Civic Rights or SPO [Jan VELEBA] |
| Political parties and leaders: | Tradition Responsibility Prosperity 09 or TOP 09 [Karel SCHWARZENBERG] |
| Political parties and leaders: | parties outside parliament: Czech Pirate Party [Lukas CERNOHORSKY] |
| Political parties and leaders: | Free Citizens Party or Svobodni [Petr MACH] |
| Political parties and leaders: | Liberal Reform Party or Ostravak [Eva SCHWARZOVA] |
| Political pressure groups and leaders: | Czech-Moravian Confederation of Trade Unions or CMKOS [Josef STREDULA] |
