| Government | Guinea-Bissau |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea-Bissau |
| Country name: | conventional short form: Guinea-Bissau |
| Country name: | local long form: Republica da Guine-Bissau |
| Country name: | local short form: Guine-Bissau |
| Country name: | former: Portuguese Guinea |
| Government type: | republic |
| Capital: | name: Bissau |
| Capital: | geographic coordinates: 11 51 N, 15 35 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 regions (regioes, singular - regiao); Bafata, Biombo, Bissau, Bolama, Cacheu, Gabu, Oio, Quinara, Tombali; note - Bolama may have been renamed Bolama/Bijagos |
| Independence: | 24 September 1973 (unilaterally declared by Guinea-Bissau); 10 September 1974 (recognized by Portugal) |
| National holiday: | Independence Day, 24 September (1973) |
| Constitution: | 16 May 1984; amended 4 May 1991, 4 December 1991, 26 February 1993, 9 June 1993, NA 1996 |
| Legal system: | accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Joao Bernardo 'Nino' VIEIRA (since 1 October 2005) |
| Executive branch: | head of government: Prime Minister Aristides GOMES (since 2 November 2005) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held 24 July 2005 (next to be held in 2010); prime minister appointed by the president after consultation with party leaders in the legislature |
| Executive branch: | election results: Joao Bernardo VIEIRA elected president; percent of vote, second ballot - Joao Bernardo VIEIRA 52.4%, Malan Bacai SANHA 47.6% |
| Legislative branch: | unicameral National People's Assembly or Assembleia Nacional Popular (100 seats; members are elected by popular vote to serve a maximum of four years) |
| Legislative branch: | elections: last held 28 March 2004 (next to be held in 2008) |
| Legislative branch: | election results: percent of vote by party - PAIGC 31.5%, PRS 24.8%, PUSD 16.1%, UE 4.1%, APU 1.3%, 13 other parties 22.2%; seats by party - PAIGC 45, PRS 35, PUSD 17, UE 2, APU 1 |
| Judicial branch: | Supreme Court or Supremo Tribunal da Justica (consists of nine justices appointed by the president and serve at his pleasure; final court of appeals in criminal and civil cases); Regional Courts (one in each of nine regions; first court of appeals for Sectoral Court decisions; hear all felony cases and civil cases valued at over $1,000); 24 Sectoral Courts (judges are not necessarily trained lawyers; they hear civil cases under $1,000 and misdemeanor criminal cases) |
| Political parties and leaders: | African Party for the Independence of Guinea-Bissau and Cape Verde or PAIGC [Carlos GOMES Junior]; Democratic Social Front or FDS; Electoral Union or UE; Party for Democratic Convergence or PCD [Victor MANDINGA]; Social Renovation Party or PRS [Alberto NAMBEIA]; Union for Change or UM [Jorge MANDINGA, president, Dr. Anne SAAD, secretary general]; United Platform or UP (coalition formed by PCD, FDS, FLING, and RGB-MB); United Popular Alliance or APU; United Social Democratic Party or PUSD [Francisco Jose FADUL] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, ECOWAS, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM, OIC, OIF, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WADB (regional), WAEMU, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); note - Guinea-Bissau does not have official representation in Washington, DC; Guinea-Bissau's representative in Washington is Henrique Adriano DA SILVA, P.O. Box 33813, Washington, DC 20033, telephone: (301)947-3958 |
| Diplomatic representation from the US: | the US Embassy suspended operations on 14 June 1998 in the midst of violent conflict between forces loyal to then President VIEIRA and military-led junta; the US Ambassador to Senegal is accredited to Guinea-Bissau |
| Flag description: | two equal horizontal bands of yellow (top) and green with a vertical red band on the hoist side; there is a black five-pointed star centered in the red band; uses the popular pan-African colors of Ethiopia |
