| Government | Guinea-Bissau |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea-Bissau |
| Country name: | conventional short form: Guinea-Bissau |
| Country name: | local long form: Republica da Guine-Bissau |
| Country name: | local short form: Guine-Bissau |
| Country name: | former: Portuguese Guinea |
| Government type: | republic |
| Capital: | name: Bissau |
| Capital: | geographic coordinates: 11 51 N, 15 35 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 regions (regioes, singular - regiao); Bafata, Biombo, Bissau, Bolama, Cacheu, Gabu, Oio, Quinara, Tombali; note - Bolama may have been renamed Bolama/Bijagos |
| Independence: | 24 September 1973 (declared); 10 September 1974 (from Portugal) |
| National holiday: | Independence Day, 24 September (1973) |
| Constitution: | 16 May 1984; amended several times |
| Legal system: | mixed legal system of civil law (influenced by the early French Civil Code) and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Malam Bacai SANHA (since 8 September 2009) |
| Executive branch: | head of government: Prime Minister Carlos GOMES Junior (since 25 December 2008) |
| Executive branch: | cabinet: NA |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held on 28 June 2009 with a runoff between the two leading candidates held on 26 July 2009 (next to be held by 2014); prime minister appointed by the president after consultation with party leaders in the legislature |
| Executive branch: | election results: Malam Bacai SANHA elected president; percent of vote, second ballot - Malam Bacai SANHA 63.5%, Kumba YALA 36.5% |
| Legislative branch: | unicameral National People's Assembly or Assembleia Nacional Popular (100 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 16 November 2008 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party - PAIGC 49.8%, PRS 25.3%, PRID 7.5%, PND 2.4%, AD 1.4%, other parties 13.6%; seats by party - PAIGC 67, PRS 28, PRID 3, PND 1, AD 1 |
| Judicial branch: | Supreme Court or Supremo Tribunal da Justica (consists of nine justices appointed by the president and serve at his pleasure; final court of appeals in criminal and civil cases); Regional Courts (one in each of nine regions; first court of appeals for Sectoral Court decisions; hear all felony cases and civil cases valued at more than $1,000); 24 Sectoral Courts (judges are not necessarily trained lawyers; they hear civil cases valued at less than $1,000 and misdemeanor criminal cases) |
| Political parties and leaders: | African Party for the Independence of Guinea-Bissau and Cape Verde or PAIGC [Carlos GOMES Junior]; Democratic Alliance or AD [Victor MANDINGA]; Democratic Social Front or FDS [Rafael BARBOSA]; Electoral Union or UE [Joaquim BALDE]; Guinea-Bissau Civic Forum/Social Democracy or FCGSD [Antonieta Rosa GOMES]; Guinea-Bissau Democratic Party or PDG; Guinea-Bissau Socialist Democratic Party or PDSG [Serifo BALDE]; Labor and Solidarity Party or PST [Lancuba INDJAI]; New Democracy Party or PND; Party for Democratic Convergence or PCD [Victor MANDINGA]; Party for Renewal and Progress or PRP; Party for Social Renewal or PRS [Sory DJALO]; Progress Party or PP; Republican Party for Independence and Development or PRID [Aristides GOMES]; Union of Guinean Patriots or UPG [Francisca VAZ]; Union for Change or UM [Amine SAAD]; United Platform or UP (coalition formed by PCD, FDS, FLING, and RGB-MB); United Popular Alliance or APU; United Social Democratic Party or PUSD [Francisco FADUL] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AOSIS, AU, CPLP, ECOWAS, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC, MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: none; note - Guinea-Bissau does not have official representation in Washington, DC |
| Diplomatic representation from the US: | the US Embassy suspended operations on 14 June 1998 in the midst of violent conflict between forces loyal to then President VIEIRA and military-led junta; the US Ambassador to Senegal is accredited to Guinea-Bissau |
| Flag description: | two equal horizontal bands of yellow (top) and green with a vertical red band on the hoist side; there is a black five-pointed star centered in the red band; yellow symbolizes the sun; green denotes hope; red represents blood shed during the struggle for independence; the black star stands for African unity |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the flag design was heavily influenced by the Ghanaian flag |
| National anthem: | name: "Esta e a Nossa Patria Bem Amada" (This Is Our Beloved Country) |
| National anthem: | lyrics/music: Amilcar Lopes CABRAL/XIAO He |
| National anthem: | note: adopted 1974; a delegation from Portuguese Guinea visited China in 1963 and heard music by XIAO He; Amilcar Lopes CABRA, the leader of Guinea-Bissau's independence movement, asked the composer to create a piece that would inspire his people to struggle for independence |
