| Government | Haiti |
| --- | --- |
| Country name: | conventional long form: Republic of Haiti |
| Country name: | conventional short form: Haiti |
| Country name: | local long form: Republique d'Haiti/Repiblik d' Ayiti |
| Country name: | local short form: Haiti/Ayiti |
| Government type: | republic |
| Capital: | name: Port-au-Prince |
| Capital: | geographic coordinates: 18 32 N, 72 20 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Capital: | daylight saving time: no DST planned for 2011 |
| Administrative divisions: | 10 departments (departements, singular - departement); Artibonite, Centre, Grand'Anse, Nippes, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est |
| Independence: | 1 January 1804 (from France) |
| National holiday: | Independence Day, 1 January (1804) |
| Constitution: | approved March 1987 |
| Constitution: | note: suspended June 1988 with most articles reinstated March 1989; constitutional government ousted in a military coup in September 1991, although in October 1991 military government claimed to be observing the constitution; returned to constitutional rule in October 1994; constitution, while technically in force between 2004-2006, was not enforced; returned to constitutional rule in May 2006 |
| Legal system: | civil law system strongly influenced by Napoleonic Code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Michel MARTELLY (since 14 May 2011) |
| Executive branch: | head of government: Prime Minister Garry CONILLE (since 18 October 2011) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (may not serve consecutive terms); election last held on 28 November 2010; runoff scheduled for 16 January 2011 (next to be held in 2015); prime minister appointed by the president, ratified by the National Assembly |
| Executive branch: | election results: Michel MARTELLY wins the runoff election held on 20 March 2011 with 67.6% of the vote against 31.7% for Mirlande MANIGAT |
| Legislative branch: | bicameral National Assembly or Assemblee Nationale consists of the Senate (30 seats; members elected by popular vote to serve six-year terms; one-third elected every two years) and the Chamber of Deputies (99 seats; members elected by popular vote to serve four-year terms); note - in reestablishing the Senate in 2006, the candidate in each department receiving the most votes in the last election serves six years, the candidate with the second most votes serves four years, and the candidate with the third most votes serves two years |
| Legislative branch: | elections: Senate - last held on 28 November 2010 with run-off elections scheduled for 16 January 2011 (next regular election, for one third of seats, to be held in 2012); Chamber of Deputies - last held on 28 November 2010 with run-off elections schedule for 16 January 2011 (next regular election to be held in 2014) |
| Legislative branch: | election results: 2010 election results are not final; 2006 Senate - percent of vote by party - NA; seats by party - L'ESPWA 11, FUSION 5, OPL 4, FL 3, LAAA 2, UNCRH 2, PONT 2, ALYANS 1; 2006 Chamber of Deputies - percent of vote by party - NA; seats by party - L'ESPWA 23, FUSION 17, FRN 12, OPL 10, ALYANS 10, LAAA 5, MPH 3, MOCHRENA 3, other 10; results for six other seats contested on 3 December 2006 remain unknown |
| Judicial branch: | Supreme Court or Cour de Cassation |
| Political parties and leaders: | Assembly of Progressive National Democrats or RDNP [Mirlande MANIGAT]; Christian and Citizen For Haiti's Reconstruction or ACCRHA [Chavannes JEUNE]; Convention for Democratic Unity or KID [Evans PAUL]; Cooperative Action to Rebuild Haiti or KONBA [Jean William JEANTY]; December 16 Platform or Platfom 16 Desanm [Dr. Gerard BLOT]; Democratic Alliance or ALYANS [Evans PAUL] (coalition composed of KID and PPRH); Effort and Solidarity to Create an Alternative for the People or ESKAMP [Joseph JASME]; Fanmi Lavalas or FL [Maryse NARCISSE]; For Us All or PONT [Jean-Marie CHERESTAL]; Grouping of Citizens for Hope or RESPE [Charles-Henri BAKER]; Haiti in Action or AAA [Youri LATORTUE]; Haitian Youth Democratic Movement or MODEJHA [Jean Hector ANACACIS]; Haitians for Haiti [Yvon NEPTUNE]; Independent Movement for National Reconstruction or MIRN [Luc FLEURINORD]; Lavni Organization or LAVNI [Yves CRISTALIN]; Liberal Party of Haiti or PLH [Jean Andre VICTOR]; Love Haiti or Renmen Ayiti [Jean-Henry CEANT and Camille LEBLANC]; Merging of Haitian Social Democratics or FUSION [Victor BENOIT] (coalition of Ayiti Capable, Haitian National Revolutionary Party, and National Congress of Democratic Movements); Mobilization for National Development or MDN [Hubert de RONCERAY]; Mobilization for Progress in Haiti or MPH [Samir MOURRA]; National Coalition of Nonaligned Political Parties or CONACED [Osner FEVRY]; National Front for the Reconstruction of Haiti or FRN [Guy PHILIPPE]; New Christian Movement for a New Haiti or MOCHRENA [Luc MESADIEU]; Open the Gate Party or PLB [Anes LUBIN]; Peasant's Response or Repons Peyizan [Michel MARTELLY]; Platform Alternative for Progress and Democracy or ALTENATIV [Victor BENOIT and Evans PAUL]; Platform of Haitian Patriots or PLAPH [Dejean BELISAIRE and Himler REBU]; Popular Party for the Renewal of Haiti or PPRH [Claude ROMAIN]; Strength in Unity or Ansanm Nou Fo [Leslie VOLTAIRE]; Struggling People's Organization or OPL [Harry MARSAN]; Union [Chavannes JEUNE]; Union of Haitian Citizens for Democracy, Development, and Education or UCADDE [Jeantel JOSEPH]; Union of Nationalist and Progressive Haitians or UNPH [Edouard FRANCISQUE]; Unity or Inite [Rene PREVAL] (coalition that includes Front for Hope or L'ESPWA); Vigilance or Veye Yo [Lavarice GAUDIN]; Youth for People's Power or JPP [Rene CIVIL] |
